trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,1.5783e-05,inf,2,1,2
0,10247,0.100037,1.73161,2,10247,2
0,20500,0.201507,1.72944,2,20500,56
0,31460,0.30436,1.72944,2,31460,3
0,42699,0.408749,1.7194,2,42699,2
0,53749,0.514628,1.7194,2,53749,13
0,65173,0.622028,1.71929,2,65173,6
0,76059,0.731004,1.71929,2,76059,16
0,87554,0.841491,1.69675,2,87554,9
0,99724,0.953584,1.69675,2,99724,8
0,111912,1.06732,1.68881,2,111912,5
0,124129,1.18273,1.68489,2,124129,42
0,136345,1.29982,1.68489,2,136345,4
0,149027,1.41868,1.68489,2,149027,26
0,161064,1.53924,1.68489,2,161064,23
0,174223,1.66145,1.68489,2,174223,12
0,187851,1.7855,1.68489,2,187851,2
0,201442,1.91137,1.68489,2,201442,9
0,215107,2.03913,1.68489,2,215107,2
0,228263,2.16883,1.68489,2,228263,7
0,242822,2.30039,1.68489,2,242822,2
0,257436,2.43384,1.68489,2,257436,23
0,271612,2.56933,1.68489,2,271612,3
0,286349,2.70681,1.68489,2,286349,14
0,300418,2.8464,1.67471,2,300418,41
0,315381,2.98794,1.67471,2,315381,15
0,330028,3.13179,1.67471,2,330028,21
0,345021,3.27766,1.67342,2,345021,14
0,360746,3.42565,1.67342,2,360746,36
0,376825,3.57577,1.67342,2,376825,5
0,392933,3.72812,1.67342,2,392933,20
0,408944,3.88268,1.67342,2,408944,6
0,426139,4.03953,1.67342,2,426139,8
0,443408,4.19877,1.67342,2,443408,16
0,460251,4.36035,1.67342,2,460251,12
0,477915,4.52429,1.67342,2,477915,17
0,495430,4.69065,1.67342,2,495430,31
0,513399,4.85942,1.67342,2,513399,12
0,531996,5.03057,1.67342,2,531996,19
0,550405,5.20422,1.67342,2,550405,12
0,569112,5.38036,1.67342,2,569112,8
0,588037,5.55901,1.67342,2,588037,11
0,606605,5.74028,1.67342,2,606605,6
0,626621,5.92411,1.67342,2,626621,19
0,646050,6.11068,1.67342,2,646050,6
0,666144,6.29999,1.67342,2,666144,3
0,687854,6.49206,1.67342,2,687854,36
0,708657,6.68707,1.67342,2,708657,17
0,730098,6.88481,1.67342,2,730098,14
0,751334,7.08543,1.67342,2,751334,31
0,772865,7.28892,1.67342,2,772865,47
0,795514,7.49531,1.67342,2,795514,19
0,817667,7.70476,1.67342,2,817667,2
0,840505,7.91723,1.67342,2,840505,31
0,863234,8.13272,1.67342,2,863234,6
0,886956,8.35125,1.67342,2,886956,2
0,910994,8.57303,1.67342,2,910994,25
0,935310,8.79802,1.67342,2,935310,10
0,960190,9.02628,1.67342,2,960190,23
0,983635,9.25783,1.67342,2,983635,15
0,1008561,9.49257,1.67342,2,1008561,22
0,1034291,9.73061,1.67342,2,1034291,6
0,1059537,9.97208,1.67342,2,1059537,35
1,1,8.084e-06,inf,2,1,3
1,11073,0.100013,1.67671,2,11073,15
1,22371,0.201471,1.67671,2,22371,5
1,33344,0.304489,1.67671,2,33344,3
1,44731,0.408993,1.67671,2,44731,2
1,56248,0.515076,1.67671,2,56248,2
1,68171,0.622609,1.67671,2,68171,11
1,80318,0.73174,1.67671,2,80318,13
1,91755,0.842459,1.67671,2,91755,4
1,103535,0.954717,1.67671,2,103535,2
1,115386,1.06866,1.67671,2,115386,2
1,127712,1.18408,1.67671,2,127712,12
1,140473,1.30123,1.67671,2,140473,27
1,153180,1.42008,1.67405,2,153180,32
1,166079,1.54072,1.67405,2,166079,17
1,179551,1.6631,1.67405,2,179551,23
1,192990,1.7874,1.67405,2,192990,7
1,206649,1.91355,1.67405,2,206649,14
1,220563,2.04152,1.67405,2,220563,24
1,234402,2.17131,1.67405,2,234402,5
1,248775,2.30299,1.67405,2,248775,22
1,262976,2.43666,1.67405,2,262976,5
1,277841,2.57228,1.67405,2,277841,2
1,292905,2.70989,1.67405,2,292905,24
1,307279,2.84952,1.67405,2,307279,11
1,322602,2.99103,1.67405,2,322602,8
1,337556,3.13457,1.67405,2,337556,19
1,353458,3.28015,1.67405,2,353458,2
1,369127,3.42787,1.67405,2,369127,27
1,385322,3.57763,1.67405,2,385322,17
1,401608,3.72959,1.67405,2,401608,40
1,417356,3.88366,1.67405,2,417356,18
1,432282,4.03992,1.67405,2,432282,2
1,444769,4.19862,1.67405,2,444769,18
1,460974,4.35999,1.67405,2,460974,2
1,478741,4.52391,1.67405,2,478741,7
1,496362,4.69027,1.67405,2,496362,3
1,513871,4.85903,1.67405,2,513871,12
1,532310,5.03029,1.67405,2,532310,2
1,550475,5.20409,1.67405,2,550475,2
1,569631,5.38031,1.67405,2,569631,6
1,588921,5.55915,1.67405,2,588921,23
1,607747,5.74058,1.67405,2,607747,2
1,627517,5.92454,1.67405,2,627517,9
1,647670,6.11121,1.67405,2,647670,15
1,668223,6.30054,1.67405,2,668223,6
1,688523,6.49261,1.67405,2,688523,19
1,708946,6.68739,1.67405,2,708946,25
1,730246,6.88509,1.67405,2,730246,13
1,751083,7.08571,1.67405,2,751083,46
1,772298,7.28918,1.67405,2,772298,2
1,794388,7.49563,1.67405,2,794388,3
1,816586,7.70506,1.67405,2,816586,16
1,839458,7.91747,1.67405,2,839458,19
1,862026,8.1329,1.67405,2,862026,13
1,885329,8.35142,1.67405,2,885329,39
1,909299,8.57302,1.67405,2,909299,38
1,932983,8.79784,1.67405,2,932983,21
1,956453,9.02594,1.67405,2,956453,11
1,980844,9.2573,1.67405,2,980844,17
1,1005386,9.4921,1.67405,2,1005386,2
1,1030602,9.73018,1.67405,2,1030602,35
1,1055813,9.97165,1.67405,2,1055813,5
2,1,8.084e-06,inf,2,1,3
2,10519,0.100088,1.69531,2,10519,2
2,21016,0.201519,1.69531,2,21016,14
2,32023,0.304496,1.69531,2,32023,6
2,42875,0.409033,1.69531,2,42875,3
2,54204,0.515058,1.69531,2,54204,35
2,65329,0.62265,1.69531,2,65329,31
2,76874,0.731808,1.68984,2,76874,33
2,89030,0.842509,1.68984,2,89030,8
2,101145,0.954899,1.68984,2,101145,14
2,113588,1.06888,1.68984,2,113588,6
2,125898,1.18459,1.68984,2,125898,3
2,138374,1.30199,1.68984,2,138374,23
2,150428,1.42104,1.68569,2,150428,3
2,163786,1.54176,1.68569,2,163786,12
2,176957,1.66426,1.66191,2,176957,16
2,189895,1.78855,1.66191,2,189895,10
2,203527,1.91464,1.66191,2,203527,12
2,217129,2.04266,1.66191,2,217129,2
2,230680,2.17241,1.66191,2,230680,18
2,244097,2.30406,1.66191,2,244097,7
2,258739,2.4376,1.66191,2,258739,33
2,272885,2.57309,1.66191,2,272885,23
2,286691,2.71054,1.66191,2,286691,12
2,301282,2.84994,1.66191,2,301282,8
2,316556,2.99138,1.66191,2,316556,16
2,331767,3.13492,1.66191,2,331767,10
