trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,1.3858e-05,inf,2,1,2
0,4902,0.100063,1.61991,2,4902,24
0,7801,0.200767,1.61991,2,7801,17
0,9874,0.301902,1.61991,2,9874,6
0,11634,0.4034,1.61991,2,11634,12
0,13191,0.505124,1.61991,2,13191,17
0,14640,0.607136,1.61991,2,14640,14
0,15978,0.709347,1.61991,2,15978,13
0,17203,0.811775,1.61991,2,17203,17
0,18346,0.914426,1.61991,2,18346,6
0,19415,1.01726,1.61991,2,19415,12
0,20497,1.12035,1.61991,2,20497,12
0,21545,1.22365,1.61991,2,21545,14
0,22526,1.32705,1.61991,2,22526,14
0,23444,1.43073,1.61991,2,23444,17
0,24383,1.53452,1.61991,2,24383,14
0,25270,1.6385,1.61991,2,25270,17
0,26073,1.74268,1.61991,2,26073,6
0,26896,1.84703,1.61991,2,26896,14
0,27654,1.95153,1.61991,2,27654,14
0,28468,2.05621,1.61991,2,28468,20
0,29247,2.16105,1.61991,2,29247,8
0,30016,2.26598,1.61991,2,30016,15
0,30735,2.37111,1.61991,2,30735,15
0,31493,2.47636,1.61991,2,31493,22
0,32291,2.58175,1.61991,2,32291,33
0,33045,2.6874,1.61991,2,33045,26
0,33680,2.79311,1.6199,2,33680,26
0,34338,2.89902,1.61986,2,34338,7
0,35021,3.00509,1.61986,2,35021,17
0,35647,3.11126,1.61986,2,35647,17
0,36282,3.21764,1.61986,2,36282,10
0,36914,3.32419,1.61986,2,36914,10
0,37544,3.43078,1.61986,2,37544,9
0,38168,3.53761,1.61986,2,38168,9
0,38738,3.64463,1.61986,2,38738,9
0,39333,3.75167,1.61986,2,39333,24
0,39877,3.85884,1.61986,2,39877,24
0,40482,3.96614,1.61986,2,40482,46
0,41044,4.07355,1.61986,2,41044,46
0,41631,4.1812,1.61986,2,41631,18
0,42167,4.28889,1.61986,2,42167,18
0,42683,4.39686,1.61986,2,42683,6
0,43196,4.50496,1.61986,2,43196,6
0,43768,4.61317,1.61986,2,43768,19
0,44346,4.72139,1.61986,2,44346,13
0,44874,4.82979,1.61986,2,44874,13
0,45450,4.93837,1.61986,2,45450,12
0,45967,5.04708,1.61986,2,45967,12
0,46495,5.1559,1.61986,2,46495,20
0,47003,5.26476,1.61986,2,47003,20
0,47528,5.3738,1.61986,2,47528,9
0,48028,5.48296,1.61986,2,48028,9
0,48572,5.59221,1.61986,2,48572,13
0,49092,5.70156,1.61986,2,49092,13
0,49610,5.81098,1.61986,2,49610,23
0,50075,5.92063,1.61986,2,50075,23
0,50615,6.03042,1.61986,2,50615,51
0,51066,6.14032,1.61986,2,51066,51
0,51525,6.2503,1.61986,2,51525,51
0,51999,6.36049,1.61986,2,51999,13
0,52455,6.47061,1.61986,2,52455,13
0,52928,6.5809,1.61986,2,52928,18
0,53366,6.69145,1.61986,2,53366,18
0,53824,6.80195,1.61986,2,53824,9
0,54264,6.9126,1.61984,2,54264,9
0,54706,7.02348,1.61984,2,54706,7
0,55132,7.13447,1.61984,2,55132,7
0,55552,7.24541,1.61984,2,55552,7
0,56004,7.35653,1.61984,2,56004,9
0,56436,7.46766,1.61984,2,56436,9
0,56918,7.57894,1.61984,2,56918,32
0,57339,7.69039,1.61984,2,57339,32
0,57770,7.80208,1.61984,2,57770,9
0,58186,7.9137,1.61984,2,58186,9
0,58601,8.0256,1.61984,2,58601,9
0,59007,8.13752,1.61984,2,59007,9
0,59399,8.24936,1.61984,2,59399,9
0,59832,8.36136,1.61984,2,59832,13
0,60247,8.47358,1.61984,2,60247,13
0,60659,8.5859,1.61984,2,60659,13
0,61065,8.69804,1.61984,2,61065,6
0,61478,8.81054,1.61984,2,61478,6
0,61886,8.92322,1.61984,2,61886,8
0,62297,9.03593,1.61984,2,62297,8
0,62712,9.14889,1.61984,2,62712,8
0,63168,9.26188,1.61984,2,63168,40
0,63571,9.37501,1.61984,2,63571,40
0,64008,9.48822,1.61984,2,64008,19
0,64391,9.60161,1.61984,2,64391,19
0,64768,9.71512,1.61984,2,64768,19
0,65154,9.82876,1.61984,2,65154,9
0,65520,9.94232,1.61984,2,65520,9
1,1,1.1933e-05,inf,2,1,3
1,4745,0.100084,1.61991,2,4745,17
1,7498,0.200763,1.61991,2,7498,21
1,9607,0.301883,1.61989,2,9607,12
1,11498,0.40334,1.61989,2,11498,9
1,13099,0.505042,1.61989,2,13099,6
1,14567,0.607058,1.61989,2,14567,11
1,15891,0.709296,1.61987,2,15891,12
1,17118,0.811798,1.61986,2,17118,13
1,18339,0.914462,1.61986,2,18339,7
1,19413,1.01733,1.61986,2,19413,7
1,20503,1.1204,1.61986,2,20503,12
1,21401,1.22368,1.61986,2,21401,12
1,22347,1.32711,1.61986,2,22347,15
1,23254,1.43081,1.61986,2,23254,12
1,24210,1.53465,1.61986,2,24210,14
1,25143,1.6387,1.61986,2,25143,21
1,25949,1.74476,1.61986,2,25949,7
1,26781,1.8489,1.61986,2,26781,14
1,27565,1.9534,1.61986,2,27565,14
1,28387,2.05813,1.61983,2,28387,16
1,29156,2.16304,1.61983,2,29156,9
1,29895,2.26817,1.61983,2,29895,9
1,30580,2.37341,1.61983,2,30580,9
1,31329,2.47874,1.61983,2,31329,15
1,32058,2.58426,1.61983,2,32058,22
1,32688,2.68995,1.61983,2,32688,22
1,33378,2.79573,1.61983,2,33378,20
1,34032,2.90172,1.61983,2,34032,17
1,34664,3.00789,1.61983,2,34664,17
1,35314,3.11407,1.61983,2,35314,14
1,35978,3.22046,1.61983,2,35978,24
1,36569,3.32708,1.61983,2,36569,24
1,37247,3.43376,1.61983,2,37247,33
