trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,3.657e-05,inf,2,1,3
0,4867,0.10006,1.62022,2,4867,99
0,7699,0.200811,1.62018,2,7699,126
0,10005,0.302005,1.61983,2,10005,90
0,11877,0.403642,1.61981,2,11877,173
0,13587,0.505561,1.61981,2,13587,87
0,15035,0.607715,1.61981,2,15035,80
0,16416,0.710184,1.61981,2,16416,115
0,17770,0.812876,1.61981,2,17770,24
0,19011,0.91576,1.61981,2,19011,82
0,20198,1.01888,1.61981,2,20198,101
0,21352,1.12227,1.61981,2,21352,147
0,22380,1.22589,1.61981,2,22380,33
0,23395,1.32959,1.61981,2,23395,111
0,24411,1.43349,1.61981,2,24411,112
0,25296,1.53755,1.61981,2,25296,112
0,26218,1.64182,1.61981,2,26218,92
0,27117,1.74626,1.61981,2,27117,97
0,27985,1.85083,1.61981,2,27985,131
0,28858,1.95561,1.61981,2,28858,118
0,29619,2.06053,1.61981,2,29619,118
0,30461,2.16556,1.61981,2,30461,100
0,31258,2.27087,1.61981,2,31258,79
0,31970,2.37633,1.61981,2,31970,79
0,32768,2.48186,1.61981,2,32768,107
0,33567,2.58759,1.61981,2,33567,111
0,34313,2.69337,1.61981,2,34313,86
0,34983,2.79929,1.61981,2,34983,86
0,35687,2.90536,1.61981,2,35687,63
0,36324,3.01163,1.61981,2,36324,63
0,37093,3.11802,1.61981,2,37093,146
0,37800,3.22465,1.61981,2,37800,115
0,38408,3.33135,1.61981,2,38408,115
0,39146,3.43816,1.61981,2,39146,119
0,39824,3.54514,1.61981,2,39824,78
0,40417,3.65218,1.61981,2,40417,78
0,41079,3.75948,1.61981,2,41079,101
0,41648,3.86677,1.61981,2,41648,101
0,42341,3.97426,1.61981,2,42341,134
0,42906,4.08188,1.61981,2,42906,134
0,43586,4.18976,1.61981,2,43586,99
0,44158,4.29795,1.61981,2,44158,2
0,44777,4.406,1.61981,2,44777,95
0,45443,4.51423,1.61981,2,45443,106
0,45987,4.62264,1.61981,2,45987,106
0,46548,4.73108,1.61981,2,46548,39
0,47065,4.83971,1.61981,2,47065,39
0,47608,4.94842,1.61981,2,47608,33
0,48119,5.05734,1.61981,2,48119,33
0,48722,5.16629,1.61981,2,48722,100
0,49214,5.27538,1.61981,2,49214,100
0,49854,5.38454,1.61981,2,49854,160
0,50334,5.49387,1.61981,2,50334,160
0,50953,5.6032,1.61981,2,50953,156
0,51412,5.71283,1.61981,2,51412,156
0,51967,5.8226,1.61981,2,51967,95
0,52427,5.93244,1.61981,2,52427,95
0,52892,6.04226,1.61981,2,52892,95
0,53461,6.15234,1.61981,2,53461,103
0,53933,6.26249,1.61981,2,53933,103
0,54518,6.37271,1.61981,2,54518,142
0,54973,6.48312,1.61981,2,54973,142
0,55585,6.59364,1.61981,2,55585,162
0,56025,6.70421,1.61981,2,56025,162
0,56520,6.81496,1.61981,2,56520,49
0,56974,6.92578,1.61981,2,56974,49
0,57516,7.03677,1.61981,2,57516,89
0,57964,7.14802,1.61981,2,57964,89
