trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,8.8923e-05,inf,7.699e-06,5.4279e-05,2.4637e-05,1,2,1,3,1.9248e-05
0,721,0.100057,1.73051,0.00102858,0.023651,0.0744333,1,442,721,272,0.00877957
0,1071,0.200669,1.73051,0.00171805,0.0375662,0.159615,1,621,1071,401,0.0140426
0,1368,0.30124,1.73051,0.00216459,0.0473809,0.249516,1,765,1368,508,0.0171742
0,1615,0.402316,1.73051,0.00251758,0.0584317,0.338871,1,887,1615,600,0.0200498
0,1836,0.50381,1.73012,0.00283593,0.0672398,0.430953,1,996,1836,683,0.0237045
0,2045,0.604469,1.73012,0.00314275,0.0738763,0.524402,1,1081,2045,754,0.0257709
0,2234,0.70604,1.73012,0.00342222,0.0802688,0.619068,1,1168,2234,821,0.0277542
0,2404,0.807042,1.73012,0.00367745,0.0867599,0.713101,1,1249,2404,885,0.0298287
0,2566,0.909833,1.73012,0.00391072,0.0935415,0.808661,1,1326,2566,949,0.0323024
0,2711,1.01171,1.73012,0.00412322,0.100122,0.903537,1,1402,2711,1012,0.034544
0,2835,1.11377,1.72887,0.00431839,0.117818,0.987556,1,1465,2835,1059,0.0442832
0,2972,1.21667,1.72887,0.00452934,0.12439,1.0835,1,1528,2972,1108,0.047508
0,3106,1.32016,1.72887,0.00473183,0.129775,1.18122,1,1584,3106,1158,0.049405
0,3238,1.42302,1.72887,0.00491007,0.13905,1.27445,1,1644,3238,1207,0.0553167
0,3351,1.52595,1.72887,0.00507867,0.148033,1.36808,1,1710,3351,1256,0.0608338
0,3463,1.63027,1.72887,0.0052569,0.157626,1.46247,1,1760,3463,1301,0.0672286
0,3581,1.7327,1.72887,0.00545246,0.161677,1.5605,1,1804,3581,1340,0.068256
0,3700,1.83883,1.72887,0.00563108,0.168453,1.65952,1,1849,3700,1382,0.0718615
0,3813,1.94247,1.72887,0.00580084,0.173042,1.75825,1,1901,3813,1426,0.0732469
0,3918,2.04561,1.72887,0.00595481,0.182312,1.85183,1,1950,3918,1464,0.0798103
0,4030,2.15059,1.72887,0.00613382,0.185951,1.95285,1,1994,4030,1498,0.0811115
0,4132,2.25664,1.72887,0.00632322,0.190078,2.05443,1,2033,4132,1534,0.0821701
0,4223,2.36329,1.72887,0.0064876,0.195385,2.15548,1,2083,4223,1573,0.0841749
0,4338,2.46707,1.72887,0.0066666,0.19855,2.25578,1,2116,4338,1601,0.0851923
0,4435,2.57242,1.72887,0.00683405,0.2024,2.35698,1,2158,4435,1635,0.0863095
0,4546,2.67656,1.72887,0.00700459,0.206043,2.45717,1,2187,4546,1661,0.0879386
0,4630,2.7837,1.72887,0.00714356,0.210878,2.55922,1,2238,4630,1703,0.0895481
0,4711,2.89016,1.72887,0.00728483,0.215255,2.66105,1,2282,4711,1742,0.0909212
0,4801,2.99608,1.72887,0.00742765,0.219446,2.76251,1,2317,4801,1774,0.0926916
0,4889,3.1051,1.72887,0.00756854,0.223583,2.86713,1,2358,4889,1811,0.0939869
0,4980,3.21037,1.72887,0.00771713,0.226653,2.96906,1,2390,4980,1842,0.0947122
0,5061,3.31578,1.72887,0.00786226,0.238631,3.06222,1,2421,5061,1870,0.104319
0,5146,3.42589,1.72887,0.00800276,0.244619,3.16608,1,2460,5146,1905,0.10727
0,5226,3.53206,1.72887,0.00815558,0.248856,3.26772,1,2495,5226,1936,0.108414
0,5313,3.63867,1.72887,0.00830648,0.252405,3.37051,1,2529,5313,1965,0.109521
0,5396,3.746,1.72887,0.00845123,0.255383,3.4746,1,2558,5396,1993,0.110227
0,5485,3.85489,1.72887,0.00859828,0.258753,3.57986,1,2589,5485,2022,0.111149
0,5547,3.96181,1.72887,0.00871878,0.274097,3.67122,1,2621,5547,2051,0.114344
0,5622,4.06726,1.72887,0.00884003,0.27733,3.77323,1,2659,5622,2082,0.115207
0,5698,4.17783,1.72887,0.00898093,0.282041,3.87883,1,2711,5698,2112,0.117025
0,5770,4.28732,1.72887,0.00910373,0.293718,3.97643,1,2740,5770,2138,0.126456
0,5857,4.39723,1.72887,0.0092527,0.296632,4.08316,1,2792,5857,2162,0.127341
0,5924,4.5051,1.72887,0.00937974,0.3009,4.18654,1,2864,5924,2190,0.128859
0,5992,4.61534,1.72887,0.00949639,0.304546,4.29293,1,2903,5992,2220,0.129964
0,6067,4.72257,1.72887,0.00962303,0.307873,4.39658,1,2936,6067,2248,0.130808
0,6139,4.83501,1.72887,0.00975277,0.311545,4.50511,1,2993,6139,2278,0.131804
0,6208,4.94499,1.72887,0.00986979,0.31512,4.61131,1,3076,6208,2307,0.132655
0,6277,5.05251,1.72887,0.00998566,0.318444,4.7153,1,3107,6277,2334,0.133663
0,6353,5.16546,1.72887,0.0101058,0.321886,4.82458,1,3140,6353,2363,0.134526
0,6426,5.27469,1.72887,0.0102232,0.325082,4.9304,1,3222,6426,2390,0.135375
0,6497,5.38791,1.72887,0.0103444,0.328776,5.03971,1,3277,6497,2418,0.136619
0,6564,5.49877,1.72887,0.0104565,0.331693,5.14744,1,3305,6564,2445,0.137322
0,6629,5.60932,1.72887,0.010575,0.335569,5.25385,1,3335,6629,2473,0.138429
0,6700,5.71932,1.72887,0.0106917,0.338953,5.36024,1,3390,6700,2498,0.139586
0,6768,5.83025,1.72887,0.0108129,0.34196,5.46794,1,3418,6768,2523,0.140434
0,6836,5.94538,1.72887,0.0109288,0.345577,5.57924,1,3476,6836,2552,0.141524
0,6898,6.05616,1.72887,0.0110416,0.348532,5.68688,1,3529,6898,2577,0.142317
0,6964,6.17177,1.72887,0.0111594,0.351357,5.79946,1,3587,6964,2602,0.142992
0,7025,6.28405,1.72887,0.0112618,0.354927,5.90797,1,3645,7025,2630,0.144058
0,7086,6.39551,1.72887,0.01138,0.358412,6.01573,1,3687,7086,2658,0.144932
0,7154,6.51112,1.72887,0.0114908,0.361601,6.12795,1,3714,7154,2683,0.145946
0,7218,6.62148,1.72887,0.0116009,0.364493,6.23522,1,3828,7218,2706,0.146739
0,7290,6.73631,1.28269,0.0116999,0.388333,6.32601,1,3872,7290,2723,0.168936
0,7407,6.84841,1.28269,0.011815,0.390978,6.43516,1,3896,7407,2744,0.169739
0,7509,6.96219,1.28269,0.0119351,0.394657,6.54498,1,3919,7509,2764,0.171592
0,7611,7.07683,1.28269,0.0120513,0.397224,6.65679,1,3944,7611,2785,0.172361
0,7723,7.19085,1.28269,0.0121687,0.400072,6.76766,1,3972,7723,2808,0.173182
0,7804,7.30641,1.28269,0.0122619,0.417137,6.86594,1,4020,7804,2830,0.188279
0,7903,7.42091,1.28269,0.0123762,0.420635,6.97668,1,4071,7903,2849,0.190127
0,7985,7.53563,1.28269,0.0124659,0.449586,7.06224,1,4124,7985,2863,0.217788
0,8075,7.64946,1.28269,0.012581,0.452339,7.17307,1,4177,8075,2884,0.218531
0,8193,7.76738,1.28269,0.012703,0.455666,7.28736,1,4252,8193,2901,0.220009
0,8299,7.88499,1.28269,0.012807,0.469147,7.39122,1,4282,8299,2919,0.231928
0,8412,8.00356,1.28269,0.0129228,0.471635,7.50701,1,4339,8412,2939,0.232733
0,8512,8.11704,1.28269,0.0130298,0.474557,7.61731,1,4438,8512,2962,0.233564
0,8605,8.24273,1.28269,0.0131403,0.486393,7.73091,1,4528,8605,2983,0.243375
0,8691,8.35858,1.27974,0.0132485,0.494052,7.83887,1,4594,8691,3001,0.249471
0,8797,8.4751,1.27974,0.0133548,0.497285,7.95188,1,4621,8797,3021,0.251013
0,8898,8.59651,1.27974,0.0134698,0.499951,8.07037,1,4658,8898,3042,0.25194
0,8985,8.71009,1.27974,0.0135853,0.50451,8.17914,1,4701,8985,3058,0.25499
0,9067,8.82807,1.27974,0.0137139,0.508129,8.29322,1,4729,9067,3073,0.256858
0,9132,8.94704,1.27974,0.0138386,0.525939,8.39413,1,4751,9132,3089,0.272813
0,9177,9.06699,1.27974,0.0139206,0.574676,8.46518,1,4796,9177,3102,0.320004
0,9255,9.18271,1.27974,0.0140523,0.577227,8.57808,1,4820,9255,3118,0.3209
0,9357,9.30108,1.27974,0.0141639,0.580946,8.69245,1,4863,9357,3138,0.322585
0,9458,9.42368,1.27974,0.0142713,0.584761,8.81096,1,4904,9458,3161,0.324072
0,9553,9.53846,1.27974,0.0143953,0.588306,8.92192,1,4929,9553,3177,0.325971
0,9647,9.65882,1.27974,0.0145,0.591881,9.03845,1,4960,9647,3200,0.326901
0,9743,9.78047,1.27974,0.0146112,0.594343,9.15738,1,4995,9743,3219,0.327613
0,9820,9.89879,1.27974,0.0147094,0.598877,9.27095,1,5056,9820,3241,0.328926
1,1,8.315e-05,inf,5.005e-06,5.0814e-05,2.5406e-05,1,1,1,3,1.6168e-05
1,657,0.100453,1.73995,0.000927343,0.0305728,0.0681163,1,432,657,265,0.0169517
1,1041,0.200382,1.73241,0.00147935,0.0438174,0.153762,1,615,1041,397,0.0229365
1,1316,0.301832,1.73241,0.00187854,0.0586126,0.239654,1,742,1316,508,0.0309581
1,1558,0.402547,1.73241,0.00223231,0.0694336,0.328886,1,856,1558,599,0.0336844
1,1781,0.504023,1.73241,0.00254951,0.0775103,0.421679,1,961,1781,684,0.0363933
1,1985,0.604513,1.71012,0.00285516,0.0861131,0.513005,1,1056,1985,755,0.0404098
1,2175,0.706346,1.71012,0.0031381,0.0926808,0.60774,1,1191,2175,821,0.0424578
1,2354,0.808556,1.70033,0.00339794,0.100966,0.701169,1,1294,2354,883,0.0463469
1,2511,0.909901,1.70033,0.00365469,0.108173,0.794826,1,1397,2511,942,0.0483229
1,2667,1.01259,1.70033,0.00388028,0.114225,0.891028,1,1484,2667,1004,0.0500756
1,2798,1.11627,1.70033,0.00412127,0.124878,0.983598,1,1588,2798,1054,0.0516981
1,2948,1.2203,1.70033,0.00435186,0.130827,1.08124,1,1669,2948,1103,0.0538161
1,3079,1.32212,1.70033,0.00454626,0.135922,1.1776,1,1759,3079,1155,0.0552308
1,3205,1.4263,1.70033,0.00473796,0.141541,1.27579,1,1844,3205,1207,0.0570786
1,3320,1.52969,1.70033,0.00491657,0.147047,1.37334,1,1962,3320,1256,0.0587023
1,3422,1.63308,1.70033,0.00511905,0.152797,1.4706,1,2036,3422,1300,0.0605382
1,3544,1.73549,1.70033,0.00529999,0.158855,1.5666,1,2084,3544,1341,0.0633475
