trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.070172,1.45067,0.000296,0.002175,0.027277,0.040112,501
0,2000,0.120729,1.43668,0.000521,0.004349,0.060688,0.054565,589
0,3000,0.224622,1.43032,0.000742,0.007452,0.128853,0.086631,684
0,4000,0.453088,1.41612,0.000963,0.012041,0.275371,0.163392,774
0,5000,0.707263,1.41423,0.001159,0.016873,0.411721,0.275796,828
0,6000,0.886564,1.41367,0.00136,0.022705,0.547132,0.313297,853
0,7000,1.19242,1.41009,0.001552,0.029094,0.741701,0.417644,892
0,8000,1.42837,1.40995,0.001741,0.036648,0.913104,0.474051,905
0,9000,1.68464,1.40849,0.001914,0.044554,1.11365,0.521311,923
0,10000,1.90447,1.40845,0.00211,0.0527,1.29871,0.547357,932
0,11000,2.87987,1.40834,0.002285,0.061406,1.50035,1.31184,974
0,12000,3.89779,1.40834,0.002488,0.07119,1.75457,2.06518,1032
0,13000,4.24173,1.40819,0.002658,0.080281,1.99892,2.15509,1060
0,14000,4.6323,1.40793,0.002841,0.09038,2.31221,2.22169,1078
0,15000,5.31086,1.40785,0.003036,0.100342,2.59046,2.61145,1103
0,16000,5.63982,1.40785,0.003193,0.110877,2.82379,2.69598,1111
0,17000,6.26506,1.40784,0.003357,0.121672,3.17769,2.95594,1130
0,18000,6.56303,1.4077,0.00355,0.133408,3.46325,2.95602,1134
0,19000,6.97007,1.40764,0.003749,0.14536,3.7578,3.05593,1151
0,20000,7.5022,1.40723,0.003949,0.157749,4.16058,3.17227,1163
0,21000,7.84892,1.40716,0.004131,0.16978,4.39252,3.27441,1173
0,22000,8.36099,1.40714,0.004326,0.1821,4.75145,3.41461,1179
0,23000,8.8063,1.40713,0.004526,0.19448,5.0611,3.53728,1188
0,24000,9.27522,1.40707,0.004694,0.20611,5.38158,3.67347,1196
0,25000,10.2641,1.40677,0.004879,0.219593,5.91899,4.11082,1222
1,1000,0.07113,1.43747,0.000292,0.002015,0.027044,0.041438,758
1,2000,0.142039,1.42565,0.000518,0.004415,0.0719,0.064525,881
1,3000,0.260404,1.4216,0.000754,0.007629,0.147499,0.103528,966
1,4000,0.396683,1.42024,0.000985,0.011627,0.241757,0.140988,1027
1,5000,0.704283,1.41198,0.00118,0.016242,0.376235,0.308951,1108
1,6000,1.04968,1.41112,0.001364,0.021803,0.580145,0.444307,1147
1,7000,1.32159,1.41106,0.001547,0.027924,0.728592,0.561111,1172
1,8000,1.55349,1.41035,0.001721,0.034418,0.882513,0.632056,1186
1,9000,2.06644,1.40832,0.001922,0.041815,1.09579,0.923768,1238
1,10000,2.27785,1.40777,0.002109,0.049391,1.2585,0.964322,1246
1,11000,2.69761,1.40746,0.002289,0.057926,1.54782,1.08566,1263
1,12000,2.87649,1.40746,0.002478,0.066195,1.71786,1.08566,1263
1,13000,3.17729,1.40744,0.002658,0.075041,1.91619,1.17872,1277
1,14000,3.81538,1.40744,0.002846,0.084754,2.29967,1.42302,1298
1,15000,4.14302,1.40704,0.003053,0.095755,2.61556,1.42315,1311
1,16000,4.59851,1.40672,0.003251,0.106475,2.8815,1.60138,1318
1,17000,4.87287,1.40619,0.003443,0.117326,3.14429,1.60151,1336
1,18000,5.51231,1.40619,0.003637,0.128238,3.5292,1.84453,1342
1,19000,6.98397,1.40605,0.00382,0.139676,4.06046,2.77289,1398
1,20000,7.1934,1.40605,0.004007,0.150746,4.25822,2.77289,1398
1,21000,7.52479,1.4058,0.004194,0.162435,4.57716,2.77303,1410
1,22000,8.19007,1.4058,0.004384,0.175601,4.99793,3.00374,1422
1,23000,8.92238,1.40577,0.00456,0.187214,5.58912,3.13266,1442
1,24000,9.20671,1.40575,0.004754,0.198786,5.86112,3.13283,1446
1,25000,10.3435,1.40516,0.004942,0.210276,6.57997,3.53869,1463
2,1000,0.089832,1.47117,0.000302,0.002245,0.031593,0.055372,762
2,2000,0.172965,1.42855,0.000519,0.004673,0.074318,0.092805,892
2,3000,0.290188,1.42427,0.000721,0.00799,0.14088,0.13959,948
2,4000,0.459099,1.42009,0.000931,0.012341,0.231476,0.213003,998
2,5000,0.665942,1.41527,0.001149,0.017788,0.375735,0.269544,1037
2,6000,0.824209,1.4151,0.001353,0.023012,0.482147,0.315621,1058
2,7000,0.942213,1.4151,0.001535,0.028575,0.594037,0.315621,1058
2,8000,1.29029,1.41347,0.001715,0.035355,0.770972,0.479429,1094
2,9000,1.44179,1.41255,0.001898,0.042422,0.914767,0.479499,1102
2,10000,1.63489,1.41255,0.002091,0.051094,1.09863,0.479499,1102
2,11000,2.20035,1.41227,0.002276,0.059449,1.2759,0.858784,1139
2,12000,2.6061,1.41174,0.002444,0.068203,1.55279,0.978296,1162
2,13000,2.8497,1.41174,0.00263,0.077248,1.73251,1.03258,1167
2,14000,3.29606,1.41134,0.00283,0.086419,2.04934,1.15234,1189
2,15000,3.65237,1.41098,0.003018,0.096509,2.26279,1.28454,1205
2,16000,4.04786,1.4096,0.003196,0.105744,2.55411,1.37891,1212
2,17000,4.34879,1.40945,0.003389,0.116761,2.84326,1.37906,1220
2,18000,4.6529,1.40911,0.003578,0.126373,3.13712,1.37913,1223
2,19000,5.12911,1.40896,0.003785,0.136752,3.49781,1.48366,1231
2,20000,5.45224,1.40887,0.003979,0.147797,3.80921,1.48373,1234
2,21000,6.64826,1.40872,0.004172,0.159154,4.30761,2.16939,1260
2,22000,7.15972,1.40872,0.00435,0.169408,4.63569,2.34192,1271
2,23000,7.74187,1.40869,0.004533,0.180464,4.97235,2.57579,1280
2,24000,8.25134,1.40869,0.004712,0.192231,5.31695,2.72828,1286
2,25000,8.77621,1.40869,0.004891,0.204003,5.66896,2.88875,1293
2,26000,9.34992,1.40855,0.005063,0.215015,6.05558,3.06423,1314
2,27000,9.842,1.40819,0.005253,0.227451,6.39543,3.2034,1323
2,28000,10.1841,1.40819,0.005435,0.240245,6.72409,3.2034,1323
3,1000,0.388229,1.4425,0.000279,0.008699,0.035962,0.342918,445
3,2000,0.470919,1.42448,0.000483,0.010869,0.074334,0.384538,628
3,3000,0.602068,1.42054,0.000692,0.014067,0.152131,0.434129,690
3,4000,0.878491,1.41407,0.000909,0.018379,0.284969,0.572831,765
3,5000,1.19386,1.41383,0.001114,0.02356,0.403394,0.764035,808
3,6000,1.33825,1.41357,0.001311,0.029119,0.501861,0.803852,821
3,7000,1.55736,1.41342,0.001494,0.035258,0.658283,0.859854,841
3,8000,1.87131,1.41342,0.001679,0.041558,0.851057,0.974171,868
3,9000,2.30697,1.41289,0.001854,0.048686,1.05821,1.19499,900
3,10000,2.48433,1.41289,0.002053,0.056479,1.19423,1.22799,907
3,11000,2.87023,1.4121,0.002244,0.065156,1.42785,1.37101,930
3,12000,3.36423,1.41029,0.002436,0.074152,1.72381,1.55949,956
3,13000,3.67397,1.41021,0.002635,0.08319,2.02386,1.55955,959
3,14000,4.2275,1.40923,0.00281,0.092634,2.32865,1.79826,977
3,15000,4.66177,1.40923,0.003002,0.102063,2.58993,1.96125,990
3,16000,5.88244,1.40923,0.003209,0.11186,2.90045,2.86102,1025
3,17000,6.09814,1.40867,0.003383,0.122046,3.10525,2.86115,1038
3,18000,7.33877,1.40835,0.003594,0.132465,3.60086,3.59514,1087
3,19000,7.85667,1.40813,0.00376,0.143498,3.96436,3.73791,1104
3,20000,8.14761,1.40813,0.003954,0.155899,4.24226,3.73791,1104
3,21000,9.00575,1.4078,0.00417,0.168042,4.66385,4.16169,1123
3,22000,10.0878,1.4078,0.004353,0.179058,5.05301,4.84297,1140
4,1000,0.049293,1.44567,0.000271,0.001975,0.023484,0.02323,664
4,2000,0.109146,1.43582,0.000494,0.004368,0.057007,0.046631,760
4,3000,0.24209,1.42128,0.00072,0.007856,0.142322,0.090176,843
4,4000,0.468238,1.41623,0.000923,0.011926,0.242536,0.211478,916
4,5000,0.62792,1.41555,0.001126,0.016407,0.36152,0.247147,945
4,6000,1.03728,1.41376,0.001326,0.021758,0.553841,0.458254,1022
4,7000,1.33223,1.41158,0.001547,0.028415,0.742437,0.557359,1057
4,8000,1.49911,1.41152,0.001743,0.034975,0.870247,0.589305,1062
4,9000,1.89726,1.41085,0.001933,0.042367,1.11791,0.731801,1084
4,10000,2.1781,1.41016,0.002113,0.050873,1.34647,0.77499,1095
4,11000,2.68529,1.41016,0.002311,0.058829,1.55037,1.06974,1111
4,12000,3.0816,1.41005,0.002505,0.067793,1.87071,1.13615,1123
4,13000,3.35343,1.40977,0.002686,0.077208,2.13247,1.13622,1127
4,14000,4.23444,1.40962,0.00288,0.086604,2.65422,1.48544,1159
4,15000,4.59997,1.40956,0.003062,0.096712,2.88459,1.60989,1167
4,16000,4.90253,1.40846,0.00325,0.106368,3.17662,1.6102,1190
4,17000,5.36211,1.40844,0.00345,0.11615,3.5288,1.7072,1199
4,18000,5.90248,1.40802,0.003623,0.126729,3.83265,1.93255,1242
4,19000,6.50798,1.40792,0.003824,0.137887,4.21233,2.1466,1259
4,20000,6.75875,1.40792,0.004016,0.149313,4.45104,2.1466,1259
4,21000,7.01815,1.40743,0.004198,0.160192,4.69889,2.14668,1272
