trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.013216,1.47115,0.000274,0.003005,0.003652,0.003484,197
0,2000,0.032647,1.45321,0.000539,0.006717,0.009938,0.010002,288
0,3000,0.055364,1.4455,0.000785,0.010566,0.016984,0.01905,374
0,4000,0.068941,1.43818,0.000998,0.014407,0.021851,0.021482,400
0,5000,0.089326,1.43037,0.001231,0.018575,0.030975,0.025908,450
0,6000,0.104856,1.43032,0.001425,0.022826,0.036789,0.028907,468
0,7000,0.119154,1.42527,0.001642,0.026963,0.044533,0.02897,485
0,8000,0.137083,1.42072,0.001874,0.031688,0.051472,0.032685,504
0,9000,0.148924,1.42067,0.002093,0.036393,0.056066,0.032717,506
0,10000,0.165487,1.41996,0.002324,0.041078,0.065492,0.032782,512
0,11000,0.186328,1.41901,0.002524,0.046083,0.07153,0.040188,536
0,12000,0.200931,1.41869,0.00274,0.051281,0.078417,0.040265,542
0,13000,0.241026,1.41869,0.002977,0.057207,0.093661,0.056685,550
0,14000,0.307739,1.41536,0.003206,0.06483,0.129458,0.077276,626
0,15000,0.360206,1.41536,0.003482,0.07409,0.153961,0.093205,635
0,16000,0.397042,1.41255,0.003719,0.081201,0.181023,0.093329,654
0,17000,0.417362,1.41249,0.003938,0.087562,0.19245,0.093382,656
0,18000,0.437348,1.41199,0.004137,0.093724,0.203788,0.093437,667
0,19000,0.452796,1.41199,0.00435,0.100212,0.210168,0.093437,667
0,20000,0.497074,1.41127,0.004603,0.1078,0.244142,0.093497,676
0,21000,0.519488,1.4101,0.004831,0.115032,0.256825,0.093549,679
0,22000,0.563912,1.40996,0.00506,0.122646,0.284905,0.099774,693
0,23000,0.581308,1.40996,0.005325,0.13,0.292431,0.099774,693
0,24000,0.596035,1.40996,0.005531,0.13661,0.298177,0.099774,693
0,25000,0.618922,1.4099,0.00575,0.143942,0.31126,0.099833,696
0,26000,0.652112,1.4099,0.005992,0.151964,0.333881,0.099833,696
0,27000,0.699194,1.40985,0.006288,0.160758,0.353947,0.115005,702
0,28000,0.754474,1.40941,0.006517,0.169498,0.382945,0.129981,710
0,29000,0.777184,1.40941,0.006753,0.177981,0.394675,0.129981,710
0,30000,0.805682,1.40917,0.006994,0.187132,0.411247,0.130049,713
0,31000,0.844138,1.40874,0.007219,0.195081,0.439349,0.130121,717
0,32000,0.867937,1.40864,0.007479,0.204554,0.451055,0.130193,720
0,33000,0.903135,1.40815,0.007742,0.214416,0.473642,0.130269,722
0,34000,0.921965,1.40815,0.007965,0.223268,0.480985,0.130269,722
0,35000,0.947798,1.40815,0.008204,0.232775,0.494726,0.130269,722
0,36000,1.01368,1.40752,0.008449,0.242244,0.529112,0.149818,729
0,37000,1.10676,1.40752,0.008687,0.252504,0.57353,0.18569,734
0,38000,1.12837,1.40752,0.00893,0.262296,0.582722,0.18569,734
0,39000,1.15104,1.40752,0.00917,0.272444,0.592651,0.18569,734
0,40000,1.17233,1.40752,0.009401,0.282591,0.601232,0.18569,734
0,41000,1.20479,1.40737,0.009663,0.292604,0.621196,0.185764,739
0,42000,1.23711,1.40722,0.009905,0.302786,0.640788,0.185846,745
0,43000,1.25806,1.40722,0.010148,0.312765,0.649205,0.185846,745
0,44000,1.29088,1.40722,0.010383,0.323677,0.668631,0.185846,745
0,45000,1.32951,1.40713,0.010615,0.334783,0.693483,0.185915,747
0,46000,1.35228,1.40713,0.010864,0.345388,0.703182,0.185915,747
0,47000,1.37569,1.40713,0.011116,0.356578,0.712763,0.185915,747
0,48000,1.40767,1.40713,0.011367,0.367258,0.731573,0.185915,747
0,49000,1.4383,1.40711,0.011618,0.378237,0.748745,0.185999,752
0,50000,1.46183,1.40711,0.01186,0.389544,0.758421,0.185999,752
0,51000,1.52691,1.40711,0.01211,0.401398,0.809094,0.185999,752
0,52000,1.55239,1.40711,0.012355,0.413786,0.819508,0.185999,752
0,53000,1.70305,1.40711,0.012592,0.425859,0.885447,0.256127,766
0,54000,1.72963,1.40711,0.012855,0.438499,0.89672,0.256127,766
0,55000,1.78461,1.40641,0.013125,0.451638,0.935781,0.256209,771
0,56000,1.80976,1.40641,0.013385,0.463795,0.946185,0.256209,771
0,57000,1.88651,1.40641,0.013635,0.477102,1.00694,0.256209,771
0,58000,1.91248,1.40641,0.013876,0.489253,1.01829,0.256209,771
0,59000,1.93973,1.40641,0.014141,0.501488,1.0308,0.256209,771
0,60000,1.99121,1.40641,0.014389,0.514258,1.06703,0.256209,771
0,61000,2.05404,1.40635,0.014637,0.526228,1.08724,0.284487,783
0,62000,2.07908,1.40635,0.014895,0.538676,1.0973,0.284487,783
0,63000,2.18067,1.40627,0.01514,0.551536,1.12643,0.341451,793
0,64000,2.20807,1.40627,0.015393,0.5651,1.13754,0.341451,793
0,65000,2.29008,1.40615,0.015656,0.577781,1.20415,0.341655,800
0,66000,2.31646,1.40615,0.015927,0.590992,1.21473,0.341655,800
0,67000,2.48041,1.40608,0.016234,0.607862,1.31907,0.381645,857
0,68000,2.5085,1.40608,0.016501,0.621705,1.33058,0.381645,857
0,69000,2.53595,1.40608,0.016759,0.635354,1.34172,0.381645,857
0,70000,2.56268,1.40608,0.017021,0.648181,1.35309,0.381645,857
0,71000,2.61529,1.40608,0.017288,0.662424,1.38877,0.381645,857
0,72000,2.67856,1.40571,0.017537,0.675924,1.43585,0.381728,860
0,73000,2.70824,1.40571,0.017792,0.69055,1.44827,0.381728,860
0,74000,2.77514,1.4056,0.018045,0.704197,1.46858,0.412193,867
0,75000,2.80413,1.4056,0.018306,0.718966,1.48025,0.412193,867
0,76000,2.83281,1.4056,0.018571,0.733819,1.49145,0.412193,867
0,77000,2.86177,1.4056,0.018852,0.748266,1.50343,0.412193,867
0,78000,2.89259,1.4056,0.01913,0.763657,1.51615,0.412193,867
0,79000,2.96588,1.4056,0.019393,0.778406,1.57214,0.412193,867
0,80000,3.0379,1.4056,0.019693,0.79467,1.62512,0.412193,867
0,81000,3.0654,1.4056,0.019958,0.808725,1.63601,0.412193,867
0,82000,3.096,1.4056,0.020233,0.823742,1.64894,0.412193,867
0,83000,3.12806,1.4056,0.020518,0.840035,1.66193,0.412193,867
0,84000,3.15606,1.4056,0.020782,0.854146,1.67335,0.412193,867
