trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.008266,1.79969,0.000321,0.003107,0.000796,0.001032,95
0,2000,0.015509,1.79969,0.000595,0.006707,0.001363,0.001126,95
0,3000,0.023174,1.79969,0.000858,0.010734,0.002003,0.001215,95
0,4000,0.031032,1.79969,0.001142,0.014975,0.002693,0.001302,95
0,5000,0.039355,1.79969,0.001436,0.019524,0.003459,0.001393,95
0,6000,0.047892,1.79969,0.001735,0.024195,0.004278,0.001484,95
0,7000,0.05676,1.79969,0.001999,0.029087,0.005142,0.001579,95
0,8000,0.065776,1.79969,0.002264,0.034114,0.006056,0.001675,95
0,9000,0.074786,1.79969,0.002554,0.03918,0.006955,0.001767,95
0,10000,0.083966,1.79969,0.002844,0.044358,0.007891,0.001851,95
0,11000,0.092722,1.79969,0.003121,0.049376,0.008756,0.001946,95
0,12000,0.102732,1.79969,0.003448,0.055007,0.009842,0.002039,95
0,13000,0.111916,1.79969,0.003721,0.060232,0.010832,0.002135,95
0,14000,0.12177,1.79969,0.004021,0.0659,0.011907,0.002228,95
0,15000,0.132132,1.79969,0.00433,0.071801,0.013121,0.002323,95
0,16000,0.142624,1.79969,0.004625,0.077816,0.014345,0.002407,95
0,17000,0.152835,1.79969,0.00491,0.083718,0.015534,0.002503,95
0,18000,0.163698,1.79969,0.005204,0.090096,0.017006,0.002603,95
0,19000,0.17472,1.79969,0.005514,0.096465,0.018498,0.002697,95
0,20000,0.185112,1.79969,0.005875,0.102507,0.019833,0.002792,95
0,21000,0.196645,1.79969,0.006182,0.109181,0.021426,0.002885,95
0,22000,0.208948,1.79969,0.006489,0.116303,0.023181,0.002985,95
0,23000,0.220674,1.79969,0.006815,0.123225,0.024877,0.003072,95
0,24000,0.232705,1.79969,0.007134,0.130365,0.026652,0.003169,95
0,25000,0.246446,1.79969,0.00744,0.138513,0.02892,0.003268,95
0,26000,0.260752,1.79969,0.007768,0.147047,0.03134,0.003373,95
0,27000,0.275347,1.79969,0.008111,0.15595,0.033846,0.003481,95
0,28000,0.290535,1.79969,0.00847,0.165266,0.0365,0.003594,95
0,29000,0.304933,1.79969,0.008814,0.173982,0.039005,0.003686,95
0,30000,0.320386,1.79969,0.009148,0.1834,0.041645,0.003797,95
0,31000,0.335866,1.79969,0.009492,0.192925,0.04432,0.003905,95
0,32000,0.350823,1.79969,0.009843,0.20217,0.04694,0.004014,95
0,33000,0.367757,1.79969,0.010222,0.212626,0.049984,0.004125,95
0,34000,0.384212,1.79969,0.010565,0.222934,0.052959,0.004237,95
0,35000,0.401845,1.79969,0.010919,0.233971,0.05621,0.004354,95
0,36000,0.418836,1.79969,0.011282,0.244656,0.05929,0.004458,95
0,37000,0.43624,1.79969,0.011642,0.2556,0.062491,0.00457,95
0,38000,0.454238,1.79969,0.011998,0.267021,0.06576,0.004682,95
0,39000,0.474332,1.79969,0.01236,0.279642,0.069693,0.004809,95
0,40000,0.494673,1.79969,0.012725,0.292268,0.073964,0.004937,95
0,41000,0.513584,1.79969,0.013127,0.304338,0.077471,0.005045,95
0,42000,0.532783,1.79969,0.013494,0.316689,0.081056,0.005163,95
0,43000,0.552954,1.79969,0.013867,0.329596,0.084805,0.005286,95
0,44000,0.572918,1.79969,0.014241,0.342451,0.088568,0.005414,95
0,45000,0.59354,1.79969,0.014619,0.355802,0.092438,0.005546,95
0,46000,0.613759,1.79969,0.015,0.368824,0.096262,0.005671,95
0,47000,0.633712,1.79969,0.015345,0.381727,0.100018,0.005784,95
