trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.032258,1.45819,0.000569,0.003688,0.026698,0,7319
0,2000,0.056099,1.43932,0.000806,0.006082,0.04388,0,15031
0,3000,0.103321,1.42545,0.00105,0.009,0.080105,0,24427
0,4000,0.145474,1.42043,0.001234,0.012158,0.107318,0,35165
0,5000,0.197313,1.41905,0.001415,0.015837,0.139909,0,47237
0,6000,0.253349,1.41705,0.001628,0.019554,0.173093,0,58888
0,7000,0.396225,1.41293,0.001814,0.024619,0.281776,0,71890
0,8000,0.477388,1.41233,0.002004,0.029625,0.324018,0,85429
0,9000,0.561896,1.41098,0.002175,0.034551,0.36504,0,98142
0,10000,0.658737,1.41032,0.002347,0.040282,0.412515,0,112418
0,11000,0.763391,1.41015,0.002543,0.046245,0.46207,0,126977
0,12000,0.880876,1.41015,0.002743,0.052979,0.51746,0,143007
0,13000,1.00245,1.40813,0.002898,0.059605,0.571012,0,157799
0,14000,1.14044,1.40813,0.003065,0.067412,0.632701,0,174762
0,15000,1.50967,1.40787,0.003245,0.076,0.902485,0,192497
0,16000,1.69783,1.40784,0.003432,0.085268,0.977326,0,210089
0,17000,1.88698,1.40721,0.0036,0.094096,1.04534,0,227449
0,18000,2.09481,1.40716,0.003789,0.104142,1.12109,0,247367
0,19000,2.30803,1.4066,0.00398,0.113959,1.19422,0,266234
0,20000,2.51942,1.4066,0.004153,0.122997,1.26029,0,282936
0,21000,2.74971,1.40649,0.004332,0.133001,1.3356,0,302104
0,22000,2.99081,1.40649,0.004498,0.143435,1.4129,0,321293
0,23000,3.24693,1.40624,0.004679,0.154529,1.49522,0,341408
0,24000,3.51069,1.40614,0.004843,0.165518,1.57658,0,361360
0,25000,3.79131,1.40603,0.005019,0.177501,1.66437,0,382476
0,26000,4.0628,1.40599,0.005186,0.187375,1.73703,0,399983
0,27000,4.35064,1.40599,0.005352,0.198093,1.81671,0,418785
0,28000,4.63962,1.40599,0.005517,0.208082,1.89044,0,436210
0,29000,4.9545,1.40599,0.00569,0.220102,1.97874,0,457015
0,30000,5.28029,1.40599,0.005858,0.232103,2.06777,0,477607
0,31000,5.61957,1.40599,0.00606,0.244648,2.16037,0,499275
0,32000,6.57467,1.40593,0.006216,0.257245,2.81985,0,520163
0,33000,6.99793,1.40462,0.006394,0.271872,2.92769,0,542933
0,34000,7.42864,1.40459,0.006554,0.285043,3.02728,0,563238
0,35000,7.88855,1.4045,0.006723,0.298705,3.13559,0,584484
0,36000,8.34605,1.40423,0.006886,0.311453,3.22968,0,604992
0,37000,8.82649,1.40423,0.007075,0.326277,3.33576,0,628844
0,38000,9.31461,1.40423,0.007265,0.340673,3.43777,0,651774
0,39000,9.81089,1.40423,0.007437,0.354671,3.53832,0,674270
0,40000,10.3215,1.40423,0.007595,0.368976,3.64048,0,696884
1,1000,0.346241,1.45855,0.000395,0.021247,0.08129,0,8074
1,2000,0.377708,1.43177,0.000649,0.023988,0.102353,0,16114
1,3000,0.417126,1.42298,0.000852,0.027037,0.127455,0,26231
1,4000,0.464485,1.42147,0.001041,0.030415,0.155952,0,37193
1,5000,0.524043,1.41772,0.001241,0.034671,0.190976,0,50046
1,6000,0.588739,1.41682,0.00142,0.03906,0.226538,0,62427
1,7000,0.665295,1.41673,0.001606,0.044174,0.26782,0,76367
1,8000,0.755326,1.41672,0.001801,0.050235,0.315463,0,91763
1,9000,0.851328,1.41477,0.00201,0.0564,0.362919,0,106904
1,10000,0.957231,1.41467,0.002202,0.063104,0.413587,0,122500
1,11000,1.06955,1.41418,0.002396,0.069932,0.46451,0,137608
1,12000,1.20408,1.40897,0.002572,0.078316,0.528034,0,156306
1,13000,1.34075,1.4089,0.002756,0.086241,0.58704,0,173236
1,14000,1.4877,1.40814,0.002944,0.094388,0.647709,0,190353
1,15000,1.64478,1.40762,0.003128,0.102925,0.711127,0,208001
1,16000,1.80979,1.40761,0.003306,0.111484,0.774843,0,225602
1,17000,1.98528,1.4076,0.003482,0.120316,0.840765,0,243412
1,18000,2.1704,1.4076,0.003671,0.129403,0.908032,0,261512
1,19000,2.36664,1.40758,0.00385,0.138803,0.978,0,280084
1,20000,2.58309,1.4075,0.004045,0.149312,1.05623,0,300347
1,21000,2.79862,1.4075,0.004214,0.158943,1.12777,0,318812
1,22000,3.01956,1.4075,0.004371,0.168277,1.19687,0,336664
1,23000,3.25694,1.40735,0.00454,0.17853,1.27287,0,356037
1,24000,3.50578,1.40727,0.004721,0.189064,1.35012,0,375567
1,25000,3.77195,1.40727,0.00488,0.200643,1.43488,0,396853
1,26000,4.04775,1.40688,0.005078,0.211962,1.51959,0,418100
1,27000,4.32452,1.40688,0.005244,0.222566,1.59747,0,437450
1,28000,4.62076,1.40687,0.005431,0.233976,1.68199,0,458255
1,29000,4.92666,1.40687,0.005618,0.245587,1.76834,0,479255
1,30000,5.23988,1.40687,0.005789,0.257096,1.85267,0,499674
1,31000,5.56846,1.40687,0.005968,0.269087,1.94107,0,521007
1,32000,5.90395,1.40654,0.00614,0.280791,2.02778,0,541684
1,33000,6.25448,1.40654,0.00632,0.293217,2.11862,0,563286
1,34000,6.62707,1.40654,0.006502,0.305185,2.20776,0,584545
1,35000,7.0061,1.40654,0.006697,0.318605,2.30545,0,607504
1,36000,7.39096,1.40653,0.006892,0.331258,2.39915,0,629517
1,37000,7.78756,1.40647,0.007076,0.344124,2.49415,0,651811
1,38000,8.19908,1.40573,0.007268,0.357259,2.59253,0,674614
1,39000,8.62437,1.40563,0.007426,0.370467,2.6918,0,697412
1,40000,9.05978,1.40563,0.007627,0.383723,2.79307,0,719715
1,41000,9.50436,1.40562,0.007819,0.396575,2.89269,0,741254
1,42000,9.95846,1.40562,0.007995,0.40948,2.99231,0,762811
1,43000,10.4296,1.40562,0.008189,0.42314,3.09741,0,785595
2,1000,1.06558,1.44878,0.000389,0.05983,0.024066,0,7976
2,2000,1.12044,1.42438,0.000615,0.062763,0.068415,0,16288
2,3000,1.15688,1.42244,0.000816,0.065637,0.090989,0,25535
2,4000,1.1982,1.41989,0.001017,0.068612,0.114828,0,35121
2,5000,1.25057,1.41644,0.001203,0.072369,0.14475,0,46666
2,6000,1.3134,1.41641,0.001365,0.07687,0.179899,0,59605
2,7000,1.38452,1.41484,0.001555,0.081723,0.217929,0,72704
2,8000,1.47136,1.41367,0.001743,0.08772,0.264397,0,88180
2,9000,1.56786,1.41068,0.001934,0.094301,0.313593,0,103975
2,10000,1.67558,1.4092,0.002145,0.101548,0.366646,0,120000
2,11000,1.79242,1.40857,0.002335,0.109164,0.421997,0,136373
2,12000,1.91394,1.40857,0.002517,0.116524,0.476009,0,151900
2,13000,2.05252,1.40844,0.002698,0.125281,0.536922,0,169121
2,14000,2.20534,1.40843,0.002883,0.13461,0.604552,0,188119
2,15000,2.36196,1.40843,0.003054,0.143456,0.668835,0,205683
2,16000,2.53903,1.40843,0.003234,0.153705,0.743406,0,225781
2,17000,2.71787,1.40843,0.003396,0.163362,0.812403,0,243942
2,18000,2.91944,1.4082,0.003568,0.174501,0.893118,0,265370
2,19000,3.12954,1.4082,0.003766,0.185243,0.971417,0,285679
2,20000,3.33398,1.40702,0.003942,0.194657,1.03957,0,303176
2,21000,3.55403,1.40654,0.004105,0.204844,1.11408,0,321972
2,22000,3.78487,1.40635,0.004267,0.21527,1.18995,0,341139
2,23000,4.0282,1.40614,0.004439,0.225858,1.26865,0,360625
2,24000,4.27522,1.40561,0.004596,0.236043,1.34342,0,379389
2,25000,4.5294,1.40558,0.004767,0.246139,1.41728,0,397568
2,26000,4.80054,1.40558,0.004942,0.257146,1.49819,0,417350
2,27000,5.0762,1.40558,0.005119,0.267379,1.57359,0,435806
