trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.067972,1.4471,0.000418,0.008231,0.03512,0,1986
0,2000,0.08158,1.44016,0.0007,0.012748,0.041156,0,3410
0,3000,0.380596,1.43149,0.000946,0.035878,0.314188,0,4728
0,4000,0.395274,1.42932,0.001164,0.04106,0.321029,0,6073
0,5000,0.408425,1.42911,0.001403,0.046117,0.326591,0,7411
0,6000,0.425527,1.42644,0.00162,0.051672,0.335561,0,8785
0,7000,0.440764,1.42613,0.001863,0.05726,0.342609,0,10140
0,8000,0.45632,1.42613,0.002101,0.063226,0.349568,0,11510
0,9000,0.472994,1.42613,0.002347,0.069417,0.357574,0,12845
0,10000,0.493652,1.42341,0.00258,0.076119,0.368895,0,14132
0,11000,0.517013,1.4193,0.002837,0.083442,0.382306,0,15520
0,12000,0.536787,1.4193,0.003083,0.090613,0.392169,0,16870
0,13000,0.554407,1.41877,0.003329,0.097796,0.399977,0,18158
0,14000,0.582701,1.41551,0.003572,0.105212,0.418243,0,19548
0,15000,0.622534,1.41362,0.003842,0.114076,0.446558,0,20869
0,16000,0.651659,1.41293,0.004087,0.122593,0.464515,0,22173
0,17000,0.669334,1.41288,0.004313,0.129988,0.472477,0,23331
0,18000,0.689966,1.41288,0.004548,0.138576,0.481906,0,24734
0,19000,0.723173,1.41174,0.004784,0.148381,0.502631,0,26097
0,20000,0.750253,1.4111,0.005028,0.158023,0.517394,0,27491
0,21000,0.771593,1.4111,0.005267,0.167263,0.526877,0,28843
0,22000,0.798949,1.41106,0.005504,0.177388,0.541421,0,30165
0,23000,0.825031,1.41038,0.00575,0.187092,0.555314,0,31377
0,24000,0.849403,1.41038,0.006009,0.19737,0.566759,0,32662
0,25000,0.871631,1.41038,0.006276,0.207266,0.576505,0,33953
0,26000,0.892138,1.41038,0.006514,0.216549,0.585258,0,35140
0,27000,0.956667,1.40927,0.006838,0.227514,0.635892,0,36340
0,28000,0.981185,1.40927,0.007088,0.238457,0.646746,0,37568
0,29000,1.02376,1.40919,0.007362,0.25006,0.675088,0,38778
0,30000,1.0493,1.40919,0.007607,0.261165,0.686816,0,40101
0,31000,1.10328,1.4091,0.007879,0.27377,0.725426,0,41437
0,32000,1.13587,1.4091,0.008118,0.284706,0.744583,0,42675
0,33000,1.17973,1.40873,0.008369,0.296912,0.773692,0,43890
0,34000,1.22227,1.40873,0.008653,0.309834,0.800477,0,45253
0,35000,1.24651,1.40873,0.008898,0.321359,0.810629,0,46474
0,36000,1.28361,1.40873,0.009166,0.334532,0.831825,0,47787
0,37000,1.36941,1.40853,0.009448,0.348506,0.900862,0,49110
0,38000,1.39789,1.40853,0.009692,0.361862,0.913238,0,50480
0,39000,1.44409,1.40813,0.009966,0.375323,0.943342,0,51689
0,40000,1.47389,1.40813,0.010259,0.389471,0.956227,0,53062
0,41000,1.50625,1.40793,0.010538,0.402924,0.972404,0,54398
0,42000,1.54367,1.40774,0.010804,0.416267,0.993867,0,55619
0,43000,1.59597,1.40755,0.011074,0.430617,1.02897,0,56928
0,44000,1.6423,1.40755,0.011321,0.444404,1.05895,0,58147
0,45000,1.67663,1.4075,0.01159,0.458385,1.07657,0,59396
0,46000,1.70368,1.4075,0.011852,0.471507,1.08792,0,60613
0,47000,1.73633,1.4075,0.012116,0.485563,1.10388,0,61842
0,48000,1.7666,1.4075,0.012368,0.499541,1.11761,0,63092
0,49000,1.79801,1.40748,0.012635,0.514686,1.13106,0,64385
0,50000,1.82819,1.40748,0.0129,0.528913,1.14434,0,65697
0,51000,1.85872,1.40748,0.013155,0.543925,1.15708,0,67055
0,52000,1.89055,1.40748,0.013389,0.558907,1.17124,0,68291
0,53000,1.94817,1.40748,0.013661,0.574567,1.21036,0,69678
0,54000,1.97995,1.40748,0.013936,0.590096,1.22386,0,70969
0,55000,2.01109,1.40748,0.014183,0.605627,1.23675,0,72300
0,56000,2.04863,1.40748,0.014445,0.621091,1.25612,0,73598
0,57000,2.08209,1.40748,0.014726,0.636898,1.27101,0,75006
0,58000,2.11575,1.40748,0.015031,0.652515,1.28633,0,76198
0,59000,2.14963,1.40748,0.015321,0.668138,1.30189,0,77465
0,60000,2.18189,1.40748,0.0156,0.684343,1.31509,0,78811
0,61000,2.24805,1.40748,0.01588,0.700475,1.36241,0,80083
0,62000,2.28043,1.40748,0.016136,0.71586,1.37673,0,81276
0,63000,2.44642,1.40748,0.016412,0.744878,1.39113,0,82502
0,64000,2.49801,1.40747,0.01668,0.762158,1.42232,0,83828
0,65000,2.52906,1.40747,0.016946,0.778629,1.43408,0,85039
0,66000,2.56245,1.40747,0.017252,0.795817,1.44728,0,86264
0,67000,2.5959,1.40747,0.017515,0.813521,1.46006,0,87518
0,68000,2.63053,1.40747,0.01781,0.831447,1.47384,0,88919
0,69000,2.76558,1.40734,0.01809,0.850851,1.58653,0,90301
0,70000,2.80157,1.40734,0.018358,0.869026,1.60141,0,91618
0,71000,2.83746,1.40734,0.018651,0.888288,1.61506,0,92908
0,72000,2.87207,1.40734,0.018937,0.906836,1.62826,0,94260
0,73000,2.92822,1.40734,0.019234,0.926146,1.66212,0,95586
0,74000,2.9681,1.40734,0.019539,0.945967,1.67919,0,97009
0,75000,3.02708,1.40727,0.019848,0.965222,1.71598,0,98251
0,76000,3.12361,1.40613,0.020125,0.985557,1.78918,0,99635
0,77000,3.15872,1.40613,0.020409,1.00413,1.80282,0,100917
0,78000,3.22491,1.40604,0.020682,1.02417,1.84607,0,102242
0,79000,3.26034,1.40604,0.02097,1.04298,1.85986,0,103521
0,80000,3.30581,1.40604,0.02126,1.06312,1.88231,0,104830
0,81000,3.36657,1.40604,0.021496,1.08244,1.92097,0,106055
0,82000,3.49085,1.40599,0.021756,1.10119,2.02386,0,107317
0,83000,3.53697,1.40522,0.022044,1.12258,2.04562,0,108729
0,84000,3.57455,1.40522,0.022351,1.14256,2.0604,0,110068
0,85000,3.61105,1.40522,0.022624,1.16155,2.07525,0,111286
0,86000,3.6819,1.40522,0.022906,1.18189,2.12295,0,112504
0,87000,3.71683,1.40522,0.023182,1.20034,2.13678,0,113715
0,88000,3.75483,1.40522,0.023479,1.22038,2.15189,0,115075
0,89000,3.79359,1.40522,0.023762,1.24025,2.16801,0,116415
0,90000,3.83446,1.40522,0.024071,1.26139,2.18482,0,117790
0,91000,3.87103,1.40522,0.024337,1.28057,2.19951,0,119033
0,92000,3.90894,1.40522,0.024643,1.30077,2.21444,0,120283
0,93000,3.94819,1.40522,0.024955,1.32107,2.23055,0,121568
0,94000,3.98334,1.40522,0.025228,1.34008,2.24407,0,122726
0,95000,4.0225,1.40522,0.025527,1.36067,2.25983,0,124065
0,96000,4.05973,1.40522,0.025801,1.38047,2.27454,0,125318
0,97000,4.09974,1.40522,0.026085,1.40187,2.29022,0,126652
0,98000,4.13533,1.40522,0.026369,1.4211,2.30397,0,127850
0,99000,4.17748,1.4052,0.026666,1.44084,2.32363,0,129125
0,100000,4.25407,1.4052,0.026931,1.46142,2.37677,0,130506
1,1000,0.074828,1.57656,0.000388,0.007086,0.012036,0,1855
1,2000,0.09077,1.45026,0.000676,0.011584,0.020507,0,3478
1,3000,0.105213,1.44168,0.000941,0.016182,0.027681,0,4909
1,4000,0.119476,1.43309,0.001183,0.021061,0.0344,0,6380
1,5000,0.136111,1.42001,0.00142,0.026117,0.043477,0,7755
1,6000,0.151763,1.41985,0.001659,0.031159,0.051667,0,9037
1,7000,0.164745,1.41985,0.001867,0.036214,0.057227,0,10340
1,8000,0.178824,1.41985,0.002084,0.041272,0.063949,0,11515
1,9000,0.195701,1.41891,0.00231,0.047338,0.072193,0,12910
1,10000,0.216802,1.41313,0.002534,0.053382,0.084787,0,14215
1,11000,0.231832,1.41313,0.00275,0.059489,0.091305,0,15440
1,12000,0.245288,1.41313,0.002971,0.065223,0.096723,0,16616
1,13000,0.263169,1.41313,0.003193,0.071701,0.105645,0,17907
1,14000,0.278589,1.41313,0.003449,0.078235,0.112027,0,19136
1,15000,0.294231,1.41313,0.003685,0.084731,0.118777,0,20357
1,16000,0.323452,1.40823,0.003937,0.092472,0.137798,0,21517
1,17000,0.346463,1.40821,0.004173,0.100557,0.150049,0,22880
1,18000,0.369164,1.40813,0.004431,0.108816,0.161905,0,24246
1,19000,0.389051,1.40752,0.004679,0.116801,0.171403,0,25493
1,20000,0.410258,1.40752,0.004913,0.125269,0.181578,0,26758
1,21000,0.430821,1.40752,0.00515,0.133744,0.191155,0,28012
1,22000,0.457962,1.40752,0.005397,0.143198,0.206168,0,29384
1,23000,0.487712,1.40752,0.005623,0.152905,0.223601,0,30631
1,24000,0.521769,1.40752,0.005866,0.162723,0.245176,0,31969
1,25000,0.555775,1.40752,0.006118,0.172177,0.267292,0,33148
1,26000,0.584613,1.40746,0.006345,0.181589,0.284292,0,34319
1,27000,0.606724,1.40746,0.006648,0.191517,0.293836,0,35607
1,28000,0.628247,1.40746,0.006891,0.20147,0.302892,0,36817
1,29000,0.650228,1.40746,0.007155,0.211559,0.312164,0,38079
1,30000,0.67711,1.40677,0.007421,0.222674,0.325323,0,39380
1,31000,0.713075,1.40656,0.00766,0.233851,0.347658,0,40594
1,32000,0.736296,1.40656,0.007909,0.244591,0.35756,0,41853
1,33000,0.770039,1.40656,0.008161,0.255445,0.377929,0,43010
1,34000,0.80536,1.40656,0.008437,0.267325,0.398694,0,44302
1,35000,0.830297,1.40656,0.008697,0.278931,0.409366,0,45568
