trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.010732,2.00202,0.000427,0.003518,0.003418,0,745
0,2000,0.02061,2.00202,0.000797,0.008396,0.004826,0,1277
0,3000,0.030959,2.00202,0.00116,0.013839,0.006285,0,1769
0,4000,0.042263,2.00202,0.001543,0.019858,0.00794,0,2299
0,5000,0.054498,2.00202,0.001931,0.026438,0.009753,0,2845
0,6000,0.067085,2.00202,0.002334,0.033319,0.011566,0,3379
0,7000,0.086633,2.00202,0.002767,0.046771,0.013749,0,3888
0,8000,0.099975,2.00202,0.003167,0.054289,0.015731,0,4418
0,9000,0.112575,2.00202,0.003604,0.061415,0.017576,0,4912
0,10000,0.125803,2.00202,0.004039,0.068923,0.019598,0,5414
0,11000,0.139674,2.00202,0.004461,0.076847,0.02178,0,5927
0,12000,0.154293,2.00202,0.00491,0.085194,0.024129,0,6463
0,13000,0.168593,2.00202,0.005359,0.09343,0.026452,0,6950
0,14000,0.184228,2.00202,0.005799,0.102448,0.029125,0,7465
0,15000,0.201333,2.00202,0.006267,0.112422,0.03218,0,8017
0,16000,0.218129,2.00202,0.006825,0.122262,0.035111,0,8516
0,17000,0.236787,2.00202,0.007287,0.133329,0.038513,0,9068
0,18000,0.255025,2.00202,0.007738,0.144344,0.04188,0,9579
0,19000,0.273867,2.00202,0.008205,0.155766,0.045337,0,10092
0,20000,0.293769,2.00202,0.008672,0.167986,0.04905,0,10610
0,21000,0.313824,2.00202,0.009119,0.18043,0.052794,0,11111
0,22000,0.335766,2.00202,0.009615,0.194038,0.056893,0,11653
0,23000,0.3576,2.00202,0.010104,0.207767,0.061014,0,12157
0,24000,0.378735,2.00202,0.010592,0.221169,0.064921,0,12636
0,25000,0.401895,2.00202,0.011071,0.236031,0.069269,0,13128
0,26000,0.42545,2.00202,0.011601,0.251193,0.073659,0,13632
0,27000,0.449002,2.00202,0.012099,0.266307,0.078102,0,14128
0,28000,0.473422,2.00202,0.012622,0.282262,0.082609,0,14622
0,29000,0.498366,2.00202,0.013155,0.298602,0.087182,0,15119
0,30000,0.525154,2.00202,0.01367,0.315961,0.092287,0,15661
0,31000,0.550896,2.00202,0.014182,0.332888,0.097015,0,16162
0,32000,0.577054,2.00202,0.014708,0.350174,0.101835,0,16653
0,33000,0.604521,2.00202,0.015215,0.368344,0.106994,0,17170
0,34000,0.63192,2.00202,0.015752,0.386505,0.112116,0,17678
0,35000,0.660374,2.00202,0.016272,0.40545,0.117437,0,18198
0,36000,0.68934,2.00202,0.016812,0.424666,0.122856,0,18724
0,37000,0.717422,2.00202,0.01733,0.44347,0.128066,0,19217
0,38000,0.746936,2.00202,0.017869,0.463216,0.133535,0,19736
0,39000,0.776324,2.00202,0.018406,0.482987,0.138933,0,20246
0,40000,0.806906,2.00202,0.018982,0.50337,0.144719,0,20788
0,41000,0.837737,2.00202,0.019529,0.524251,0.150426,0,21305
0,42000,0.868459,2.00202,0.020216,0.54515,0.156003,0,21801
0,43000,0.898196,2.00202,0.020744,0.565209,0.161544,0,22304
0,44000,0.927878,2.00202,0.0213,0.58533,0.167052,0,22795
0,45000,0.960059,2.00202,0.021855,0.607244,0.173029,0,23314
0,46000,0.990422,2.00202,0.022382,0.628113,0.178486,0,23782
0,47000,1.02313,2.00202,0.022951,0.650371,0.184595,0,24302
0,48000,1.05454,2.00202,0.023485,0.671982,0.190298,0,24790
0,49000,1.08774,2.00202,0.024043,0.694813,0.196393,0,25303
0,50000,1.11938,2.00202,0.024581,0.71673,0.202069,0,25775
0,51000,1.15292,2.00202,0.025141,0.739721,0.208253,0,26299
0,52000,1.18648,2.00202,0.025737,0.762824,0.214344,0,26808
0,53000,1.22056,2.00202,0.026277,0.786237,0.220616,0,27330
0,54000,1.25441,2.00202,0.026866,0.809604,0.226782,0,27834
0,55000,1.28755,2.00202,0.027409,0.832602,0.232783,0,28323
0,56000,1.32247,2.00202,0.027983,0.856679,0.239236,0,28846
