trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones
0,1,3.0026e-05,inf,2.8102e-05,0,0,0,1,0,0,1,2
0,20,0.116164,inf,0.00013281,0.0865435,6.7751e-05,0.029406,1,14,9,20,9
0,35,0.243138,inf,0.000216729,0.177936,0.000123183,0.0648384,1,35,20,35,13
0,43,0.36298,inf,0.000264077,0.295233,0.000209413,0.0672436,1,59,39,43,18
0,52,0.62141,inf,0.000318739,0.535333,0.000304882,0.085416,1,96,68,52,22
0,56,0.761359,inf,0.000344915,0.658297,0.000358006,0.102314,1,111,79,56,24
0,61,0.905863,inf,0.000372631,0.772728,0.000390727,0.132322,1,128,88,61,25
0,74,1.04194,inf,0.000439998,0.89452,0.000513912,0.146403,1,153,109,74,30
0,78,1.29526,inf,0.000470409,1.14479,0.000587438,0.149346,1,178,132,78,32
0,85,1.4142,inf,0.000508905,1.26067,0.000624393,0.152334,1,194,146,85,33
0,90,1.6455,inf,0.000540857,1.47708,0.000737954,0.167068,1,236,181,90,36
0,98,1.77663,inf,0.000586282,1.5933,0.000816868,0.181841,1,253,192,98,38
0,109,1.98257,inf,0.000650569,1.79516,0.000935432,0.185741,1,286,223,109,41
0,113,2.11933,inf,0.000673666,1.92778,0.0010282,0.189753,1,303,238,113,43
0,126,2.25858,inf,0.000750271,2.05274,0.00117718,0.203818,1,326,259,126,46
0,142,2.47384,inf,0.000846123,2.25105,0.0015067,0.220324,1,364,294,142,54
0,161,2.59864,inf,0.000953525,2.36328,0.00168917,0.232586,1,394,321,161,57
0,188,2.86981,inf,0.00110943,2.6032,0.00216805,0.263188,1,444,365,188,66
0,189,2.86982,inf,0.00111944,2.6032,0.00216805,0.263188,1,444,365,189,66
0,204,3.13146,inf,0.0012022,2.8164,0.00244444,0.311257,1,505,412,204,70
0,205,3.13147,inf,0.00121144,2.8164,0.00244444,0.311257,1,505,412,205,70
0,227,3.34952,inf,0.00133,3.01891,0.0028829,0.326235,1,545,448,227,77
