trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones
0,1,0.0133867,inf,3.0027e-05,0.0133405,1.3473e-05,1,1,1,3
0,13,0.125264,inf,0.000105477,0.125066,8.0069e-05,1,27,13,9
0,22,0.229947,inf,0.000160913,0.229632,0.000134346,1,48,22,13
0,29,0.367381,inf,0.000202872,0.366951,0.000200559,1,82,29,16
0,35,0.484744,inf,0.000238672,0.484235,0.000239054,1,98,35,18
0,38,0.654699,inf,0.000257534,0.654116,0.000291022,1,120,38,20
0,44,0.807496,inf,0.0002968,0.806806,0.000355309,1,146,44,22
0,51,0.896649,inf,0.000339914,0.895864,0.000402657,1,164,51,24
0,55,1.02685,inf,0.0003684,1.02595,0.000483881,1,194,55,27
0,60,1.12809,inf,0.000401893,1.1271,0.000532,1,207,60,29
0,72,1.29791,inf,0.000480039,1.29666,0.000708306,1,254,72,35
0,78,1.56277,inf,0.000519304,1.56136,0.000817246,1,297,78,38
0,79,1.56278,inf,0.000527003,1.56136,0.000817246,1,297,79,38
0,90,1.70237,inf,0.000596294,1.70081,0.000888076,1,317,90,40
0,99,1.80036,inf,0.000650187,1.7987,0.000927341,1,333,99,41
0,105,2.00103,1.74236,0.000692147,1.99919,0.00105514,1,379,105,44
0,114,2.1909,1.74236,0.000749888,2.18895,0.00110904,1,396,114,45
0,132,2.46793,1.74236,0.000858446,2.46564,0.00131229,1,442,132,50
0,133,2.46794,1.74236,0.000866915,2.46564,0.00131229,1,442,133,50
0,137,2.73062,1.74236,0.000900021,2.72817,0.00142046,1,476,137,52
0,139,2.80279,1.74236,0.000908875,2.80029,0.00146473,1,490,139,53
0,141,3.01317,1.74236,0.000926968,3.01055,0.00156251,1,521,141,55
0,145,3.05107,1.6771,0.000944676,3.04838,0.00161371,1,539,145,56
0,162,3.16815,1.6771,0.00104361,3.16523,0.00171919,1,567,162,58
0,171,3.34272,1.60468,0.00109942,3.3396,0.001862,1,598,171,61
0,179,3.47026,1.60468,0.00111636,3.46704,0.00192244,1,616,179,62
0,185,3.58304,1.60468,0.00114138,3.57943,0.00198326,1,634,185,63
0,188,3.74739,1.60468,0.00115909,3.74364,0.00210029,1,661,188,65
0,190,3.84253,1.60468,0.00116794,3.8387,0.00216765,1,680,190,66
0,193,3.97967,1.60468,0.00118681,3.97575,0.0022304,1,699,193,67
0,197,4.28143,1.60468,0.00121991,4.27729,0.00242095,1,755,197,70
