trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones
0,1,0.00627124,inf,2.3482e-05,0.00622812,1.8477e-05,1,1,1,3
0,49,0.102318,inf,0.000287559,0.101421,0.000541623,1,25,49,11
0,110,0.217066,inf,0.000618616,0.214709,0.00161448,1,44,110,22
0,177,0.321774,inf,0.000969689,0.317086,0.00352383,1,64,177,33
0,235,0.425027,1.69629,0.00127572,0.417541,0.00595672,1,96,235,46
0,272,0.497038,1.69629,0.00143047,0.488238,0.00705344,1,164,272,55
0,320,0.530496,1.69629,0.00154788,0.520703,0.00784529,1,186,320,59
0,373,0.568157,1.69629,0.0017238,0.556803,0.00915027,1,219,373,65
0,436,0.612193,1.69629,0.00195439,0.598532,0.0111308,1,257,436,75
0,482,0.649689,1.69629,0.00210952,0.634157,0.0127711,1,285,482,84
0,511,0.730514,1.69629,0.00223887,0.713122,0.0144491,1,311,511,94
0,550,0.788804,1.69629,0.00241979,0.769225,0.0163954,1,335,550,101
0,578,0.85878,1.69629,0.00254798,0.837251,0.0181662,1,365,578,110
0,635,0.890113,1.69629,0.0027547,0.86551,0.0209467,1,389,635,119
0,682,0.933897,1.69629,0.00291138,0.906675,0.0233269,1,402,682,128
0,748,0.954918,1.69629,0.00317545,0.923898,0.0267649,1,410,748,134
0,799,0.99545,1.69629,0.00332404,0.961681,0.0292774,1,424,799,143
0,848,1.03916,1.69629,0.00355039,1.00156,0.032804,1,441,848,152
0,891,1.08689,1.55786,0.00370091,1.04633,0.0355417,1,454,891,160
0,977,1.11186,1.55786,0.00400117,1.06617,0.0402374,1,464,977,167
0,1014,1.18016,1.55786,0.00415669,1.13116,0.0433289,1,482,1014,175
0,1077,1.22533,1.55786,0.00442115,1.17068,0.0486154,1,509,1077,186
0,1134,1.28565,1.55786,0.00466136,1.22505,0.0542326,1,540,1134,201
0,1199,1.32029,1.55786,0.00490734,1.25451,0.0590542,1,552,1199,207
0,1261,1.36693,1.55786,0.00516526,1.29431,0.0655356,1,576,1261,219
0,1326,1.41088,1.55786,0.00545397,1.33057,0.0728385,1,595,1326,232
0,1403,1.44292,1.55786,0.00578388,1.35635,0.0786393,1,604,1403,237
0,1450,1.50997,1.55786,0.00594902,1.41814,0.0836506,1,631,1450,249
0,1519,1.55034,1.55786,0.00618654,1.45217,0.089637,1,644,1519,257
0,1587,1.59378,1.55786,0.00645793,1.4875,0.0973679,1,666,1587,271
0,1652,1.6335,1.55786,0.00668697,1.52056,0.103685,1,683,1652,279
0,1729,1.67061,1.55786,0.00698223,1.54896,0.111985,1,699,1729,290
0,1795,1.70819,1.55786,0.00723129,1.57868,0.119488,1,714,1795,299
0,1854,1.75795,1.55786,0.00751153,1.61894,0.128614,1,735,1854,311
0,1928,1.79228,1.55786,0.00784297,1.6432,0.138239,1,746,1928,319
0,1992,1.83534,1.55786,0.00810667,1.67717,0.146972,1,764,1992,330
0,2064,1.87128,1.55786,0.00837189,1.70385,0.155834,1,780,2064,340
0,2130,1.9147,1.55786,0.00863443,1.73749,0.165256,1,796,2130,351
0,2203,1.95222,1.55786,0.00892276,1.76297,0.176891,1,815,2203,366
0,2276,1.99587,1.55786,0.00924265,1.79398,0.189093,1,832,2276,379
0,2344,2.02776,1.55786,0.00949749,1.81535,0.199247,1,848,2344,391
0,2402,2.08008,1.55786,0.00974309,1.85701,0.209563,1,879,2402,403
0,2457,2.13096,1.55786,0.00997136,1.89646,0.220678,1,902,2457,418
0,2524,2.17342,1.55786,0.0102693,1.92574,0.233433,1,920,2524,430
0,2595,2.21242,1.55786,0.0105496,1.95312,0.244653,1,938,2595,439
0,2655,2.26139,1.55786,0.0108017,1.98826,0.258124,1,962,2655,457
0,2724,2.2987,1.55786,0.0111655,2.00944,0.273797,1,980,2724,469
0,2765,2.37171,1.55786,0.0113337,2.07283,0.283171,1,1023,2765,480
