trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,1.61618,2.37263,0.000394,0.006489,0.138269,1.47065,2270
0,2000,2.5368,2.31094,0.000788,0.013723,0.533689,1.98785,2897
0,3000,3.46668,2.27704,0.001182,0.02364,1.03145,2.40926,3078
0,4000,3.86226,2.27418,0.001552,0.035274,1.28216,2.54173,3111
0,5000,4.61479,2.26329,0.001893,0.047981,1.60082,2.96214,3137
0,6000,5.02649,2.26324,0.002264,0.062849,1.88002,3.07899,3164
0,7000,15.1569,2.26195,0.002631,0.078965,2.17184,12.9007,3546
1,1000,0.229934,inf,0.000334,0.003973,0.101159,0.124118,879
1,2000,2.51574,inf,0.000694,0.009883,0.247319,2.25715,1373
1,3000,8.05551,2.26357,0.00106,0.018023,0.364552,7.67073,1912
1,4000,12.5796,2.2612,0.001443,0.028561,0.63802,11.91,2204
2,1000,0.37177,inf,0.000373,0.004422,0.129775,0.236867,1060
2,2000,5.61323,2.30046,0.000751,0.011027,0.407063,5.19366,2353
2,3000,6.25718,2.29966,0.001131,0.02048,0.769544,5.4649,2518
2,4000,12.5093,2.25713,0.001534,0.032282,1.33768,11.1363,3104
3,1000,0.256366,inf,0.000356,0.004012,0.097087,0.154589,1330
3,2000,4.25917,2.31138,0.000722,0.010521,0.347174,3.90003,2209
3,3000,12.7261,2.27208,0.001121,0.019497,0.701153,12.0032,3063
4,1000,0.321578,inf,0.000387,0.004125,0.12061,0.196125,1104
4,2000,3.7802,2.2904,0.000781,0.010857,0.531171,3.23668,2146
4,3000,4.8309,2.27982,0.00115,0.019823,0.957447,3.85137,2337
4,4000,19.6362,2.2608,0.001522,0.030589,1.25834,18.3442,3167
5,1000,0.197801,inf,0.000354,0.003946,0.057236,0.135921,916
5,2000,8.25458,2.31464,0.000744,0.01039,0.405545,7.83712,2440
5,3000,9.01246,2.28162,0.001144,0.019888,0.805715,8.18453,2675
5,4000,9.34728,2.27601,0.001527,0.030865,1.06368,8.24963,2742
5,5000,9.91872,2.26746,0.001923,0.043347,1.35918,8.51227,2799
5,6000,10.5811,2.26722,0.002305,0.056803,1.71137,8.80823,2864
6,1000,0.980077,inf,0.00035,0.003925,0.06207,0.913394,1620
6,2000,2.52634,2.25639,0.000771,0.010709,0.421172,2.09295,2255
6,3000,3.30537,2.25629,0.001152,0.019263,0.711493,2.57234,2406
6,4000,3.67001,2.25205,0.00152,0.029576,0.958166,2.67929,2443
6,5000,15.1176,2.24537,0.00188,0.04168,1.30673,13.7654,3141
7,1000,0.344264,inf,0.000357,0.003911,0.067463,0.272205,1005
7,2000,4.14299,2.31458,0.000728,0.010476,0.355322,3.77574,2203
7,3000,9.08584,2.27452,0.001107,0.01984,0.694776,8.36895,2802
7,4000,9.75001,2.27218,0.001503,0.030752,0.996896,8.71931,2936
7,5000,10.2416,2.26536,0.001882,0.042705,1.24624,8.94883,3019
8,1000,0.426369,inf,0.00033,0.004033,0.067901,0.353754,983
8,2000,0.925626,inf,0.000694,0.010327,0.30605,0.607851,1261
8,3000,16.1102,2.26734,0.001062,0.019171,0.587065,15.5017,2519
9,1000,0.683769,2.28332,0.000354,0.004107,0.173971,0.504937,1960
9,2000,1.54126,2.28207,0.00073,0.010918,0.504718,1.02412,2488
9,3000,9.23213,2.26872,0.001117,0.020396,0.755135,8.45431,3323
9,4000,9.86261,2.26275,0.001504,0.031559,1.03381,8.79416,3435
9,5000,10.8586,2.25628,0.001867,0.043875,1.26375,9.54709,3522
