trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.012589,inf,0.000371,0.005162,0.002251,2.4e-05,162
0,2000,0.026659,inf,0.000748,0.011403,0.004755,2.4e-05,216
0,3000,0.040628,inf,0.001136,0.01784,0.007132,2.4e-05,228
0,4000,0.06024,inf,0.001531,0.024591,0.010778,0.004005,237
0,5000,0.075698,inf,0.001922,0.031788,0.013831,0.004005,237
0,6000,0.340915,inf,0.002341,0.039734,0.063046,0.206745,448
0,7000,0.397969,inf,0.002779,0.047962,0.074147,0.23907,462
0,8000,0.415909,inf,0.00318,0.056232,0.078406,0.23907,462
0,9000,1.29247,2.36656,0.003686,0.066861,0.353866,0.823992,896
0,10000,1.73351,2.28945,0.004352,0.081459,0.741592,0.85633,1047
0,11000,1.93629,2.27162,0.004905,0.096581,0.921874,0.857398,1099
0,12000,2.27017,2.25355,0.005473,0.112578,1.17383,0.916829,1194
0,13000,2.54312,2.25242,0.006009,0.12842,1.27792,1.06355,1220
0,14000,2.83332,2.25184,0.006559,0.144281,1.42387,1.18568,1281
0,15000,3.17569,2.25042,0.00715,0.161328,1.65255,1.27592,1331
0,16000,3.48577,2.24814,0.007661,0.178382,1.81889,1.39624,1396
0,17000,3.62693,2.24579,0.008187,0.195589,1.9359,1.39682,1415
0,18000,3.88709,2.24362,0.008782,0.212752,2.11009,1.45928,1448
0,19000,4.00091,2.24277,0.009377,0.230668,2.19919,1.45957,1458
0,20000,4.15454,2.24236,0.009917,0.248143,2.29305,1.4956,1476
0,21000,4.48974,2.24127,0.010485,0.266701,2.49448,1.6043,1545
0,22000,4.69431,2.24085,0.011063,0.284986,2.63707,1.64161,1566
0,23000,4.90162,2.2403,0.011667,0.303753,2.81833,1.64246,1580
0,24000,5.08114,2.24007,0.01225,0.322707,2.97203,1.64281,1587
0,25000,5.31505,2.2399,0.012813,0.342035,3.13713,1.68579,1617
0,26000,5.48212,2.23973,0.013364,0.361396,3.23069,1.73344,1640
0,27000,5.65388,2.23884,0.013967,0.380666,3.37647,1.73381,1658
0,28000,5.76672,2.2386,0.014535,0.400327,3.46277,1.73416,1668
0,29000,5.9043,2.23846,0.015107,0.420464,3.57339,1.73452,1676
0,30000,5.9826,2.23846,0.015649,0.440238,3.62536,1.73452,1676
0,31000,6.23556,2.23833,0.016251,0.460759,3.7911,1.79466,1682
0,32000,6.42151,2.23818,0.016814,0.480938,3.89309,1.85207,1691
0,33000,6.55727,2.23818,0.017371,0.500676,3.93869,1.91624,1695
0,34000,6.75284,2.23818,0.017946,0.521098,4.04245,1.98103,1705
0,35000,6.954,2.23672,0.018532,0.542045,4.14857,2.04851,1716
0,36000,7.0225,2.23672,0.019134,0.562724,4.18993,2.04851,1718
0,37000,7.09201,2.23672,0.019683,0.583475,4.23226,2.04851,1718
0,38000,7.57325,2.23672,0.02026,0.604016,4.35836,2.37661,1736
0,39000,8.07058,2.23632,0.020869,0.625551,4.52748,2.67661,1833
0,40000,8.15217,2.23632,0.021479,0.646927,4.5811,2.67661,1834
0,41000,8.25416,2.23612,0.022071,0.668118,4.65517,2.67682,1840
0,42000,8.3608,2.23555,0.022645,0.689556,4.73343,2.67702,1847
0,43000,8.58464,2.23555,0.023218,0.711174,4.8414,2.7647,1868
0,44000,8.98137,2.23518,0.023814,0.732641,5.08403,2.89074,1905
0,45000,9.27171,2.23504,0.024401,0.754675,5.25258,2.9838,1922
0,46000,9.42298,2.23504,0.024995,0.776536,5.37535,2.9838,1922
0,47000,9.50501,2.23503,0.025553,0.797746,5.42954,2.98401,1924
0,48000,9.56048,2.23503,0.026136,0.81977,5.45638,2.98401,1924
0,49000,9.61709,2.23503,0.026729,0.841614,5.48446,2.98401,1925
0,50000,9.8118,2.23498,0.027293,0.863609,5.59279,3.0417,1937
0,51000,9.86319,2.23498,0.027885,0.885384,5.61587,3.0417,1937
0,52000,9.99231,2.23483,0.028455,0.907604,5.71579,3.04214,1943
0,53000,10.0428,2.23483,0.029004,0.929562,5.73787,3.04214,1946
1,1000,0.189859,inf,0.000376,0.021589,0.00277,0.160362,197
1,2000,0.207729,inf,0.000764,0.027752,0.005792,0.163837,227
1,3000,0.22389,inf,0.001157,0.034191,0.009374,0.164889,240
1,4000,0.580933,2.38997,0.001573,0.041067,0.089664,0.429393,802
1,5000,0.719048,2.30775,0.002057,0.049708,0.1714,0.471324,977
1,6000,0.821322,2.2806,0.002549,0.059905,0.238385,0.49027,1088
1,7000,0.934186,2.26963,0.003032,0.071442,0.309303,0.514638,1145
1,8000,1.04577,2.26539,0.003536,0.084341,0.389365,0.527161,1210
1,9000,1.14112,2.26267,0.004024,0.097722,0.449363,0.542881,1255
1,10000,1.24379,2.25944,0.004656,0.111836,0.521058,0.55337,1281
1,11000,1.3199,2.25859,0.00516,0.126061,0.576529,0.553482,1296
1,12000,1.46603,2.25789,0.005677,0.140738,0.653699,0.601503,1347
1,13000,1.56604,2.2558,0.006154,0.155958,0.731703,0.602133,1374
1,14000,1.69274,2.25169,0.006672,0.172178,0.809697,0.628255,1414
1,15000,1.9179,2.24956,0.007231,0.189248,0.918729,0.720885,1471
1,16000,2.10101,2.24929,0.007765,0.206515,1.02982,0.76917,1496
1,17000,2.22518,2.2452,0.008295,0.224415,1.12921,0.769578,1509
1,18000,2.30878,2.2452,0.008797,0.241891,1.18896,0.769578,1514
1,19000,2.46364,2.24479,0.009335,0.259939,1.31904,0.76987,1525
1,20000,2.52017,2.24478,0.00985,0.277793,1.35121,0.770004,1527
1,21000,2.56467,2.24478,0.01041,0.295632,1.37151,0.770004,1528
1,22000,2.6322,2.24478,0.010949,0.3137,1.41475,0.770004,1529
1,23000,2.85113,2.24403,0.011472,0.332461,1.52605,0.852554,1597
1,24000,3.08905,2.24403,0.012025,0.35141,1.65042,0.94083,1627
