trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.023133,inf,0.000385,0.016063,0.001046,5.8e-05,142
0,2000,0.036816,inf,0.000736,0.022828,0.002012,5.8e-05,190
0,3000,0.182651,inf,0.001104,0.02986,0.13224,0.002155,214
0,4000,0.207261,inf,0.001484,0.037199,0.134895,0.011301,246
0,5000,0.221058,inf,0.001869,0.044468,0.135931,0.011302,246
0,6000,0.268434,inf,0.00229,0.052596,0.143512,0.037444,319
0,7000,0.291778,inf,0.002664,0.060656,0.148729,0.042153,326
0,8000,0.315113,inf,0.003076,0.069102,0.152301,0.048065,338
0,9000,0.330575,inf,0.003466,0.077548,0.153751,0.048065,338
0,10000,0.368466,2.76478,0.003925,0.08787,0.16567,0.057743,398
0,11000,0.387145,2.76478,0.004321,0.0977,0.168066,0.058347,398
0,12000,0.408185,2.76478,0.00473,0.108453,0.171916,0.058968,398
0,13000,0.428666,2.76478,0.005146,0.119646,0.174844,0.059584,398
0,14000,0.450524,2.76478,0.005541,0.131779,0.177999,0.060216,398
0,15000,0.473225,2.76478,0.005958,0.144505,0.181316,0.060874,398
0,16000,0.496884,2.76478,0.00637,0.157899,0.184875,0.061534,398
0,17000,0.52096,2.76478,0.006765,0.171801,0.188522,0.062216,398
0,18000,0.546216,2.76478,0.007205,0.186498,0.192391,0.062907,398
0,19000,0.571616,2.76478,0.007619,0.201311,0.196337,0.06361,398
0,20000,0.598877,2.76478,0.008093,0.217348,0.200708,0.064338,398
0,21000,0.625308,2.76478,0.008552,0.233029,0.204873,0.065093,398
0,22000,0.653274,2.76478,0.009054,0.249723,0.209349,0.065865,398
0,23000,0.682725,2.76478,0.009517,0.267467,0.214102,0.066654,398
0,24000,0.711216,2.76478,0.009974,0.284738,0.218653,0.067428,398
0,25000,0.740713,2.76478,0.010434,0.302508,0.223466,0.068204,398
0,26000,0.770551,2.76478,0.010899,0.320679,0.228296,0.068997,398
0,27000,0.800984,2.76478,0.01141,0.339182,0.233279,0.069797,398
0,28000,0.831211,2.76478,0.0119,0.357679,0.23814,0.070605,398
0,29000,0.861993,2.76478,0.012425,0.376393,0.243189,0.071416,398
0,30000,0.893123,2.76478,0.012904,0.395579,0.248294,0.072243,398
0,31000,0.924913,2.76478,0.013408,0.415217,0.253519,0.073083,398
0,32000,0.956429,2.76478,0.013928,0.434685,0.258696,0.073933,398
0,33000,0.988728,2.76478,0.014391,0.454685,0.264034,0.074781,398
0,34000,1.02127,2.76478,0.014884,0.474911,0.269359,0.07564,398
0,35000,1.05454,2.76478,0.015406,0.495564,0.275023,0.076518,398
0,36000,1.08707,2.76478,0.015912,0.51585,0.28042,0.077374,398
0,37000,1.12022,2.76478,0.016455,0.536498,0.285943,0.078271,398
0,38000,1.15478,2.76478,0.016981,0.558204,0.29174,0.079166,398
0,39000,1.18888,2.76478,0.01751,0.579627,0.297446,0.080054,398
0,40000,1.22321,2.76478,0.018016,0.601225,0.303228,0.080866,398
0,41000,1.25684,2.76478,0.018542,0.622356,0.308874,0.081753,398
0,42000,1.29119,2.76478,0.019076,0.643775,0.314679,0.082616,398
0,43000,1.32585,2.76478,0.019618,0.665558,0.320567,0.083499,398
0,44000,1.36119,2.76478,0.020179,0.68782,0.326531,0.084401,398
0,45000,1.39696,2.76478,0.020711,0.710322,0.332657,0.085288,398
0,46000,1.43353,2.76478,0.021256,0.733411,0.338983,0.086192,398
0,47000,1.46875,2.76478,0.021763,0.755681,0.344962,0.087082,398
0,48000,1.50468,2.76478,0.022275,0.778392,0.351115,0.087977,398
0,49000,1.5409,2.76478,0.022803,0.801276,0.357348,0.088889,398
0,50000,1.57668,2.76478,0.023348,0.823943,0.363537,0.089782,398
0,51000,1.61279,2.76478,0.02387,0.846848,0.369732,0.090699,398
0,52000,1.64931,2.76478,0.024448,0.870045,0.376,0.091608,398
0,53000,1.68614,2.76478,0.024979,0.893429,0.382378,0.092545,398
0,54000,1.72301,2.76478,0.025511,0.916796,0.388773,0.093474,398
0,55000,1.76002,2.76478,0.026062,0.940397,0.395182,0.09441,398
0,56000,1.79777,2.76478,0.026621,0.964399,0.401736,0.095336,398
0,57000,1.83494,2.76478,0.027118,0.98809,0.408153,0.096259,398
0,58000,1.87152,2.76478,0.027646,1.01129,0.414578,0.097178,398
0,59000,1.90883,2.76478,0.028176,1.03507,0.421076,0.098128,398
0,60000,1.94603,2.76478,0.028726,1.05867,0.427537,0.099059,398
0,61000,1.98421,2.76478,0.029271,1.08299,0.434205,0.100007,398
0,62000,2.02244,2.76478,0.029807,1.1072,0.440869,0.100947,398
0,63000,2.05998,2.76478,0.030408,1.13115,0.447356,0.101887,398
0,64000,2.0983,2.76478,0.030971,1.15563,0.454031,0.102832,398
0,65000,2.136,2.76478,0.03152,1.17976,0.460554,0.103773,398
0,66000,2.17423,2.76478,0.03209,1.20406,0.467276,0.104722,398
0,67000,2.21311,2.76478,0.032641,1.22896,0.474116,0.105688,398
0,68000,2.2513,2.76478,0.033213,1.25339,0.480744,0.106639,398
0,69000,2.28908,2.76478,0.033769,1.27757,0.487346,0.107585,398
