trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.03868,2.37768,0.00046,0.004964,0.030832,0,12925
0,2000,0.097635,2.27333,0.000829,0.011018,0.075854,0,30776
0,3000,0.207363,2.26958,0.001199,0.019214,0.162901,0,50630
0,4000,0.291018,2.26629,0.001566,0.02878,0.216766,0,72194
0,5000,0.384953,2.26391,0.001917,0.039272,0.273838,0,93225
0,6000,0.604772,2.24915,0.002302,0.052637,0.441853,0,116323
0,7000,0.729682,2.24641,0.002687,0.066051,0.508305,0,139032
0,8000,0.868735,2.24641,0.003053,0.080563,0.580565,0,163069
0,9000,1.02436,2.2461,0.003442,0.096691,0.659382,0,188287
0,10000,1.18953,2.24457,0.003809,0.113468,0.739851,0,213867
0,11000,1.60876,2.24454,0.004185,0.131949,1.05422,0,239696
0,12000,1.81591,2.24418,0.004543,0.150349,1.14482,0,265158
0,13000,2.02311,2.24415,0.004891,0.1685,1.2271,0,290407
0,14000,2.25064,2.24385,0.005262,0.18834,1.31693,0,317278
0,15000,2.48747,2.24334,0.005674,0.208391,1.40628,0,343861
0,16000,2.73707,2.24253,0.006032,0.228283,1.49621,0,370137
0,17000,2.99736,2.24083,0.006417,0.249107,1.58888,0,396628
0,18000,3.27488,2.23976,0.006781,0.270763,1.68553,0,424060
0,19000,3.56236,2.23961,0.007154,0.294038,1.7885,0,452191
0,20000,3.85538,2.23861,0.007517,0.31593,1.88704,0,479767
0,21000,4.71005,2.23861,0.00789,0.341042,2.51717,0,508509
0,22000,5.06904,2.23355,0.008283,0.365985,2.63018,0,537711
0,23000,5.4443,2.23349,0.008655,0.38959,2.74508,0,565427
0,24000,5.82779,2.23349,0.00904,0.413894,2.8567,0,594379
0,25000,6.21186,2.2313,0.009435,0.437648,2.96014,0,622217
0,26000,6.64507,2.23123,0.009822,0.46377,3.07086,0,651327
0,27000,7.06364,2.23113,0.010206,0.488589,3.17937,0,680819
0,28000,7.4916,2.23113,0.01058,0.513522,3.28737,0,709589
0,29000,7.94035,2.22906,0.010959,0.540342,3.40328,0,740364
0,30000,8.39348,2.22904,0.011323,0.566281,3.5154,0,770210
0,31000,8.85281,2.22903,0.011716,0.591953,3.6263,0,799192
0,32000,9.32187,2.22903,0.012104,0.61787,3.7385,0,828541
0,33000,9.80645,2.22903,0.012487,0.644604,3.85506,0,859057
0,34000,10.3026,2.22903,0.012865,0.670867,3.96881,0,888585
1,1000,0.466867,2.35793,0.000341,0.020079,0.118218,0,13047
1,2000,0.532851,2.28038,0.000681,0.027237,0.161682,0,30578
1,3000,0.624153,2.26434,0.001019,0.038624,0.219177,0,50594
1,4000,0.729606,2.26295,0.001362,0.051507,0.280709,0,71986
1,5000,0.835839,2.26255,0.00174,0.06378,0.340565,0,93930
1,6000,0.958838,2.25407,0.002113,0.078048,0.406003,0,116923
1,7000,1.09216,2.24543,0.002487,0.093425,0.474256,0,139796
1,8000,1.23942,2.24496,0.002864,0.110289,0.547847,0,164328
1,9000,1.40115,2.24316,0.003234,0.128331,0.625059,0,189390
1,10000,1.57528,2.24199,0.00361,0.147182,0.704083,0,214831
1,11000,1.75618,2.24197,0.003983,0.165915,0.783302,0,240198
1,12000,1.94729,2.24197,0.004343,0.185007,0.862724,0,265164
1,13000,2.1521,2.24002,0.004711,0.205072,0.946226,0,291230
1,14000,2.37005,2.23903,0.005071,0.226079,1.03318,0,318138
1,15000,2.60492,2.23903,0.005467,0.248381,1.12496,0,346088
1,16000,2.85159,2.23622,0.005812,0.271049,1.21607,0,373313
1,17000,3.10253,2.23579,0.00618,0.293419,1.30581,0,399967
1,18000,3.36712,2.23518,0.006548,0.316792,1.3986,0,427212
1,19000,3.64844,2.23513,0.006899,0.340555,1.49297,0,454946
1,20000,3.94209,2.23513,0.007294,0.365438,1.59143,0,483515
1,21000,4.24814,2.23485,0.007655,0.390456,1.69078,0,511804
1,22000,4.56353,2.23485,0.008006,0.415939,1.79232,0,540644
1,23000,4.89358,2.23484,0.008363,0.44201,1.89436,0,568869
1,24000,5.25419,2.23484,0.008742,0.469492,2.00246,0,598173
1,25000,5.60865,2.23481,0.009124,0.495809,2.10595,0,627055
1,26000,5.98692,2.23465,0.009496,0.523341,2.21318,0,656194
1,27000,6.37456,2.23465,0.009899,0.549902,2.31715,0,685055
1,28000,6.79072,2.23463,0.010251,0.578204,2.42739,0,714220
1,29000,7.19768,2.23434,0.010629,0.607176,2.53975,0,744371
1,30000,7.61825,2.23287,0.011007,0.634639,2.64801,0,773743
1,31000,8.06175,2.23245,0.011386,0.66343,2.76095,0,804128
1,32000,8.50138,2.23007,0.011761,0.69137,2.87084,0,834080
1,33000,8.94543,2.23007,0.01211,0.717959,2.97628,0,862969
1,34000,9.4108,2.23007,0.012466,0.745902,3.08779,0,892982
1,35000,9.90618,2.23004,0.012825,0.775365,3.2109,0,923763
1,36000,10.4079,2.23004,0.013223,0.80426,3.33185,0,953261
2,1000,1.42182,inf,0.000334,0.077699,0.037393,0,13233
2,2000,1.51751,2.33359,0.000688,0.084827,0.112918,0,30754
2,3000,1.59368,2.2647,0.001029,0.094037,0.160742,0,50233
2,4000,1.70377,2.26392,0.001391,0.107856,0.226833,0,71903
2,5000,1.81437,2.25412,0.001742,0.121728,0.289924,0,94239
2,6000,1.939,2.25184,0.002084,0.136785,0.357644,0,117651
2,7000,2.07676,2.249,0.002449,0.152958,0.428089,0,141385
2,8000,2.22823,2.249,0.002804,0.170326,0.502051,0,165937
2,9000,2.39023,2.24137,0.00316,0.188545,0.577844,0,190166
2,10000,2.5676,2.24137,0.003512,0.208315,0.6579,0,214381
2,11000,2.76447,2.24127,0.003871,0.229792,0.744473,0,240467
2,12000,2.96518,2.24042,0.004224,0.250737,0.82978,0,266209
2,13000,3.17791,2.2404,0.004595,0.272367,0.917464,0,292811
2,14000,3.42439,2.24038,0.00496,0.295468,1.00904,0,319103
2,15000,3.6619,2.24008,0.005356,0.317889,1.09835,0,345404
2,16000,3.91263,2.24007,0.005716,0.341617,1.19182,0,372704
2,17000,4.17105,2.24007,0.006101,0.365152,1.28563,0,399767
2,18000,4.44466,2.23989,0.006432,0.38915,1.38041,0,427093
2,19000,4.72999,2.23974,0.006791,0.413735,1.47759,0,454782
2,20000,5.02612,2.23907,0.007151,0.438726,1.575,0,482298
2,21000,5.34287,2.23907,0.007478,0.464752,1.6767,0,510604
2,22000,5.66721,2.23886,0.007857,0.491177,1.77966,0,539363
2,23000,5.99383,2.23881,0.008216,0.51595,1.87837,0,567434
2,24000,6.34194,2.23873,0.008585,0.542675,1.98419,0,596256
2,25000,6.69172,2.23429,0.008939,0.567985,2.08383,0,624250
2,26000,7.05785,2.23311,0.009303,0.594725,2.18858,0,653330
2,27000,7.43896,2.23311,0.009668,0.621408,2.29402,0,682598
2,28000,7.85204,2.23285,0.010003,0.64798,2.39818,0,711443
2,29000,8.2522,2.23281,0.010363,0.674454,2.50107,0,739693
2,30000,8.66408,2.23281,0.010731,0.702045,2.60816,0,768794
2,31000,9.09777,2.2324,0.011104,0.73079,2.72116,0,799153
2,32000,9.5435,2.2324,0.01147,0.759249,2.83351,0,829393
2,33000,10.0002,2.2324,0.011834,0.787204,2.94295,0,859198
3,1000,0.461984,inf,0.00036,0.007243,0.08017,0,13413
3,2000,0.557881,inf,0.000713,0.031145,0.138753,0,31580
3,3000,0.632939,inf,0.001056,0.040708,0.187975,0,51150
3,4000,0.72669,2.27297,0.001415,0.052394,0.244297,0,72127
3,5000,0.831475,2.26919,0.001753,0.065357,0.303289,0,93540
3,6000,0.955324,2.26317,0.0021,0.07999,0.369347,0,116594
3,7000,1.09319,2.2587,0.002464,0.096282,0.441139,0,140675
3,8000,1.2461,2.25733,0.002808,0.114185,0.518003,0,165731
3,9000,1.40726,2.24957,0.003143,0.132318,0.594011,0,190076
3,10000,1.58279,2.24756,0.003512,0.152464,0.675251,0,214976
3,11000,1.76434,2.24756,0.003873,0.171861,0.754609,0,239794
3,12000,1.95915,2.24747,0.004241,0.192235,0.837451,0,265356
3,13000,2.16837,2.24741,0.004577,0.213588,0.924512,0,291853
3,14000,2.39758,2.24545,0.004934,0.237034,1.01666,0,318350
3,15000,2.62837,2.24214,0.0053,0.258663,1.10466,0,344791
3,16000,2.88621,2.24173,0.005666,0.282995,1.20164,0,372076
3,17000,3.14291,2.24165,0.00605,0.306482,1.295,0,399449
3,18000,3.41648,2.24111,0.00639,0.330401,1.3899,0,426667
3,19000,3.69803,2.24075,0.006748,0.354842,1.48686,0,454514
3,20000,3.98854,2.23502,0.007103,0.379252,1.58275,0,481601
3,21000,4.29095,2.23495,0.00748,0.404344,1.68147,0,509365
3,22000,4.61342,2.23495,0.007839,0.428896,1.77929,0,537183
3,23000,4.94485,2.23432,0.008208,0.455001,1.88325,0,566199
3,24000,5.29567,2.23426,0.008572,0.481854,1.98821,0,594817
3,25000,5.65621,2.23426,0.008939,0.510758,2.10049,0,624838
3,26000,6.03575,2.23412,0.009292,0.537551,2.20643,0,653411
3,27000,6.41339,2.23412,0.009639,0.56424,2.31139,0,682368
3,28000,6.79962,2.23315,0.00998,0.591427,2.41857,0,711758
3,29000,7.1913,2.23315,0.010328,0.618087,2.52378,0,740839
3,30000,7.60119,2.23315,0.010709,0.645418,2.63134,0,770301
3,31000,8.02307,2.23307,0.011066,0.672898,2.74014,0,800063
3,32000,8.46009,2.23187,0.01145,0.701268,2.85153,0,830286
3,33000,8.90335,2.23187,0.011794,0.729307,2.96122,0,860351
3,34000,9.377,2.23187,0.01219,0.757414,3.07308,0,890830
3,35000,9.84728,2.23187,0.012552,0.786111,3.18585,0,920650
3,36000,10.3341,2.23187,0.012948,0.815624,3.30257,0,952130
4,1000,1.45711,inf,0.000341,0.085116,0.038188,0,13164
4,2000,1.56801,2.3063,0.000718,0.094871,0.124146,0,30498
4,3000,1.65825,2.29296,0.001092,0.106969,0.180239,0,49729
4,4000,1.76409,2.27615,0.001459,0.121015,0.243785,0,71369
4,5000,1.87656,2.24745,0.00182,0.135325,0.306741,0,93193
4,6000,2.00542,2.24687,0.002174,0.15147,0.376191,0,116334
4,7000,2.14756,2.24687,0.00252,0.168796,0.4501,0,140844
4,8000,2.30209,2.24667,0.002887,0.18666,0.526207,0,165753
4,9000,2.46911,2.24599,0.003256,0.206001,0.604773,0,190189
4,10000,2.64752,2.23732,0.003589,0.226067,0.685151,0,215032
4,11000,2.83906,2.23732,0.003943,0.247582,0.770227,0,240813
4,12000,3.03751,2.23731,0.004308,0.268486,0.854193,0,266829
4,13000,3.24754,2.23686,0.004661,0.290186,0.940432,0,292957
4,14000,3.46872,2.23683,0.005023,0.312438,1.02815,0,319279
4,15000,3.70034,2.23368,0.005373,0.334669,1.11664,0,345786
4,16000,3.95201,2.23368,0.005701,0.358954,1.2131,0,374051
4,17000,4.20674,2.23352,0.006056,0.38232,1.30411,0,400681
4,18000,4.47551,2.23348,0.006406,0.40569,1.3957,0,427322
4,19000,4.75861,2.23346,0.006767,0.430208,1.49215,0,454861
4,20000,5.05229,2.23334,0.007126,0.455222,1.59083,0,483139
4,21000,5.3544,2.23334,0.007494,0.480069,1.68757,0,510515
4,22000,5.6722,2.2333,0.007848,0.505997,1.78884,0,539233
4,23000,6.00313,2.22996,0.00819,0.53231,1.89195,0,568062
4,24000,6.34073,2.22979,0.008555,0.55804,1.99225,0,595970
4,25000,6.69681,2.22838,0.008927,0.585435,2.09981,0,626027
4,26000,7.05752,2.22835,0.009309,0.61186,2.20224,0,654477
4,27000,7.43144,2.22835,0.009679,0.638716,2.30653,0,683408
4,28000,7.82793,2.22798,0.010019,0.666315,2.4141,0,712958
4,29000,8.2268,2.22798,0.010381,0.693319,2.51869,0,741316
4,30000,8.64041,2.2259,0.010737,0.721241,2.62705,0,770961
4,31000,9.06509,2.2259,0.0111,0.749477,2.73647,0,800720
4,32000,9.50652,2.2259,0.011477,0.778563,2.85051,0,831463
4,33000,9.95919,2.2259,0.01183,0.806908,2.9599,0,861102
4,34000,10.4197,2.2259,0.012181,0.83556,3.07052,0,891228
5,1000,0.471738,inf,0.000349,0.011249,0.105585,0,13624
5,2000,0.558436,inf,0.000679,0.046722,0.145452,0,31439
