trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.024785,inf,0.000487,0.015418,0.0056,0,2188
0,2000,0.50638,inf,0.001019,0.474598,0.022491,0,4542
0,3000,0.522343,inf,0.001547,0.481793,0.027834,0,7021
0,4000,0.538777,inf,0.002068,0.489392,0.033243,0,9323
0,5000,0.555738,inf,0.002596,0.497503,0.038626,0,11550
0,6000,0.57297,inf,0.003133,0.505765,0.044124,0,13785
0,7000,0.590834,inf,0.003686,0.513935,0.050458,0,15936
0,8000,0.608614,inf,0.004204,0.522313,0.056452,0,18063
0,9000,0.626676,inf,0.004717,0.530961,0.062509,0,19824
0,10000,0.646659,inf,0.005252,0.540293,0.069677,0,21721
0,11000,0.66915,inf,0.005811,0.549893,0.079146,0,23540
0,12000,0.691343,inf,0.006304,0.55949,0.088138,0,25342
0,13000,0.717451,2.35457,0.006788,0.568854,0.098728,0,27754
0,14000,0.748029,2.32672,0.00724,0.580406,0.111984,0,30673
0,15000,0.786222,2.28599,0.007703,0.593393,0.131427,0,33577
0,16000,0.820624,2.28361,0.00825,0.606858,0.146519,0,36563
0,17000,0.859244,2.28281,0.00875,0.62122,0.164916,0,39494
0,18000,0.908159,2.2761,0.009297,0.637546,0.191425,0,42596
0,19000,0.958375,2.26966,0.009829,0.65428,0.218753,0,45682
0,20000,0.99811,2.26966,0.010355,0.671124,0.235539,0,48708
0,21000,1.04963,2.268,0.010887,0.689306,0.262732,0,51826
0,22000,1.12014,2.26582,0.011434,0.708451,0.307741,0,54968
0,23000,1.171,2.26572,0.011968,0.728004,0.332759,0,58048
0,24000,1.22296,2.26456,0.012509,0.748077,0.358231,0,61170
0,25000,1.28195,2.26433,0.013063,0.7693,0.38944,0,64352
0,26000,1.33115,2.26433,0.013586,0.790119,0.411419,0,67588
0,27000,1.4089,2.25635,0.014158,0.812124,0.460499,0,70823
0,28000,1.48245,2.24672,0.014749,0.834021,0.505681,0,74042
0,29000,1.55076,2.24667,0.01532,0.856438,0.545076,0,77285
0,30000,1.6057,2.24552,0.01588,0.879035,0.57089,0,80556
0,31000,1.70728,2.23981,0.016473,0.902431,0.642449,0,83845
0,32000,1.83798,2.23792,0.017092,0.926527,0.74245,0,87048
0,33000,1.9697,2.23647,0.017718,0.951099,0.842806,0,90269
0,34000,2.06464,2.23554,0.018344,0.975938,0.906217,0,93536
0,35000,2.15925,2.23466,0.018922,1.00105,0.969051,0,96760
0,36000,2.28474,2.23338,0.019536,1.02631,1.06243,0,100180
0,37000,2.36257,2.23321,0.02016,1.05214,1.10766,0,103511
0,38000,2.44732,2.23321,0.020738,1.07742,1.16048,0,106759
0,39000,2.54567,2.23317,0.021362,1.10334,1.22613,0,110023
0,40000,2.63436,2.23304,0.021991,1.13008,1.28128,0,113381
0,41000,2.72392,2.23283,0.022604,1.15645,1.33769,0,116676
0,42000,2.83498,2.23175,0.023203,1.18282,1.41576,0,119901
0,43000,2.89874,2.23175,0.023793,1.20884,1.44682,0,123112
0,44000,3.00957,2.23175,0.0244,1.236,1.52363,0,126477
0,45000,3.07742,2.23166,0.025014,1.26351,1.55717,0,129776
0,46000,3.16657,2.23159,0.025638,1.29121,1.61171,0,133196
0,47000,3.2661,2.23033,0.026241,1.3187,1.67679,0,136548
0,48000,3.53015,2.23032,0.026876,1.35729,1.70807,0,139996
0,49000,3.60752,2.23031,0.027521,1.38603,1.74926,0,143299
0,50000,3.68969,2.23031,0.028164,1.41468,1.79535,0,146592
0,51000,3.76434,2.23031,0.028835,1.4431,1.83428,0,149893
0,52000,3.93121,2.23031,0.029482,1.47222,1.96487,0,153237
0,53000,4.08804,2.23023,0.030125,1.50185,2.08472,0,156533
0,54000,4.2004,2.23016,0.030786,1.53233,2.15923,0,159913
0,55000,4.27785,2.23015,0.031433,1.56168,2.20024,0,163157
0,56000,4.33858,2.23002,0.032072,1.59069,2.22488,0,166440
0,57000,4.40267,2.23001,0.032694,1.62088,2.25151,0,169687
0,58000,4.53067,2.2297,0.03337,1.65202,2.34097,0,173006
0,59000,4.71342,2.22955,0.034011,1.68316,2.48534,0,176265
0,60000,4.77892,2.22952,0.034649,1.71417,2.5129,0,179644
0,61000,4.90396,2.22828,0.035292,1.74514,2.60006,0,183053
0,62000,5.08048,2.22826,0.035949,1.7761,2.73866,0,186357
0,63000,5.18976,2.22812,0.036596,1.80763,2.80931,0,189742
0,64000,5.32065,2.22788,0.03722,1.83933,2.90135,0,193285
0,65000,5.44816,2.22767,0.037865,1.87048,2.99088,0,196619
0,66000,5.57797,2.22758,0.038535,1.90167,3.08252,0,199968
0,67000,5.64206,2.22757,0.039157,1.93275,3.10867,0,203205
0,68000,5.70381,2.22757,0.039803,1.96309,3.13338,0,206405
0,69000,5.81275,2.22757,0.040458,1.99397,3.20456,0,209645
0,70000,5.89682,2.22757,0.041171,2.02552,3.24997,0,213000
0,71000,5.98243,2.22757,0.041817,2.05688,3.29731,0,216239
0,72000,6.06708,2.22728,0.042473,2.08807,3.34383,0,219511
0,73000,6.19211,2.22724,0.043104,2.12073,3.42912,0,222804
0,74000,6.2565,2.22724,0.043758,2.15224,3.45499,0,226125
0,75000,6.32529,2.22724,0.044392,2.18485,3.48401,0,229505
0,76000,6.46872,2.2271,0.04505,2.21706,3.58825,0,232811
0,77000,6.5353,2.2271,0.045694,2.24983,3.61498,0,236192
0,78000,6.65548,2.2271,0.046334,2.2815,3.69661,0,239443
0,79000,6.79666,2.22709,0.046975,2.31394,3.79849,0,242712
0,80000,6.91759,2.22709,0.047638,2.34683,3.87947,0,246055
0,81000,7.02448,2.22709,0.048271,2.37896,3.94737,0,249351
0,82000,7.10856,2.22709,0.048933,2.41085,3.99256,0,252594
0,83000,7.23567,2.22705,0.04957,2.4437,4.0797,0,255954
0,84000,7.30249,2.22705,0.05023,2.47696,4.10618,0,259235
0,85000,7.40206,2.22666,0.050901,2.51036,4.16508,0,262647
0,86000,7.47431,2.22666,0.051542,2.54355,4.1971,0,266001
0,87000,7.60564,2.22665,0.052197,2.5765,4.28837,0,269442
0,88000,7.7212,2.22664,0.052853,2.6091,4.36434,0,272797
0,89000,8.18769,2.2266,0.053545,2.65446,4.45363,0,276082
0,90000,8.25546,2.2266,0.054222,2.68771,4.48061,0,279377
0,91000,8.41921,2.2266,0.054924,2.7223,4.60189,0,282763
0,92000,8.62858,2.22641,0.055632,2.75653,4.76956,0,285999
0,93000,8.76447,2.22638,0.05632,2.79034,4.86425,0,289206
0,94000,8.83373,2.22638,0.056992,2.8241,4.89249,0,292495
0,95000,8.8996,2.22638,0.057637,2.85835,4.9167,0,295869
0,96000,9.02478,2.22636,0.05829,2.89288,4.99988,0,299309
0,97000,9.18048,2.22626,0.058978,2.92786,5.11304,0,302694
0,98000,9.24917,2.22626,0.059645,2.96303,5.13887,0,306111
0,99000,9.36226,2.22626,0.06034,2.99804,5.20939,0,309384
0,100000,9.46985,2.22623,0.060993,3.03283,5.27464,0,312744
1,1000,0.038875,inf,0.000462,0.010673,0.011399,0,2218
1,2000,0.154625,inf,0.000955,0.114144,0.020407,0,4593
1,3000,0.168995,inf,0.001462,0.120359,0.025365,0,6902
1,4000,0.184519,inf,0.001972,0.127375,0.030456,0,9188
1,5000,0.200215,inf,0.002473,0.134479,0.035713,0,11364
1,6000,0.216836,inf,0.002991,0.142025,0.041326,0,13600
1,7000,0.232866,inf,0.003493,0.149082,0.046857,0,15640
1,8000,0.251669,2.37317,0.003971,0.1562,0.053635,0,17827
1,9000,0.275612,2.30251,0.004386,0.164501,0.063789,0,20566
1,10000,0.301985,2.29736,0.004816,0.173764,0.075298,0,23533
1,11000,0.333764,2.28751,0.005287,0.184482,0.090498,0,26511
1,12000,0.363027,2.27402,0.005777,0.195334,0.103105,0,29380
1,13000,0.401739,2.2724,0.006267,0.20832,0.122911,0,32467
1,14000,0.44265,2.26976,0.006908,0.222288,0.143646,0,35548
1,15000,0.492025,2.26177,0.007408,0.237134,0.172084,0,38626
1,16000,0.542503,2.26135,0.00794,0.252915,0.200582,0,41745
1,17000,0.581448,2.26119,0.008444,0.268654,0.217593,0,44888
1,18000,0.636895,2.25926,0.008984,0.285068,0.250547,0,48018
1,19000,0.686427,2.2592,0.009503,0.302632,0.276142,0,51170
1,20000,0.736895,2.25679,0.010018,0.320918,0.301842,0,54353
1,21000,0.799034,2.25623,0.010588,0.340133,0.338254,0,57537
1,22000,0.882122,2.25568,0.011157,0.359889,0.39498,0,60654
1,23000,0.939017,2.249,0.011725,0.379494,0.425971,0,63962
1,24000,0.993066,2.24748,0.012273,0.399853,0.453178,0,67199
1,25000,1.05783,2.24705,0.012833,0.420139,0.491244,0,70346
1,26000,1.13041,2.24301,0.013425,0.44067,0.536775,0,73586
1,27000,1.2089,2.2424,0.01399,0.462487,0.586894,0,76888
1,28000,1.30167,2.23928,0.014589,0.484502,0.651079,0,80107
