trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.027899,inf,0.000297,0.003162,0.02418,0,0
0,2000,0.514891,1.62642,0.000603,0.007613,0.112874,0.393249,155
0,3000,1.11387,1.58541,0.000937,0.013845,0.361234,0.737037,239
0,4000,1.86327,1.57069,0.001264,0.022177,0.725441,1.11326,310
0,5000,2.77035,1.5701,0.001581,0.031836,1.14687,1.58864,381
0,6000,5.35054,1.56309,0.001927,0.042469,1.75473,3.5497,476
0,7000,8.02547,1.54632,0.002244,0.054748,2.61893,5.34749,584
0,8000,9.03436,1.54329,0.002562,0.067017,3.03644,5.92593,633
0,9000,10.7358,1.54312,0.002913,0.080401,3.75721,6.89249,668
1,1000,0.117498,inf,0.000308,0.002208,0.016959,0.097806,112
1,2000,0.261743,inf,0.000611,0.006287,0.072227,0.182134,161
1,3000,2.80486,1.56694,0.000955,0.013206,0.301343,2.48857,346
1,4000,3.69016,1.56351,0.001268,0.021014,0.640209,3.02657,438
1,5000,4.92858,1.5483,0.0016,0.03049,1.10109,3.79401,530
1,6000,6.27374,1.54188,0.001918,0.040968,1.4446,4.78457,584
1,7000,7.45019,1.53291,0.002255,0.052178,2.0034,5.39038,631
1,8000,8.63923,1.52615,0.002556,0.063937,2.55119,6.01923,686
1,9000,10.313,1.52607,0.002856,0.077044,3.29875,6.93172,727
2,1000,0.020262,inf,0.000284,0.002352,0.017377,0,1
2,2000,0.517917,inf,0.000585,0.006299,0.082245,0.428274,181
2,3000,2.28613,1.55024,0.000895,0.011476,0.23158,2.04136,315
2,4000,3.35376,1.54803,0.001203,0.018084,0.581818,2.75154,436
2,5000,4.22011,1.54636,0.001503,0.026225,0.814945,3.37604,524
2,6000,6.1195,1.53621,0.00182,0.034468,1.42527,4.65627,629
2,7000,10.4131,1.53621,0.002152,0.045492,2.20037,8.16308,760
3,1000,0.021486,inf,0.000318,0.002376,0.018267,0.000297,7
3,2000,0.06173,inf,0.000633,0.005895,0.054448,0.000297,7
3,3000,2.59712,1.58681,0.000928,0.011518,0.149458,2.43444,191
3,4000,3.17235,1.55659,0.001328,0.01901,0.384952,2.766,263
3,5000,5.30435,1.55583,0.001631,0.028771,0.771229,4.50135,348
3,6000,5.80651,1.54842,0.001926,0.040265,1.01834,4.74426,397
3,7000,8.49473,1.54558,0.002254,0.052272,1.70614,6.73203,477
3,8000,12.4025,1.54543,0.002584,0.065882,2.60187,9.72976,582
4,1000,0.055742,inf,0.000305,0.002304,0.019483,0.033406,130
4,2000,0.146627,inf,0.00063,0.005701,0.061352,0.078463,164
4,3000,1.59665,inf,0.000925,0.010364,0.161736,1.42287,256
4,4000,3.22244,1.58517,0.001244,0.01804,0.47902,2.72308,360
4,5000,3.76518,1.57214,0.00157,0.026886,0.712451,3.02292,410
4,6000,7.24518,1.572,0.001893,0.037618,1.53083,5.67315,529
4,7000,10.7634,1.56948,0.002209,0.047764,2.49439,8.21705,660
5,1000,0.020531,inf,0.000297,0.002325,0.017662,0,0
5,2000,0.07186,inf,0.0006,0.006665,0.06406,0,0
5,3000,1.26378,inf,0.000921,0.012557,0.189367,1.06014,112
5,4000,4.43571,inf,0.001225,0.020743,0.361099,4.05159,214
5,5000,5.6704,inf,0.00154,0.028751,0.564097,5.07467,260
5,6000,14.3087,1.55955,0.001857,0.037969,1.09765,13.1696,451
6,1000,0.035573,inf,0.000282,0.010431,0.024593,0,0
6,2000,0.095914,inf,0.000587,0.015451,0.079373,0,0
6,3000,5.67185,1.61123,0.000886,0.023136,0.561259,5.08574,262
6,4000,7.52308,1.57747,0.001206,0.032395,1.35061,6.13772,397
6,5000,9.24193,1.5762,0.001524,0.044017,1.90291,7.29201,443
6,6000,10.9431,1.56343,0.001853,0.055677,2.62133,8.26239,507
7,1000,0.073924,inf,0.000306,0.002428,0.019081,0.05187,126
7,2000,0.504443,1.57756,0.000617,0.006332,0.136029,0.360927,318
7,3000,1.24613,1.55263,0.000921,0.012758,0.346175,0.885447,409
7,4000,2.54096,1.54739,0.001231,0.020353,0.661007,1.85724,501
7,5000,3.5596,1.54681,0.001513,0.029612,0.970837,2.55617,567
7,6000,5.17232,1.54051,0.001822,0.039462,1.46728,3.66197,645
7,7000,6.80011,1.54051,0.002126,0.049353,1.84719,4.89934,726
7,8000,10.8334,1.53883,0.002434,0.060963,2.78093,7.98664,828
8,1000,0.073981,inf,0.000304,0.012331,0.058663,0.002441,15
8,2000,0.401328,inf,0.000609,0.015504,0.106777,0.277929,82
8,3000,2.03642,inf,0.000923,0.021329,0.243814,1.76956,174
8,4000,5.96393,inf,0.001227,0.028932,0.664149,5.26853,336
8,5000,7.86962,1.58152,0.001545,0.037982,0.95972,6.86892,411
8,6000,9.58245,1.54823,0.001852,0.048288,1.52467,8.00587,482
8,7000,10.8707,1.54811,0.002176,0.060057,1.95271,8.8537,543
9,1000,0.019261,inf,0.000292,0.002271,0.016454,0,3
9,2000,0.633759,1.61673,0.000597,0.005766,0.072351,0.554549,127
9,3000,1.04869,1.57913,0.000934,0.011334,0.274021,0.761613,209
9,4000,1.95363,1.57913,0.001247,0.018587,0.580972,1.35175,270
9,5000,3.68734,1.56316,0.001558,0.027154,1.07558,2.58168,384
9,6000,6.24136,1.55239,0.001862,0.037136,1.85933,4.34131,513
9,7000,7.75561,1.55198,0.002171,0.047893,2.46506,5.23844,585
9,8000,9.32491,1.55191,0.00249,0.059816,2.88497,6.37526,636
9,9000,10.2082,1.55185,0.002793,0.071866,3.21808,6.91278,670
