trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.021352,inf,0.000388,0.016043,0.001719,0,12
0,2000,0.139318,inf,0.000816,0.117367,0.005671,0.00947,74
0,3000,0.15641,inf,0.00123,0.122831,0.008183,0.015346,92
0,4000,0.168361,inf,0.001669,0.128964,0.010606,0.015346,92
0,5000,0.180494,inf,0.002113,0.135313,0.013073,0.015346,95
0,6000,0.256119,1.59514,0.002537,0.141699,0.0243,0.070167,169
0,7000,0.352713,1.55505,0.003019,0.149224,0.0814,0.098643,252
0,8000,0.407245,1.55168,0.003532,0.15694,0.114343,0.109109,302
0,9000,0.474757,1.54534,0.00401,0.165272,0.151613,0.12751,343
0,10000,0.529106,1.54256,0.004477,0.173896,0.193461,0.127784,363
0,11000,0.610394,1.53986,0.004964,0.183319,0.238104,0.151567,388
0,12000,0.712419,1.53638,0.005456,0.193269,0.288865,0.189382,420
0,13000,0.76625,1.53638,0.005964,0.203514,0.3093,0.208944,428
0,14000,0.951846,1.53315,0.006486,0.21454,0.397456,0.29183,467
0,15000,1.03059,1.52901,0.007015,0.226025,0.461029,0.292077,485
0,16000,1.17128,1.52877,0.007546,0.2369,0.502698,0.37677,504
0,17000,1.24858,1.52572,0.00808,0.247865,0.565554,0.376925,534
0,18000,1.32234,1.52572,0.008598,0.259743,0.590258,0.410464,547
0,19000,1.41572,1.52572,0.009261,0.272643,0.629735,0.447796,554
0,20000,1.54449,1.52572,0.009751,0.285186,0.680131,0.510215,569
0,21000,1.57556,1.52572,0.010251,0.29818,0.694592,0.510215,571
0,22000,1.77151,1.52572,0.010784,0.311605,0.777053,0.606697,596
0,23000,2.01528,1.52553,0.011336,0.325236,0.856808,0.753607,618
0,24000,2.13277,1.52553,0.01186,0.339501,0.89596,0.814027,628
0,25000,2.23523,1.52553,0.012393,0.352589,0.926133,0.869808,638
0,26000,2.43126,1.52405,0.012934,0.36763,1.04809,0.925202,684
0,27000,2.6077,1.52405,0.013473,0.382595,1.0998,1.03139,704
0,28000,2.69112,1.52405,0.014009,0.3984,1.12885,1.06625,716
0,29000,2.77678,1.52367,0.014554,0.414847,1.1941,1.06644,722
0,30000,2.85416,1.52339,0.015097,0.429994,1.2526,1.06666,731
0,31000,2.91059,1.52321,0.015666,0.446639,1.28858,1.06675,738
0,32000,3.19927,1.52246,0.016262,0.463152,1.48608,1.13787,754
0,33000,3.43647,1.52157,0.016807,0.479869,1.58389,1.25694,774
0,34000,3.7826,1.51723,0.017335,0.497348,1.82975,1.33594,796
0,35000,3.81911,1.51723,0.017874,0.513865,1.84614,1.33594,797
0,36000,3.91224,1.51469,0.01844,0.530482,1.91902,1.33603,809
0,37000,4.19873,1.51438,0.018998,0.547693,2.01561,1.50504,824
0,38000,4.23204,1.51438,0.01956,0.563528,2.02977,1.50504,824
0,39000,4.26595,1.51438,0.020109,0.580475,2.04319,1.50504,824
0,40000,4.30557,1.51438,0.020656,0.59732,2.06239,1.50504,824
0,41000,4.3448,1.51438,0.021217,0.615015,2.08036,1.50504,824
0,42000,4.38287,1.51438,0.021783,0.633849,2.09569,1.50504,824
0,43000,4.5804,1.51435,0.022378,0.651503,2.17249,1.60455,838
0,44000,4.61972,1.51435,0.022939,0.669832,2.18974,1.60455,839
0,45000,4.79193,1.51254,0.023532,0.688987,2.33881,1.60477,862
0,46000,5.03344,1.51253,0.024089,0.707869,2.43637,1.72625,875
0,47000,5.07141,1.51253,0.02467,0.725919,2.45275,1.72625,875
0,48000,5.17959,1.51249,0.025223,0.745,2.53792,1.72659,892
0,49000,5.24734,1.51248,0.025818,0.764835,2.58187,1.72671,904
0,50000,5.28949,1.51248,0.026375,0.785139,2.59985,1.72671,906
0,51000,5.37216,1.51247,0.026934,0.805453,2.65833,1.72684,909
0,52000,5.41695,1.51247,0.027477,0.824563,2.68055,1.72684,911
0,53000,5.68526,1.51221,0.028093,0.845462,2.84326,1.80778,928
0,54000,5.75304,1.51221,0.028674,0.865396,2.88752,1.80778,939
0,55000,6.24808,1.5118,0.029275,0.885941,3.21215,1.95391,963
0,56000,6.3593,1.51139,0.029877,0.906054,3.29928,1.95416,973
0,57000,6.43507,1.51138,0.030488,0.927601,3.34945,1.95428,977
0,58000,6.55159,1.51138,0.031097,0.949577,3.44007,1.95443,984
0,59000,6.6341,1.51138,0.031677,0.970697,3.49763,1.95455,986
0,60000,6.67732,1.51138,0.032252,0.991894,3.5157,1.95455,986
0,61000,7.02129,1.51138,0.032873,1.02301,3.64802,2.13129,995
0,62000,7.06267,1.51138,0.033437,1.04333,3.66548,2.13129,995
0,63000,7.10512,1.51138,0.034007,1.06413,3.6834,2.13129,997
0,64000,7.42888,1.51133,0.034606,1.0847,3.8149,2.29928,1008
0,65000,7.46948,1.51133,0.035183,1.10512,3.83129,2.29928,1020
0,66000,7.56021,1.51128,0.035784,1.12586,3.89755,2.2994,1023
0,67000,7.60581,1.51128,0.036375,1.1468,3.91852,2.2994,1023
0,68000,8.15152,1.51128,0.036971,1.16998,4.16026,2.57618,1039
0,69000,8.50295,1.5111,0.037592,1.19224,4.29158,2.77026,1058
0,70000,8.54943,1.5111,0.038175,1.21393,4.31255,2.77026,1059
0,71000,9.12811,1.5111,0.038768,1.23737,4.45649,3.1776,1071
0,72000,9.17293,1.5111,0.039374,1.26078,4.47408,3.1776,1071
0,73000,9.2606,1.5111,0.039981,1.28334,4.5352,3.1776,1074
