trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.017874,inf,0.000348,0.014126,0.000546,0,0
0,2000,0.122838,inf,0.000742,0.019431,0.094366,0.002357,25
0,3000,0.135108,inf,0.001164,0.025124,0.095872,0.004187,62
0,4000,0.144669,inf,0.001564,0.03093,0.096595,0.004189,62
0,5000,0.156175,inf,0.001986,0.037157,0.098006,0.0049,68
0,6000,0.168648,1.88596,0.002402,0.044072,0.099869,0.005059,78
0,7000,0.181002,1.88596,0.002798,0.05122,0.101264,0.005325,79
0,8000,0.193567,1.88596,0.00323,0.058624,0.102622,0.00556,79
0,9000,0.205672,1.88596,0.003664,0.065902,0.103867,0.005821,79
0,10000,0.217759,1.88596,0.004105,0.073212,0.105124,0.00608,81
0,11000,0.230861,1.88596,0.004567,0.081097,0.106533,0.006345,84
0,12000,0.244132,1.88596,0.005001,0.089123,0.108017,0.006614,85
0,13000,0.25733,1.88596,0.005474,0.097192,0.109504,0.006878,85
0,14000,0.270554,1.88596,0.005924,0.10545,0.111017,0.007148,85
0,15000,0.28488,1.88596,0.006392,0.114327,0.112902,0.007425,85
0,16000,0.30021,1.88596,0.00682,0.123765,0.115035,0.007675,86
0,17000,0.317509,1.88596,0.007302,0.13438,0.117616,0.007986,86
0,18000,0.335946,1.88596,0.008101,0.145822,0.1204,0.008303,86
0,19000,0.35294,1.88596,0.008565,0.156549,0.122948,0.008597,86
0,20000,0.369734,1.88596,0.00904,0.167144,0.125435,0.008881,86
0,21000,0.386939,1.88596,0.009458,0.178019,0.128008,0.009171,86
0,22000,0.405135,1.88596,0.009975,0.189577,0.130808,0.009473,87
0,23000,0.425008,1.88596,0.010464,0.202338,0.133987,0.009791,87
0,24000,0.444293,1.88596,0.010969,0.214739,0.137051,0.010076,87
0,25000,0.464209,1.88596,0.011472,0.227481,0.140289,0.010384,87
0,26000,0.484241,1.88596,0.011975,0.240385,0.143572,0.010695,89
0,27000,0.503644,1.88596,0.012468,0.253026,0.146656,0.011015,89
0,28000,0.524012,1.88596,0.012968,0.266313,0.149993,0.011338,89
0,29000,0.546835,1.88596,0.013464,0.281329,0.153868,0.011658,89
0,30000,0.568494,1.88596,0.013962,0.295551,0.157424,0.01199,89
0,31000,0.59436,1.88596,0.014479,0.312759,0.161947,0.012403,89
0,32000,0.622865,1.88596,0.015058,0.331743,0.167194,0.012849,89
0,33000,0.649584,1.88596,0.015594,0.349575,0.171937,0.013261,89
0,34000,0.675243,1.88596,0.016112,0.366629,0.176472,0.013666,89
0,35000,0.703499,1.88596,0.016657,0.385431,0.181662,0.014111,89
0,36000,0.732487,1.88596,0.017171,0.404871,0.186936,0.014549,89
0,37000,0.759252,1.88596,0.017703,0.422786,0.191675,0.014915,89
0,38000,0.784595,1.88596,0.018238,0.439844,0.19606,0.015303,89
0,39000,0.811066,1.88596,0.018782,0.457532,0.200783,0.015693,89
0,40000,0.837803,1.88596,0.019312,0.475409,0.205502,0.016076,89
0,41000,0.864571,1.88596,0.019834,0.493293,0.210253,0.016461,89
0,42000,0.892218,1.88596,0.020341,0.51182,0.215165,0.016882,89
0,43000,0.918937,1.88596,0.02086,0.529981,0.219842,0.017277,89
0,44000,0.947294,1.88596,0.021371,0.549178,0.224905,0.01768,89
0,45000,0.974945,1.88596,0.021888,0.568083,0.229705,0.018049,89
0,46000,1.00294,1.88596,0.02245,0.586978,0.234743,0.018443,89
0,47000,1.03178,1.88596,0.023002,0.606617,0.239875,0.018838,89
0,48000,1.06072,1.88596,0.023566,0.626298,0.245001,0.019244,89
0,49000,1.09041,1.88596,0.02411,0.646505,0.250348,0.019672,90
0,50000,1.11929,1.88596,0.024667,0.66621,0.255581,0.020095,90
0,51000,1.14872,1.88596,0.025208,0.686234,0.26088,0.020516,90
0,52000,1.17812,1.88596,0.025742,0.706425,0.266097,0.020944,90
0,53000,1.20695,1.88596,0.026284,0.726263,0.271158,0.02133,90
0,54000,1.23747,1.88596,0.026822,0.74717,0.276607,0.021755,90
0,55000,1.26773,1.88596,0.027394,0.768063,0.281976,0.022188,90
0,56000,1.29933,1.88596,0.027977,0.789664,0.287799,0.022628,90
0,57000,1.33242,1.88596,0.028567,0.812296,0.293934,0.023092,90
0,58000,1.36257,1.88596,0.02916,0.833109,0.299254,0.023522,90
0,59000,1.39336,1.88596,0.029717,0.854342,0.304789,0.023913,90
0,60000,1.42417,1.88596,0.030297,0.875427,0.310365,0.024319,90
0,61000,1.45556,1.88596,0.030855,0.896881,0.31609,0.02473,90
0,62000,1.48525,1.88596,0.031401,0.917507,0.32128,0.025142,90
0,63000,1.51733,1.88596,0.031962,0.939498,0.327118,0.025566,90
0,64000,1.54902,1.88596,0.032578,0.961402,0.332798,0.025992,90
0,65000,1.58116,1.88596,0.033142,0.983767,0.338483,0.026428,90
0,66000,1.61466,1.88596,0.033707,1.00688,0.344581,0.026898,90
0,67000,1.64647,1.88596,0.034288,1.02886,0.350308,0.02729,90
0,68000,1.67794,1.88596,0.03486,1.05059,0.355973,0.027708,90
0,69000,1.71024,1.88596,0.035449,1.07284,0.361815,0.02813,90
0,70000,1.74322,1.88596,0.03601,1.09574,0.367816,0.028564,90
0,71000,1.77697,1.88596,0.036589,1.11918,0.374006,0.02902,90
0,72000,1.80936,1.88596,0.037146,1.1417,0.379838,0.029449,90
0,73000,1.84283,1.88596,0.037708,1.16492,0.385865,0.029885,90
0,74000,1.87571,1.88596,0.038312,1.1877,0.391844,0.030328,90
0,75000,1.90875,1.88596,0.038882,1.21065,0.397862,0.030734,90
0,76000,1.94231,1.88596,0.039449,1.23413,0.403832,0.031163,90
0,77000,1.97673,1.88596,0.040007,1.25811,0.410089,0.031601,90
0,78000,2.0122,1.88596,0.040562,1.28258,0.416715,0.032055,90
0,79000,2.04684,1.88596,0.041138,1.30647,0.4229,0.0325,90
0,80000,2.07915,1.88596,0.041713,1.32899,0.428696,0.032937,90
0,81000,2.11283,1.88596,0.042288,1.35246,0.434748,0.03339,90
0,82000,2.14761,1.88596,0.042852,1.37675,0.441027,0.033803,90
0,83000,2.18362,1.88596,0.043407,1.40165,0.447689,0.034244,92
0,84000,2.21803,1.88596,0.043995,1.42573,0.453945,0.034685,92
