trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.028235,inf,0.000389,0.004406,0.021391,0,9004
0,2000,0.072075,inf,0.000691,0.008262,0.05402,0,24312
0,3000,0.154989,1.58478,0.001007,0.013333,0.120454,0,41961
0,4000,0.218555,1.57532,0.001313,0.018919,0.161718,0,60699
0,5000,0.377456,1.57285,0.001616,0.025757,0.290025,0,80261
0,6000,0.473514,1.56689,0.001924,0.033813,0.347183,0,100031
0,7000,0.571138,1.56583,0.002241,0.041981,0.400533,0,119361
0,8000,0.678407,1.56185,0.002562,0.050792,0.45739,0,139044
0,9000,0.796366,1.55991,0.002866,0.060289,0.5183,0,159656
0,10000,0.926003,1.54502,0.003151,0.070822,0.583648,0,180797
0,11000,1.27158,1.54043,0.003449,0.082176,0.848348,0,201622
0,12000,1.44053,1.53663,0.003774,0.094488,0.927066,0,223290
0,13000,1.60078,1.53663,0.004072,0.105516,0.99173,0,243263
0,14000,1.78392,1.53656,0.004373,0.118583,1.06951,0,267284
0,15000,1.97408,1.53637,0.004668,0.131949,1.14701,0,290133
0,16000,2.17801,1.53616,0.004967,0.146683,1.22886,0,313122
0,17000,2.40797,1.53616,0.005275,0.162613,1.31959,0,338948
0,18000,2.64124,1.53558,0.005583,0.178834,1.41193,0,363965
0,19000,2.88379,1.53191,0.005875,0.194531,1.49729,0,387233
0,20000,3.13107,1.52749,0.006172,0.210426,1.58702,0,412118
0,21000,3.87609,1.52613,0.00649,0.226262,2.14262,0,435896
0,22000,4.16946,1.52564,0.006788,0.24393,2.23973,0,461812
0,23000,4.48253,1.52361,0.007082,0.261579,2.34105,0,485642
0,24000,4.80705,1.52249,0.007389,0.278244,2.44141,0,509166
0,25000,5.13796,1.52249,0.007705,0.295889,2.53968,0,535776
0,26000,5.48265,1.52244,0.008009,0.31409,2.63932,0,562176
0,27000,5.82951,1.52244,0.008296,0.331722,2.7351,0,587804
0,28000,6.18763,1.52218,0.008593,0.349615,2.83092,0,612775
0,29000,6.56014,1.52029,0.008905,0.368525,2.93291,0,638982
0,30000,6.9573,1.52029,0.009212,0.388458,3.04083,0,665783
0,31000,7.35535,1.52025,0.009514,0.40757,3.14352,0,692029
0,32000,7.75458,1.51695,0.009803,0.426215,3.24458,0,717465
0,33000,8.15853,1.51694,0.010123,0.444092,3.34275,0,742592
0,34000,8.57733,1.51694,0.010435,0.462994,3.4456,0,768528
0,35000,9.00426,1.51694,0.010733,0.481106,3.54562,0,794123
0,36000,9.45347,1.51694,0.011036,0.500856,3.65507,0,821771
0,37000,9.91277,1.51685,0.011311,0.521102,3.76625,0,849554
0,38000,10.3826,1.51685,0.011629,0.541057,3.87569,0,876026
1,1000,0.411835,inf,0.000303,0.020741,0.103995,0,9474
1,2000,0.474061,inf,0.001741,0.037484,0.136575,0,24722
1,3000,0.531291,1.56039,0.002041,0.042694,0.1727,0,41680
1,4000,0.594399,1.55761,0.002318,0.048209,0.209982,0,58076
1,5000,0.671109,1.55175,0.002599,0.055022,0.25386,0,75222
1,6000,0.756386,1.55165,0.002889,0.062435,0.300558,0,93126
1,7000,0.860365,1.55036,0.003189,0.071711,0.357177,0,113950
1,8000,0.969898,1.54794,0.003481,0.081139,0.412768,0,133790
1,9000,1.08938,1.54658,0.003753,0.091314,0.470913,0,154065
1,10000,1.2164,1.54146,0.004065,0.101831,0.529701,0,173940
1,11000,1.36416,1.53817,0.004357,0.114488,0.60033,0,196981
1,12000,1.51377,1.53809,0.004659,0.126373,0.665882,0,218287
1,13000,1.67803,1.5379,0.004968,0.139354,0.73698,0,241156
1,14000,1.85666,1.53788,0.005274,0.153798,0.813535,0,264878
1,15000,2.03525,1.53729,0.005552,0.167022,0.884097,0,286488
1,16000,2.23628,1.53729,0.005857,0.182532,0.966179,0,311391
1,17000,2.44095,1.53699,0.00616,0.197588,1.04495,0,334953
1,18000,2.65652,1.53699,0.006447,0.212911,1.12581,0,359124
1,19000,2.88762,1.53666,0.006739,0.229394,1.21246,0,384438
1,20000,3.12497,1.52982,0.007047,0.245492,1.29723,0,409186
1,21000,3.37847,1.52982,0.007341,0.262612,1.38743,0,434849
1,22000,3.6291,1.52376,0.00764,0.278475,1.46942,0,457956
1,23000,3.89149,1.52375,0.00794,0.294779,1.55398,0,481613
1,24000,4.16597,1.52375,0.008218,0.311387,1.64086,0,506005
1,25000,4.44871,1.52372,0.008509,0.32824,1.72823,0,530552
1,26000,4.74123,1.5198,0.008807,0.345281,1.81599,0,554915
1,27000,5.04509,1.51838,0.009092,0.362951,1.90667,0,580092
1,28000,5.36881,1.51835,0.009399,0.381968,2.00448,0,606983
1,29000,5.70647,1.51835,0.009671,0.398875,2.09177,0,630658
1,30000,6.06713,1.51835,0.009976,0.418318,2.19328,0,656923
1,31000,6.42576,1.51796,0.010262,0.43841,2.29466,0,683393
1,32000,6.78646,1.51796,0.010568,0.456941,2.3903,0,708793
1,33000,7.14615,1.51781,0.010854,0.474485,2.48121,0,733089
1,34000,7.52142,1.51779,0.011163,0.493257,2.57738,0,758311
1,35000,7.90815,1.51738,0.011443,0.511484,2.67162,0,783215
1,36000,8.31534,1.51738,0.01175,0.531881,2.7781,0,811150
1,37000,8.72254,1.51731,0.012043,0.550815,2.87704,0,837357
1,38000,9.14429,1.51731,0.012328,0.570861,2.98026,0,864237
1,39000,9.58247,1.51675,0.012628,0.591073,3.08906,0,890954
1,40000,10.0299,1.51675,0.012938,0.611017,3.19796,0,917597
2,1000,1.29343,inf,0.0003,0.07052,0.0264,0,9433
2,2000,1.36962,inf,0.000602,0.075338,0.087348,0,23695
2,3000,1.43065,inf,0.000896,0.081327,0.124085,0,39218
2,4000,1.49703,inf,0.001218,0.087962,0.163007,0,55176
2,5000,1.59068,1.55521,0.00153,0.098144,0.218038,0,74896
2,6000,1.69952,1.54892,0.001811,0.110231,0.279526,0,95118
2,7000,1.81826,1.54892,0.002117,0.12241,0.344096,0,116749
2,8000,1.98159,1.54277,0.00244,0.138161,0.427251,0,137525
2,9000,2.13403,1.53007,0.003203,0.153473,0.506983,0,159832
2,10000,2.28864,1.52988,0.003488,0.16861,0.583189,0,182146
2,11000,2.44055,1.52987,0.003803,0.1831,0.654714,0,204264
2,12000,2.60513,1.5289,0.004106,0.197663,0.727215,0,226778
2,13000,2.77683,1.52863,0.0044,0.212629,0.799784,0,248555
2,14000,2.94941,1.52863,0.004686,0.226817,0.869516,0,269437
2,15000,3.1407,1.52839,0.004967,0.242432,0.947568,0,292994
2,16000,3.33996,1.52839,0.005264,0.258712,1.02701,0,316339
2,17000,3.55404,1.52839,0.005604,0.275874,1.11097,0,340419
2,18000,3.77953,1.52663,0.005904,0.293781,1.19716,0,364827
2,19000,4.01536,1.52663,0.006203,0.31224,1.28474,0,389376
2,20000,4.26076,1.52538,0.006498,0.330175,1.37059,0,413465
2,21000,4.5097,1.52538,0.0068,0.347393,1.45479,0,437105
2,22000,4.76528,1.52522,0.00709,0.365325,1.54027,0,460660
2,23000,5.0441,1.52522,0.007393,0.384536,1.6341,0,486444
2,24000,5.32972,1.52522,0.007681,0.4039,1.72692,0,511803
2,25000,5.62556,1.52511,0.007959,0.422991,1.81923,0,536689
2,26000,5.93344,1.52511,0.008264,0.442569,1.9152,0,562878
2,27000,6.27024,1.52508,0.008552,0.46178,2.01004,0,588541
2,28000,6.60316,1.52508,0.008851,0.481558,2.10577,0,613499
2,29000,6.99953,1.52508,0.009165,0.50299,2.20858,0,639108
2,30000,7.41034,1.52508,0.009509,0.525129,2.32017,0,664931
2,31000,7.78651,1.52508,0.00983,0.547798,2.4301,0,692855
2,32000,8.16276,1.52508,0.010122,0.568814,2.53364,0,719294
2,33000,8.5394,1.52508,0.010417,0.589472,2.63354,0,744776
2,34000,8.93751,1.52234,0.010713,0.611052,2.73993,0,772069
2,35000,9.33627,1.52232,0.01103,0.632357,2.84318,0,798779
2,36000,9.7529,1.52232,0.011342,0.653543,2.94767,0,826090
2,37000,10.1796,1.52232,0.011648,0.674333,3.05015,0,852286
3,1000,0.452529,inf,0.000325,0.010472,0.080905,0,8707
3,2000,0.51797,inf,0.000626,0.038896,0.109847,0,22579
3,3000,0.578435,inf,0.000935,0.045364,0.147671,0,38727
3,4000,0.659968,1.58272,0.001238,0.05449,0.1987,0,58073
3,5000,0.745063,1.55686,0.001519,0.063434,0.248292,0,76251
3,6000,0.835618,1.55338,0.001813,0.072635,0.300039,0,95718
3,7000,0.94174,1.54488,0.002102,0.083706,0.358902,0,116053
3,8000,1.05077,1.53684,0.002413,0.094014,0.414793,0,135614
3,9000,1.1766,1.53213,0.002719,0.105985,0.479158,0,157240
3,10000,1.31487,1.53143,0.002993,0.119229,0.548564,0,180059
3,11000,1.4577,1.53141,0.003287,0.132438,0.615734,0,201290
3,12000,1.61447,1.52763,0.003589,0.14639,0.688205,0,223993
3,13000,1.78625,1.52763,0.00388,0.161637,0.765884,0,247862
3,14000,1.96023,1.52374,0.004167,0.175717,0.837592,0,269533
3,15000,2.15898,1.52358,0.004456,0.192545,0.921104,0,293437
3,16000,2.36328,1.52344,0.00474,0.208318,0.998967,0,314993
3,17000,2.57497,1.52344,0.005034,0.225712,1.08441,0,338594
3,18000,2.78611,1.52344,0.005336,0.24126,1.16276,0,361487
3,19000,3.00723,1.52344,0.005642,0.257869,1.24387,0,384139
3,20000,3.24553,1.52286,0.005934,0.27552,1.33252,0,409603
3,21000,3.49713,1.52286,0.006245,0.292088,1.41532,0,432262
3,22000,3.7561,1.52286,0.006552,0.31032,1.50757,0,458087
3,23000,4.0321,1.52261,0.006855,0.329358,1.60374,0,484959
3,24000,4.30491,1.52261,0.007148,0.346988,1.69164,0,509126
3,25000,4.58507,1.52247,0.007436,0.364453,1.77916,0,532998
3,26000,4.88313,1.52247,0.00771,0.382899,1.8727,0,558802
3,27000,5.18915,1.52247,0.008015,0.401701,1.96693,0,584024
3,28000,5.50883,1.52232,0.008299,0.420906,2.06449,0,610254
3,29000,5.83629,1.52037,0.008569,0.440147,2.16234,0,636566
3,30000,6.16887,1.52012,0.008851,0.458419,2.25479,0,661373
3,31000,6.5092,1.52008,0.009139,0.477013,2.34773,0,686503
3,32000,6.87294,1.52008,0.009427,0.497628,2.45227,0,714345
3,33000,7.23949,1.52,0.009717,0.517103,2.55079,0,740624
3,34000,7.62298,1.51998,0.010001,0.537725,2.65566,0,768554
3,35000,8.01005,1.51998,0.010284,0.557265,2.75456,0,794497
3,36000,8.41427,1.51998,0.010585,0.577636,2.85843,0,821553
3,37000,8.83291,1.51998,0.0109,0.599499,2.96783,0,849166
3,38000,9.24479,1.51998,0.011189,0.618578,3.0642,0,874119
3,39000,9.68096,1.51998,0.011487,0.640229,3.17352,0,902537
3,40000,10.1357,1.51998,0.011785,0.662459,3.28814,0,931085
4,1000,1.31603,inf,0.000299,0.071312,0.02857,0,9976
4,2000,1.39498,inf,0.000591,0.075857,0.091469,0,25102
4,3000,1.45339,1.54629,0.00087,0.081375,0.128335,0,42819
4,4000,1.51825,1.54629,0.001172,0.08738,0.166583,0,59473
4,5000,1.59966,1.54386,0.001462,0.095039,0.21379,0,78581
4,6000,1.69395,1.54383,0.001755,0.10395,0.266066,0,97845
4,7000,1.80275,1.54025,0.002047,0.114215,0.324983,0,118822
4,8000,1.92152,1.53925,0.002375,0.125312,0.386332,0,139795
4,9000,2.0484,1.53778,0.002653,0.137068,0.448713,0,160814
4,10000,2.19297,1.53235,0.002974,0.150309,0.518942,0,182993
4,11000,2.3454,1.5322,0.003299,0.164152,0.590558,0,205317
4,12000,2.50615,1.53139,0.003607,0.177989,0.66292,0,227680
4,13000,2.67437,1.53136,0.003912,0.191795,0.734779,0,249716
4,14000,2.85116,1.53135,0.004205,0.205894,0.807395,0,271487
4,15000,3.04272,1.52882,0.004485,0.220981,0.886208,0,295069
4,16000,3.24238,1.52144,0.004779,0.236612,0.96529,0,317587
4,17000,3.4572,1.52144,0.005073,0.25306,1.05001,0,342093
4,18000,3.6908,1.52088,0.005375,0.270951,1.14204,0,368634
4,19000,3.91294,1.51848,0.005682,0.285682,1.21841,0,390426
4,20000,4.14991,1.51788,0.005957,0.301676,1.30068,0,413790
4,21000,4.40001,1.51787,0.00631,0.318644,1.38647,0,437822
4,22000,4.6636,1.51786,0.006587,0.336437,1.47639,0,462947
4,23000,4.9374,1.51786,0.006914,0.354238,1.5674,0,487857
4,24000,5.2216,1.51773,0.007208,0.372126,1.65941,0,513381
4,25000,5.52204,1.51758,0.007507,0.390943,1.75657,0,539909
4,26000,5.83224,1.51758,0.007805,0.409819,1.85336,0,566174
4,27000,6.14495,1.51758,0.008095,0.427496,1.94625,0,591279
4,28000,6.48016,1.51758,0.008382,0.447231,2.04891,0,618996
4,29000,6.82048,1.51689,0.008666,0.465793,2.14515,0,644954
4,30000,7.1651,1.51689,0.00895,0.484183,2.2403,0,670299
4,31000,7.54334,1.51678,0.009251,0.50415,2.34277,0,697031
4,32000,7.92383,1.51678,0.009576,0.525058,2.44889,0,724774
4,33000,8.30691,1.51678,0.009874,0.544039,2.54877,0,751016
4,34000,8.70862,1.51678,0.010173,0.56479,2.65352,0,777238
4,35000,9.10868,1.51677,0.010476,0.584179,2.75542,0,803763
4,36000,9.52569,1.51676,0.010773,0.604967,2.86189,0,831298
4,37000,9.94699,1.51676,0.011066,0.624274,2.96061,0,856892
4,38000,10.381,1.51676,0.011357,0.644475,3.0641,0,883812
5,1000,0.432624,inf,0.000319,0.008357,0.085303,0,9375
5,2000,0.503082,inf,0.000635,0.038842,0.116764,0,23656
5,3000,0.56743,inf,0.000921,0.045262,0.157569,0,41269
5,4000,0.637124,1.56895,0.001221,0.051986,0.200858,0,60333
5,5000,0.715492,1.55886,0.001513,0.059482,0.246811,0,79164
5,6000,0.808753,1.55336,0.001802,0.068476,0.300249,0,99237
5,7000,0.911143,1.54775,0.002078,0.078142,0.355533,0,119045
5,8000,1.0292,1.54625,0.002379,0.089231,0.41806,0,140990
5,9000,1.15866,1.54133,0.002659,0.101067,0.482799,0,162408
5,10000,1.29944,1.53794,0.002957,0.113993,0.552425,0,185031
5,11000,1.45217,1.53325,0.003254,0.127569,0.625495,0,208279
5,12000,1.60828,1.53284,0.003562,0.140711,0.695339,0,230097
5,13000,1.7762,1.53282,0.003867,0.15476,0.768769,0,252742
5,14000,1.95761,1.53177,0.004153,0.169544,0.846738,0,276126
5,15000,2.14892,1.53177,0.00446,0.184735,0.9263,0,299761
5,16000,2.34288,1.53055,0.004758,0.198904,1.00141,0,322270
5,17000,2.55178,1.53055,0.005051,0.214116,1.08065,0,345194
5,18000,2.77946,1.53055,0.005348,0.230902,1.16805,0,370183
5,19000,3.00783,1.53055,0.005664,0.246774,1.2503,0,393790
5,20000,3.2606,1.5305,0.005962,0.263593,1.33858,0,418707
5,21000,3.53044,1.53045,0.006291,0.281352,1.42854,0,442762
5,22000,3.79563,1.53045,0.006592,0.298489,1.51597,0,465885
5,23000,4.07321,1.53045,0.006909,0.316339,1.60985,0,492026
5,24000,4.35644,1.53045,0.007182,0.334195,1.70231,0,517731
5,25000,4.65404,1.53045,0.007472,0.352422,1.79758,0,543911
5,26000,4.95857,1.53045,0.007773,0.370379,1.89258,0,569778
5,27000,5.27089,1.53045,0.008058,0.388234,1.98619,0,595026
5,28000,5.6024,1.53045,0.008346,0.407335,2.08714,0,622371
5,29000,5.94002,1.53045,0.008631,0.426079,2.18636,0,649038
5,30000,6.28163,1.53031,0.008907,0.444174,2.28172,0,674186
5,31000,6.63338,1.53025,0.009203,0.461776,2.37612,0,699150
5,32000,7.01768,1.53025,0.00951,0.481193,2.47774,0,725733
5,33000,7.39838,1.52846,0.009808,0.500095,2.57913,0,752101
5,34000,7.78824,1.5284,0.010106,0.519533,2.68161,0,778679
5,35000,8.17942,1.5284,0.010406,0.5373,2.77533,0,803257
5,36000,8.58411,1.52785,0.010701,0.555631,2.87396,0,829090
5,37000,9.00665,1.52607,0.010999,0.575476,2.97917,0,856058
5,38000,9.4345,1.52607,0.011294,0.594669,3.08163,0,882747
5,39000,9.88255,1.52607,0.011592,0.614955,3.18987,0,910424
5,40000,10.336,1.52207,0.011907,0.634772,3.29873,0,938128
6,1000,1.33551,inf,0.000291,0.071569,0.025883,0,8956
6,2000,1.41319,inf,0.000593,0.101752,0.064258,0,23969
6,3000,1.47341,inf,0.000893,0.107126,0.098529,0,39753
6,4000,1.54282,inf,0.001205,0.113299,0.137837,0,57292
6,5000,1.6315,inf,0.001521,0.120927,0.184272,0,75889
6,6000,1.73731,inf,0.001835,0.129815,0.235105,0,94827
6,7000,1.85034,1.56579,0.002144,0.141146,0.298899,0,117536
6,8000,1.9767,1.55617,0.002443,0.153694,0.367068,0,140441
6,9000,2.10346,1.54769,0.002729,0.165396,0.42968,0,161048
6,10000,2.24119,1.53497,0.003025,0.178009,0.496584,0,182478
6,11000,2.38763,1.53281,0.00332,0.19089,0.564656,0,204134
6,12000,2.5469,1.53254,0.003612,0.204731,0.637229,0,226713
6,13000,2.71011,1.53254,0.003898,0.218129,0.70694,0,248384
6,14000,2.88276,1.53254,0.004179,0.231664,0.777982,0,269888
6,15000,3.08179,1.53253,0.004486,0.247747,0.862502,0,294838
6,16000,3.28547,1.53253,0.00479,0.26387,0.945623,0,319132
6,17000,3.49558,1.53253,0.005068,0.279724,1.02789,0,342704
6,18000,3.71532,1.53253,0.005352,0.295669,1.11074,0,366493
6,19000,3.94745,1.53253,0.00563,0.31222,1.19633,0,390652
6,20000,4.18508,1.53056,0.005915,0.328588,1.28114,0,414342
6,21000,4.4337,1.52815,0.006217,0.345357,1.36802,0,438839
6,22000,4.69161,1.52803,0.006507,0.362233,1.4555,0,463305
6,23000,4.96261,1.52803,0.006797,0.379459,1.54598,0,488205
6,24000,5.24541,1.52798,0.007091,0.397637,1.63915,0,513722
6,25000,5.545,1.52798,0.007369,0.41654,1.73872,0,541104
6,26000,5.84318,1.52648,0.007658,0.434036,1.82952,0,565868
6,27000,6.16845,1.52538,0.007945,0.454007,1.93349,0,594081
6,28000,6.48225,1.52433,0.00823,0.470587,2.02079,0,617703
6,29000,6.81939,1.52433,0.008521,0.489049,2.11687,0,643254
6,30000,7.15783,1.52433,0.008806,0.506459,2.20778,0,667320
6,31000,7.51447,1.52406,0.009106,0.525144,2.30769,0,693861
6,32000,7.87752,1.52406,0.009394,0.543434,2.4054,0,719711
6,33000,8.24742,1.52406,0.009682,0.561799,2.50066,0,744826
6,34000,8.64179,1.52266,0.009951,0.582054,2.60727,0,772823
6,35000,9.04005,1.52266,0.010224,0.601058,2.70865,0,799252
6,36000,9.44405,1.52266,0.010509,0.619722,2.8081,0,825384
6,37000,9.86354,1.5191,0.010815,0.639246,2.9117,0,852078
6,38000,10.2854,1.5191,0.011106,0.657677,3.01076,0,877494
7,1000,0.443979,inf,0.000313,0.007494,0.090357,0,9367
7,2000,0.521296,inf,0.000607,0.024459,0.138376,0,24875
7,3000,0.572243,inf,0.000913,0.029881,0.173564,0,42178
7,4000,0.639626,1.56584,0.001218,0.036351,0.214593,0,60510
7,5000,0.72098,1.56246,0.00151,0.04452,0.262388,0,78851
7,6000,0.810132,1.56098,0.001805,0.053129,0.31221,0,98039
7,7000,0.910568,1.55844,0.002086,0.06272,0.366112,0,117009
7,8000,1.02407,1.55461,0.002369,0.07359,0.425496,0,137370
7,9000,1.15104,1.5546,0.002682,0.085475,0.490523,0,159296
7,10000,1.28699,1.54745,0.002984,0.097693,0.556138,0,180707
7,11000,1.43343,1.54119,0.003267,0.111141,0.625683,0,202486
7,12000,1.59184,1.54118,0.003554,0.125125,0.698017,0,224922
7,13000,1.75137,1.54118,0.003841,0.138433,0.766365,0,245768
7,14000,1.93157,1.54033,0.004134,0.153775,0.845656,0,269600
7,15000,2.11819,1.54025,0.00444,0.169102,0.924334,0,293213
7,16000,2.30862,1.53792,0.004743,0.183928,1.00017,0,315496
7,17000,2.5126,1.53776,0.005017,0.199435,1.08049,0,339117
7,18000,2.73902,1.53477,0.005316,0.216008,1.16617,0,364137
7,19000,2.9751,1.53224,0.005626,0.233935,1.25746,0,389960
7,20000,3.22448,1.53224,0.005917,0.252788,1.35385,0,417152
7,21000,3.46543,1.53108,0.006197,0.269028,1.43674,0,440420
7,22000,3.73931,1.53108,0.006479,0.287079,1.53045,0,466692
7,23000,4.00689,1.53063,0.006767,0.30458,1.61932,0,490877
7,24000,4.2883,1.53063,0.007047,0.322936,1.71366,0,517010
7,25000,4.57556,1.53063,0.007344,0.340528,1.80495,0,541970
7,26000,4.87134,1.53063,0.00763,0.357963,1.89486,0,566780
7,27000,5.19434,1.53062,0.007931,0.377432,1.99372,0,592638
7,28000,5.50652,1.53062,0.008246,0.394875,2.08404,0,617277
7,29000,5.83999,1.53062,0.008545,0.414146,2.18392,0,644134
7,30000,6.18964,1.52571,0.008855,0.433819,2.28631,0,671416
7,31000,6.54158,1.52571,0.009149,0.452753,2.38526,0,697587
7,32000,6.8927,1.52571,0.009459,0.469956,2.47519,0,721383
7,33000,7.26362,1.52516,0.009751,0.488795,2.57321,0,747188
7,34000,7.64838,1.52516,0.010041,0.508368,2.67501,0,774059
7,35000,8.04551,1.52516,0.010324,0.528504,2.77882,0,801209
7,36000,8.44025,1.52516,0.010604,0.546579,2.87457,0,826176
7,37000,8.85047,1.52511,0.010894,0.565853,2.97482,0,852264
7,38000,9.27343,1.52511,0.011182,0.585638,3.07859,0,878995
7,39000,9.70394,1.52255,0.011486,0.605012,3.18111,0,905525
7,40000,10.1533,1.52125,0.011783,0.625883,3.29038,0,933513
8,1000,0.518226,inf,0.000278,0.004966,0.086594,0,9034
8,2000,0.590486,inf,0.000577,0.009367,0.146923,0,23347
8,3000,0.649554,inf,0.000875,0.014553,0.180295,0,39794
8,4000,0.712629,1.5609,0.001182,0.020614,0.218062,0,56345
8,5000,0.792882,1.55266,0.001478,0.028818,0.264526,0,74828
8,6000,0.885481,1.54442,0.001784,0.038082,0.317568,0,94744
8,7000,0.98339,1.53712,0.002084,0.047637,0.370478,0,113491
8,8000,1.09202,1.53712,0.002363,0.057995,0.426598,0,133003
8,9000,1.21758,1.53577,0.002652,0.070194,0.491171,0,154441
8,10000,1.35406,1.53361,0.002944,0.082884,0.555605,0,174801
8,11000,1.49089,1.53357,0.003228,0.095082,0.618298,0,194936
8,12000,1.63673,1.53356,0.003515,0.10774,0.682927,0,215418
8,13000,1.79737,1.52922,0.003803,0.121765,0.754121,0,237294
8,14000,1.96653,1.5292,0.004089,0.135955,0.826163,0,259199
8,15000,2.14842,1.52769,0.004375,0.151227,0.902558,0,281863
8,16000,2.34999,1.52759,0.004649,0.168167,0.988644,0,307243
8,17000,2.56011,1.52563,0.004923,0.185354,1.07518,0,332402
8,18000,2.77146,1.52127,0.005208,0.201206,1.15499,0,355320
8,19000,2.98945,1.51857,0.005499,0.217357,1.23459,0,378130
8,20000,3.22811,1.51854,0.005782,0.235323,1.32442,0,403659
8,21000,3.46921,1.51852,0.006083,0.252251,1.40967,0,427557
8,22000,3.72471,1.5185,0.006366,0.270063,1.49875,0,452536
8,23000,3.9872,1.5185,0.006683,0.28761,1.58722,0,477113
8,24000,4.26097,1.5185,0.006985,0.30554,1.67734,0,501999
8,25000,4.53992,1.51849,0.007267,0.323341,1.76496,0,525956
8,26000,4.83971,1.51848,0.007552,0.342217,1.8597,0,551721
8,27000,5.15427,1.51848,0.007847,0.361642,1.95825,0,578543
8,28000,5.47071,1.51846,0.008148,0.380873,2.05379,0,604502
8,29000,5.79588,1.51843,0.008448,0.399808,2.14792,0,629840
8,30000,6.13145,1.51683,0.008734,0.418837,2.2446,0,655647
8,31000,6.4759,1.51683,0.009018,0.438139,2.34091,0,681362
8,32000,6.83989,1.51683,0.009314,0.458476,2.44373,0,708660
8,33000,7.21232,1.51683,0.00961,0.479311,2.54752,0,736019
8,34000,7.593,1.51683,0.009907,0.499675,2.64994,0,762957
8,35000,7.97871,1.51654,0.010189,0.519036,2.74859,0,788736
8,36000,8.38562,1.51654,0.0105,0.540266,2.8569,0,816941
8,37000,8.79425,1.51654,0.010787,0.560068,2.95722,0,842775
8,38000,9.2082,1.51654,0.011086,0.579272,3.05596,0,868280
8,39000,9.64158,1.51654,0.011378,0.600065,3.1628,0,895819
8,40000,10.0871,1.51654,0.01166,0.621712,3.27083,0,923372
9,1000,0.458881,inf,0.000322,0.008577,0.090581,0,9693
9,2000,0.529857,inf,0.000593,0.040741,0.119696,0,24639
9,3000,0.581844,inf,0.000911,0.046093,0.153689,0,41388
9,4000,0.651965,inf,0.001206,0.052936,0.195742,0,59900
9,5000,0.729125,inf,0.001533,0.061408,0.245148,0,79567
9,6000,0.824811,1.55022,0.00183,0.070731,0.297692,0,99041
9,7000,0.929871,1.54414,0.002114,0.081048,0.353831,0,118685
9,8000,1.0412,1.544,0.002385,0.091494,0.410276,0,138306
9,9000,1.16693,1.54325,0.00268,0.103482,0.472428,0,158693
9,10000,1.30175,1.53733,0.00298,0.115982,0.537074,0,179671
9,11000,1.44284,1.53654,0.003281,0.128332,0.601418,0,200266
9,12000,1.59762,1.53067,0.00357,0.142302,0.67103,0,221753
9,13000,1.76103,1.52871,0.003884,0.156344,0.74218,0,243515
9,14000,1.93406,1.52871,0.004174,0.170779,0.814821,0,265640
9,15000,2.11166,1.52871,0.004463,0.18468,0.885299,0,286823
