trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.408462,inf,0.0005,0.403462,0.002701,0,838
0,2000,0.419184,inf,0.000934,0.408895,0.005824,0,1904
0,3000,0.430291,inf,0.001374,0.414745,0.009022,0,3014
0,4000,0.442381,inf,0.00186,0.421227,0.012559,0,4270
0,5000,0.454605,inf,0.002331,0.427807,0.016063,0,5454
0,6000,0.467477,inf,0.002802,0.434879,0.019744,0,6638
0,7000,0.480553,inf,0.003276,0.44225,0.023383,0,7714
0,8000,0.49463,1.57902,0.0038,0.449813,0.027054,0,8853
0,9000,0.509239,1.57823,0.004237,0.456539,0.031855,0,10337
0,10000,0.525481,1.54479,0.004703,0.463852,0.037711,0,11999
0,11000,0.544068,1.54307,0.005155,0.47191,0.044988,0,13780
0,12000,0.563949,1.53955,0.005632,0.480852,0.05271,0,15613
0,13000,0.589126,1.53938,0.006159,0.491961,0.063172,0,17489
0,14000,0.614164,1.53748,0.006662,0.5032,0.07349,0,19336
0,15000,0.643757,1.5351,0.00715,0.51517,0.087738,0,21022
0,16000,0.675944,1.53493,0.007689,0.528472,0.103089,0,22827
0,17000,0.705555,1.53371,0.008223,0.54088,0.116899,0,24680
0,18000,0.730547,1.53315,0.008711,0.553077,0.126267,0,26476
0,19000,0.759635,1.53205,0.009222,0.565996,0.138904,0,28306
0,20000,0.810284,1.52969,0.009756,0.580026,0.172084,0,30137
0,21000,0.843491,1.52969,0.010285,0.594394,0.187508,0,31894
0,22000,0.873132,1.52907,0.010829,0.60881,0.199201,0,33746
0,23000,0.925563,1.52796,0.011748,0.624971,0.231442,0,35731
0,24000,0.959742,1.52796,0.012287,0.640741,0.246217,0,37700
0,25000,0.999312,1.52796,0.01285,0.657433,0.265406,0,39624
0,26000,1.03306,1.52796,0.013435,0.673601,0.279464,0,41432
0,27000,1.07387,1.52707,0.014002,0.691099,0.299137,0,43281
0,28000,1.1116,1.52707,0.014569,0.708468,0.315895,0,45160
0,29000,1.15282,1.52702,0.015128,0.725922,0.336031,0,46965
0,30000,1.18707,1.52702,0.015681,0.743838,0.348851,0,48796
0,31000,1.22403,1.52702,0.01623,0.762258,0.363733,0,50735
0,32000,1.27785,1.52538,0.016817,0.782932,0.392929,0,52756
0,33000,1.31663,1.52526,0.0174,0.802006,0.409079,0,54588
0,34000,1.36348,1.52524,0.017966,0.822003,0.432119,0,56493
0,35000,1.41517,1.52486,0.018539,0.842265,0.459978,0,58318
0,36000,1.50243,1.52384,0.019148,0.862389,0.52349,0,60150
0,37000,1.54271,1.52384,0.019737,0.883308,0.539042,0,62136
0,38000,1.59457,1.52265,0.020337,0.904256,0.566359,0,63898
0,39000,1.64866,1.52247,0.020952,0.926155,0.594685,0,65902
0,40000,1.68963,1.52247,0.021516,0.947998,0.609962,0,67849
0,41000,1.76935,1.52181,0.022099,0.968952,0.665209,0,69540
0,42000,1.81202,1.52181,0.022699,0.991494,0.681495,0,71491
0,43000,1.87472,1.52043,0.023287,1.0145,0.717332,0,73367
0,44000,1.91599,1.52042,0.023869,1.03683,0.732581,0,75226
0,45000,1.97427,1.52028,0.024471,1.06013,0.763721,0,77155
0,46000,2.01568,1.52027,0.025054,1.08303,0.778532,0,78902
0,47000,2.1832,1.52027,0.025663,1.11509,0.804277,0,80875
0,48000,2.26559,1.51939,0.026257,1.13919,0.858417,0,82816
0,49000,2.31558,1.51939,0.026899,1.16491,0.878481,0,84760
0,50000,2.3581,1.51939,0.027525,1.18878,0.893336,0,86541
0,51000,2.42392,1.51936,0.028121,1.21563,0.928213,0,88526
0,52000,2.47052,1.51936,0.028753,1.24219,0.944256,0,90392
0,53000,2.56518,1.51909,0.029361,1.26987,1.00695,0,92467
0,54000,2.65806,1.51806,0.030002,1.29758,1.0681,0,94402
0,55000,2.72851,1.518,0.030629,1.32458,1.10767,0,96173
0,56000,2.79052,1.518,0.031232,1.35213,1.13798,0,98156
0,57000,2.84754,1.51798,0.031854,1.37918,1.16415,0,99870
0,58000,2.89723,1.51798,0.032479,1.40625,1.18275,0,101781
0,59000,2.96729,1.51794,0.033091,1.4346,1.22051,0,103798
0,60000,3.04172,1.5179,0.033725,1.46206,1.2637,0,105671
0,61000,3.08971,1.5179,0.034377,1.48979,1.28009,0,107607
0,62000,3.13924,1.5179,0.035001,1.51751,1.29805,0,109535
0,63000,3.1961,1.5179,0.035613,1.54463,1.32403,0,111336
0,64000,3.24538,1.5179,0.036252,1.57226,1.34191,0,113158
0,65000,3.30166,1.5179,0.036882,1.5998,1.36698,0,114902
0,66000,3.36649,1.5179,0.037509,1.6284,1.39934,0,116872
0,67000,3.41767,1.51789,0.03816,1.65705,1.41799,0,118688
0,68000,3.46552,1.51789,0.038775,1.6847,1.4345,0,120473
0,69000,3.58679,1.51776,0.039409,1.71505,1.52133,0,122576
0,70000,3.63774,1.51776,0.040032,1.74403,1.53955,0,124479
0,71000,3.68482,1.51776,0.040662,1.77157,1.55535,0,126310
0,72000,3.7319,1.51776,0.041306,1.79843,1.5721,0,127940
0,73000,3.78198,1.51776,0.041941,1.82715,1.5897,0,129852
0,74000,3.83486,1.51776,0.04259,1.85666,1.60916,0,131776
0,75000,3.88575,1.51776,0.043251,1.8866,1.62632,0,133597
0,76000,3.94006,1.51776,0.043871,1.91677,1.64656,0,135625
0,77000,4.14468,1.51528,0.04453,1.94784,1.81606,0,137566
0,78000,4.19596,1.51528,0.045191,1.97767,1.83364,0,139467
0,79000,4.24655,1.51528,0.045853,2.00725,1.85081,0,141348
0,80000,4.29723,1.51528,0.046463,2.03655,1.86843,0,143179
0,81000,4.34947,1.51528,0.047132,2.0672,1.88605,0,145127
0,82000,4.40567,1.51528,0.047742,2.09918,1.90639,0,147155
0,83000,4.53796,1.51524,0.04841,2.12977,2.00416,0,149013
0,84000,4.62784,1.51523,0.049075,2.16,2.06007,0,150727
0,85000,4.68294,1.51523,0.049727,2.19093,2.08036,0,152552
0,86000,4.74923,1.51522,0.050359,2.22044,2.11347,0,154286
0,87000,4.80597,1.51522,0.051015,2.25226,2.13438,0,156240
0,88000,4.86029,1.51522,0.051673,2.28385,2.15308,0,158200
0,89000,4.96256,1.51513,0.052334,2.31622,2.21895,0,160146
0,90000,5.30334,1.51459,0.052989,2.35389,2.33836,0,161827
0,91000,5.35775,1.51459,0.05366,2.38626,2.35608,0,163720
0,92000,5.50279,1.51455,0.054335,2.42,2.46286,0,165629
0,93000,5.55646,1.51455,0.054994,2.45252,2.47988,0,167470
0,94000,5.6162,1.51455,0.055682,2.48807,2.49965,0,169537
0,95000,5.71807,1.51444,0.056362,2.51949,2.56629,0,171223
0,96000,5.77927,1.51444,0.057027,2.55431,2.58839,0,173307
0,97000,5.83412,1.51444,0.057664,2.58725,2.60625,0,175161
0,98000,5.89434,1.51444,0.058315,2.62273,2.62661,0,177149
0,99000,6.04998,1.5144,0.058986,2.65703,2.74381,0,179046
0,100000,6.1044,1.5144,0.059656,2.69013,2.76114,0,180804
1,1000,0.023264,inf,0.000447,0.005508,0.009447,0,773
1,2000,0.088274,inf,0.000903,0.063865,0.014134,0,1656
1,3000,0.099493,inf,0.001399,0.069783,0.017361,0,2753
1,4000,0.110588,inf,0.001901,0.07581,0.020412,0,3802
1,5000,0.122259,inf,0.002409,0.082116,0.023707,0,4857
1,6000,0.134314,inf,0.0029,0.088593,0.027179,0,6020
1,7000,0.146284,inf,0.003412,0.095019,0.030658,0,7126
1,8000,0.159096,inf,0.003901,0.101928,0.034435,0,8334
1,9000,0.172703,inf,0.004404,0.109187,0.038569,0,9551
1,10000,0.186675,inf,0.004892,0.116641,0.042929,0,10814
1,11000,0.201197,inf,0.005417,0.124351,0.0475,0,12066
1,12000,0.215736,inf,0.005893,0.132468,0.051799,0,13214
1,13000,0.229693,inf,0.00638,0.140091,0.056027,0,14319
1,14000,0.245358,inf,0.006862,0.148272,0.061253,0,15709
