trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.012912,inf,0.00047,0.008929,0.001386,0,291
0,2000,0.020765,inf,0.000925,0.014082,0.002233,0,545
0,3000,0.028673,inf,0.001376,0.019326,0.003135,0,776
0,4000,0.036878,inf,0.001841,0.024673,0.004157,0,1045
0,5000,0.045636,inf,0.002298,0.030461,0.005225,0,1286
0,6000,0.054939,inf,0.002793,0.036705,0.006358,0,1527
0,7000,0.064311,inf,0.003239,0.043081,0.007498,0,1754
0,8000,0.07332,2.05632,0.003667,0.048587,0.008599,0,2089
0,9000,0.083323,1.67796,0.004032,0.054591,0.009875,0,2470
0,10000,0.093706,1.67796,0.004447,0.0609,0.011171,0,2855
0,11000,0.104216,1.67796,0.00483,0.067465,0.012422,0,3215
0,12000,0.115357,1.67796,0.005227,0.074509,0.013811,0,3571
0,13000,0.126556,1.67796,0.00561,0.081684,0.015198,0,3923
0,14000,0.138411,1.67796,0.006006,0.089347,0.016702,0,4290
0,15000,0.149539,1.67796,0.00641,0.096629,0.01807,0,4615
0,16000,0.161059,1.67796,0.006836,0.104155,0.019467,0,4936
0,17000,0.173152,1.67796,0.007232,0.112103,0.021046,0,5250
0,18000,0.186034,1.67796,0.007628,0.120598,0.022819,0,5579
0,19000,0.199316,1.67796,0.008051,0.12935,0.02468,0,5916
0,20000,0.213263,1.67796,0.008489,0.138413,0.026723,0,6272
0,21000,0.226532,1.67796,0.008908,0.147154,0.028579,0,6600
0,22000,0.240234,1.67796,0.009315,0.156368,0.030493,0,6914
0,23000,0.254882,1.67796,0.009754,0.166085,0.032685,0,7257
0,24000,0.269761,1.67796,0.010156,0.175947,0.034985,0,7586
0,25000,0.285103,1.67796,0.010587,0.186104,0.037312,0,7913
0,26000,0.302088,1.67796,0.011228,0.197258,0.040076,0,8266
0,27000,0.31925,1.67796,0.011643,0.208564,0.042942,0,8636
0,28000,0.338365,1.67796,0.012106,0.221378,0.046241,0,9007
0,29000,0.357278,1.67796,0.012536,0.234026,0.049525,0,9368
0,30000,0.37587,1.67796,0.012974,0.246436,0.052739,0,9730
0,31000,0.394941,1.67796,0.01346,0.259208,0.056052,0,10088
0,32000,0.413471,1.67796,0.013855,0.27184,0.059184,0,10416
0,33000,0.432923,1.67796,0.014343,0.284985,0.062534,0,10761
0,34000,0.453268,1.67796,0.014798,0.298726,0.06616,0,11120
0,35000,0.474136,1.67796,0.015284,0.312895,0.069907,0,11467
0,36000,0.496189,1.67796,0.015726,0.327891,0.073944,0,11834
0,37000,0.517954,1.67796,0.016204,0.342715,0.077877,0,12187
0,38000,0.53854,1.67796,0.016677,0.356927,0.081431,0,12499
0,39000,0.560831,1.67796,0.017178,0.372316,0.08541,0,12840
