trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.050019,1.64918,0.000283,0.003101,0.038449,0.007834,173
0,2000,0.329542,1.63885,0.000591,0.008098,0.135814,0.184384,282
0,3000,0.769562,1.6371,0.000907,0.015617,0.310873,0.441199,386
0,4000,1.50477,1.63543,0.001245,0.025506,0.601122,0.875613,464
0,5000,2.46597,1.63543,0.001576,0.036949,0.789745,1.63609,514
0,6000,3.47349,1.63528,0.001882,0.04955,1.08809,2.33203,548
0,7000,3.72563,1.63522,0.002184,0.063527,1.32542,2.3322,559
0,8000,9.19602,1.18641,0.002415,0.072838,1.77078,7.34733,737
0,9000,10.1417,1.1796,0.002608,0.079762,2.13484,7.9215,786
1,1000,0.072254,1.65221,0.000327,0.00304,0.043395,0.025193,211
1,2000,0.14915,1.65221,0.000617,0.007468,0.105239,0.035233,236
1,3000,0.393114,1.65159,0.000937,0.014469,0.260354,0.116446,292
1,4000,1.63272,1.19028,0.001159,0.018417,0.403181,1.20874,485
1,5000,2.28592,1.18982,0.001358,0.023145,0.564054,1.69582,547
1,6000,2.66742,1.18687,0.001566,0.02886,0.739557,1.89555,608
1,7000,3.68559,1.18292,0.001753,0.035327,1.05257,2.5937,679
1,8000,4.52858,1.18292,0.001961,0.042462,1.32216,3.15945,713
1,9000,6.94506,1.18218,0.002181,0.050759,1.77861,5.11064,803
1,10000,7.95698,1.17782,0.002373,0.058605,2.27055,5.62223,839
1,11000,9.74786,1.17782,0.002592,0.067079,2.75129,6.92335,890
1,12000,12.2993,1.17775,0.002819,0.076713,3.39377,8.82209,937
2,1000,0.130771,1.6655,0.000311,0.002759,0.043119,0.084298,356
2,2000,0.295186,1.65637,0.000599,0.007361,0.143792,0.142831,438
2,3000,0.772093,1.64481,0.000901,0.01379,0.314787,0.441693,529
2,4000,2.20616,1.1813,0.00116,0.01973,0.44842,1.73563,653
2,5000,2.69214,1.17589,0.001368,0.024127,0.655828,2.00929,713
2,6000,3.6503,1.17172,0.001585,0.029148,1.00022,2.61752,801
2,7000,4.46406,1.17168,0.001777,0.035083,1.22845,3.1966,869
2,8000,5.86574,1.16922,0.001975,0.041719,1.56628,4.25328,944
2,9000,7.9254,1.16901,0.00218,0.048715,2.17523,5.69647,1026
2,10000,8.21139,1.16888,0.002405,0.056551,2.32355,5.82577,1054
2,11000,10.4476,1.16781,0.002595,0.065245,2.84124,7.53504,1128
3,1000,0.06938,1.68057,0.0003,0.002703,0.036689,0.029411,218
3,2000,0.270477,1.64681,0.000606,0.007254,0.146149,0.115879,332
3,3000,0.652618,1.63979,0.000928,0.014474,0.359381,0.276931,406
3,4000,1.05114,1.63793,0.001256,0.022858,0.577829,0.447993,449
3,5000,4.30388,1.20341,0.001584,0.032732,0.79858,3.46946,596
3,6000,5.00729,1.19208,0.001791,0.038122,1.07835,3.88717,666
3,7000,5.71464,1.19186,0.001989,0.044267,1.38452,4.28168,706
3,8000,6.28782,1.1893,0.002192,0.050739,1.54272,4.68969,738
3,9000,8.42616,1.18766,0.002414,0.058191,2.25054,6.11219,841
3,10000,9.50251,1.18766,0.002624,0.065682,2.58773,6.84332,904
3,11000,12.3013,1.18682,0.00285,0.074019,3.23274,8.9882,987
4,1000,0.199466,1.65094,0.000317,0.004739,0.037544,0.156528,266
4,2000,0.535342,1.24615,0.000565,0.008177,0.110458,0.415511,487
4,3000,0.699332,1.23,0.000774,0.011639,0.20476,0.481229,557
4,4000,1.44676,1.2191,0.001014,0.016245,0.474156,0.954095,682
4,5000,2.22292,1.20413,0.001232,0.022088,0.784094,1.41392,840
4,6000,3.10355,1.20413,0.001472,0.028933,1.07479,1.99645,911
4,7000,5.20583,1.19523,0.001674,0.036813,1.75,3.41508,1052
4,8000,7.43818,1.18829,0.001886,0.045643,2.52965,4.85839,1174
4,9000,8.74305,1.18804,0.002111,0.054523,3.02092,5.66256,1237
4,10000,10.8151,1.17741,0.002325,0.063838,3.79646,6.94915,1350
5,1000,0.067027,1.65014,0.000292,0.002922,0.040703,0.022825,270
5,2000,0.44453,1.64672,0.000607,0.007905,0.210441,0.224967,398
5,3000,0.744214,1.6467,0.000906,0.014657,0.406531,0.321191,458
