trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.132821,1.68029,0.000416,0.005743,0.010711,0.112183,113
0,2000,0.158978,1.64856,0.000836,0.011059,0.019304,0.120514,189
0,3000,0.173464,1.64856,0.001251,0.016869,0.024148,0.120514,197
0,4000,0.201516,1.63852,0.001682,0.023096,0.034139,0.128329,241
0,5000,0.257389,1.23044,0.002062,0.028849,0.049139,0.160074,340
0,6000,0.278717,1.21713,0.0024,0.033608,0.059026,0.16421,374
0,7000,0.304595,1.20311,0.002688,0.038403,0.075081,0.166824,431
0,8000,0.33541,1.20301,0.003001,0.043572,0.087943,0.177073,465
0,9000,0.365909,1.20301,0.003271,0.048927,0.1024,0.185389,489
0,10000,0.427709,1.183,0.003552,0.055337,0.14509,0.195404,573
0,11000,0.48815,1.17941,0.003844,0.061684,0.174445,0.217769,613
0,12000,0.538542,1.17908,0.004154,0.068414,0.201039,0.232371,644
0,13000,0.603781,1.17734,0.004459,0.075281,0.21856,0.270547,678
0,14000,0.682795,1.1717,0.004753,0.082546,0.267463,0.290765,730
0,15000,0.712354,1.1717,0.005026,0.089187,0.27855,0.300164,738
0,16000,0.724868,1.1717,0.005334,0.09518,0.282804,0.300164,740
0,17000,0.845485,1.16901,0.005628,0.102653,0.362722,0.330811,781
0,18000,0.867842,1.1688,0.005945,0.109767,0.375518,0.330878,791
0,19000,0.940367,1.16872,0.006258,0.117757,0.41913,0.349424,811
0,20000,1.11667,1.16859,0.006576,0.126692,0.468949,0.464399,834
0,21000,1.21469,1.16859,0.006885,0.135217,0.52283,0.49734,887
0,22000,1.32686,1.16816,0.007194,0.143906,0.586132,0.53494,914
0,23000,1.48888,1.16816,0.007495,0.152553,0.62175,0.650141,940
0,24000,1.53031,1.16804,0.007801,0.161237,0.651841,0.650213,950
0,25000,1.68741,1.16776,0.008237,0.171394,0.721211,0.724985,972
0,26000,1.75448,1.16776,0.008546,0.180169,0.757987,0.743996,999
0,27000,1.83996,1.16776,0.008876,0.190249,0.794775,0.779942,1009
0,28000,1.92031,1.16776,0.009184,0.200037,0.827582,0.815065,1012
0,29000,2.08185,1.16776,0.009518,0.21196,0.911091,0.878278,1041
0,30000,2.33513,1.16233,0.00986,0.224245,1.10919,0.91835,1100
0,31000,2.41252,1.16233,0.010158,0.234208,1.1271,0.965345,1135
0,32000,2.59075,1.16233,0.010462,0.244957,1.20976,1.04753,1159
0,33000,2.63153,1.16232,0.010762,0.25574,1.23709,1.0477,1167
0,34000,2.75797,1.16232,0.011074,0.266351,1.30372,1.09433,1180
0,35000,2.90017,1.16232,0.011388,0.277103,1.33302,1.19392,1192
0,36000,3.33561,1.16232,0.011736,0.28842,1.4791,1.4693,1226
