trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.008976,1.94607,0.000389,0.003883,0.000804,0.000575,25
0,2000,0.019177,1.94607,0.000774,0.00876,0.00187,0.00119,42
0,3000,0.029449,1.94607,0.001125,0.01424,0.002851,0.001279,43
0,4000,0.041379,1.94607,0.001524,0.020083,0.004233,0.002256,57
0,5000,0.053215,1.94607,0.001918,0.026225,0.005523,0.002907,62
0,6000,0.06087,1.39259,0.002193,0.030443,0.006437,0.003108,69
0,7000,0.06842,1.39259,0.002451,0.034858,0.007149,0.003296,69
0,8000,0.075929,1.39259,0.002726,0.039254,0.007862,0.003482,69
0,9000,0.083718,1.39259,0.002989,0.043869,0.008595,0.003656,69
0,10000,0.091421,1.39259,0.003249,0.048504,0.009349,0.003847,69
0,11000,0.099339,1.39259,0.003484,0.053305,0.010124,0.004019,69
0,12000,0.10713,1.39259,0.003739,0.057993,0.010872,0.004209,69
0,13000,0.115566,1.39259,0.004007,0.063088,0.011722,0.004394,69
0,14000,0.123813,1.39259,0.004284,0.068089,0.012589,0.004582,69
0,15000,0.132164,1.39259,0.004561,0.073222,0.013449,0.004748,69
0,16000,0.140608,1.39259,0.004819,0.078376,0.014341,0.004936,69
0,17000,0.149888,1.39259,0.005083,0.084018,0.015411,0.005127,69
0,18000,0.158583,1.39259,0.005358,0.089361,0.016362,0.005295,69
0,19000,0.167609,1.39259,0.005618,0.094913,0.017389,0.005485,69
0,20000,0.176624,1.39259,0.0059,0.100434,0.018436,0.005674,69
0,21000,0.185644,1.39259,0.006145,0.106001,0.019487,0.005869,69
0,22000,0.194891,1.39259,0.006406,0.111697,0.020617,0.006037,69
0,23000,0.204905,1.39259,0.006682,0.117814,0.021892,0.006228,69
0,24000,0.214593,1.39259,0.006967,0.123763,0.023122,0.006421,69
0,25000,0.224875,1.39259,0.007365,0.129973,0.024467,0.006594,69
0,26000,0.23453,1.39259,0.007619,0.136017,0.025774,0.006784,69
0,27000,0.245889,1.39259,0.007917,0.142978,0.027494,0.006978,69
0,28000,0.256655,1.39259,0.008177,0.14963,0.029109,0.007175,69
0,29000,0.267757,1.39259,0.008455,0.156448,0.030783,0.007358,69
0,30000,0.279013,1.39259,0.008707,0.163435,0.032519,0.007557,69
0,31000,0.290617,1.39259,0.008994,0.170606,0.034344,0.007751,69
0,32000,0.303027,1.39259,0.009289,0.178295,0.036346,0.007946,69
0,33000,0.315117,1.39259,0.009575,0.18582,0.038301,0.008126,69
0,34000,0.326491,1.39259,0.009871,0.192936,0.040126,0.008325,69
0,35000,0.338363,1.39259,0.01016,0.200358,0.042063,0.008523,69
0,36000,0.350412,1.39259,0.010453,0.207956,0.044048,0.0087,69
0,37000,0.363205,1.39259,0.010743,0.216048,0.046226,0.008906,69
0,38000,0.375493,1.39259,0.011016,0.223821,0.048329,0.009091,69
0,39000,0.388599,1.39259,0.011308,0.232139,0.050602,0.009291,69
0,40000,0.4028,1.39259,0.011598,0.24108,0.053165,0.009497,69
0,41000,0.416196,1.39259,0.011884,0.249597,0.055497,0.009695,69
0,42000,0.430532,1.39259,0.012179,0.258721,0.058069,0.009905,69
0,43000,0.445292,1.39259,0.012457,0.268125,0.06081,0.010111,69
0,44000,0.459814,1.39259,0.012736,0.277471,0.063463,0.010322,69
0,45000,0.474123,1.39259,0.013018,0.286727,0.066067,0.010512,69
0,46000,0.48985,1.39259,0.013292,0.296789,0.068968,0.010726,69
0,47000,0.505649,1.39259,0.013581,0.307037,0.07192,0.010939,69
0,48000,0.520136,1.39259,0.013855,0.316471,0.074541,0.011151,69
0,49000,0.536854,1.39259,0.014159,0.32729,0.077755,0.011353,69
0,50000,0.552091,1.39259,0.014481,0.337173,0.080601,0.011574,69
0,51000,0.568256,1.39259,0.014779,0.347634,0.083657,0.011793,69
0,52000,0.584796,1.39259,0.015084,0.35841,0.086805,0.011995,69
0,53000,0.6014,1.39259,0.015398,0.369264,0.089975,0.01222,69
