trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.03524,1.65581,0.000383,0.003599,0.029033,0,10706
0,2000,0.099086,1.64152,0.000664,0.008294,0.079693,0,27085
0,3000,0.157193,1.6392,0.000969,0.013787,0.118132,0,45455
0,4000,0.295046,1.63889,0.00128,0.020373,0.227366,0,64548
0,5000,0.38772,1.63834,0.001596,0.028612,0.282344,0,84542
0,6000,0.47975,1.19399,0.00189,0.037027,0.335529,0,104453
0,7000,0.548274,1.19118,0.00209,0.041492,0.36631,0,116811
0,8000,0.621938,1.1832,0.002294,0.046259,0.39812,0,128998
0,9000,0.705611,1.17846,0.002497,0.051834,0.435375,0,142472
0,10000,0.964313,1.17494,0.002716,0.057984,0.638853,0,156639
0,11000,1.08245,1.17461,0.002898,0.066089,0.693055,0,173122
0,12000,1.19969,1.17321,0.003105,0.073304,0.741801,0,187865
0,13000,1.32086,1.17319,0.003314,0.080894,0.789973,0,204064
0,14000,1.44399,1.17036,0.003519,0.088126,0.835884,0,219333
0,15000,1.57962,1.16425,0.003712,0.096214,0.887705,0,235949
0,16000,1.72231,1.16221,0.003905,0.104782,0.941815,0,252699
0,17000,1.87388,1.16049,0.0041,0.114012,0.999694,0,270451
0,18000,2.02299,1.16006,0.004297,0.122055,1.05154,0,286250
0,19000,2.18836,1.16006,0.004504,0.131599,1.11282,0,304568
0,20000,2.3572,1.16005,0.004694,0.140967,1.17229,0,322284
0,21000,2.53573,1.16005,0.004887,0.150784,1.23562,0,340833
0,22000,2.71841,1.16005,0.005085,0.160356,1.29617,0,358366
0,23000,2.91191,1.15748,0.005297,0.170806,1.36293,0,377267
0,24000,3.11825,1.1565,0.005497,0.182093,1.43499,0,397728
0,25000,3.32993,1.15565,0.005678,0.193313,1.50678,0,417822
0,26000,4.05033,1.15536,0.005875,0.20475,2.06304,0,437580
0,27000,4.30427,1.15536,0.006074,0.217349,2.14268,0,458935
0,28000,4.58068,1.15529,0.006285,0.230832,2.23194,0,480741
0,29000,4.87337,1.15526,0.006489,0.244048,2.32495,0,502103
0,30000,5.16882,1.15526,0.006682,0.257354,2.41286,0,524617
0,31000,5.4563,1.15526,0.00688,0.269426,2.48801,0,544924
0,32000,5.75984,1.15513,0.00706,0.282718,2.57006,0,566833
0,33000,6.06066,1.15512,0.007251,0.294931,2.64532,0,586926
0,34000,6.38351,1.15491,0.007435,0.309132,2.73346,0,610136
0,35000,6.71504,1.15446,0.007612,0.32305,2.82117,0,633211
0,36000,7.04544,1.15438,0.007827,0.336356,2.90371,0,654690
0,37000,7.38454,1.15373,0.00804,0.349759,2.98829,0,676626
0,38000,7.72471,1.15373,0.008242,0.362318,3.06757,0,696978
0,39000,8.07553,1.15373,0.008432,0.375567,3.15129,0,718237
0,40000,8.43909,1.15372,0.008625,0.389465,3.24025,0,740955
0,41000,8.80255,1.15358,0.008805,0.402243,3.32186,0,761759
0,42000,9.17989,1.15351,0.008997,0.416466,3.4111,0,784145
0,43000,9.56632,1.15351,0.009204,0.430644,3.50289,0,807219
0,44000,9.95865,1.15351,0.009413,0.444963,3.59322,0,829556
0,45000,10.3737,1.15217,0.009645,0.461021,3.69565,0,855096
1,1000,0.408658,1.65955,0.00031,0.021833,0.10783,0,12039
1,2000,0.461618,1.65877,0.000597,0.026753,0.14326,0,27973
1,3000,0.530849,1.65749,0.000905,0.033306,0.186945,0,47665
1,4000,0.60908,1.64752,0.001206,0.04048,0.232338,0,66660
1,5000,0.706593,1.64746,0.001519,0.049737,0.287849,0,88052
1,6000,0.80436,1.18744,0.001849,0.059152,0.342586,0,108546
1,7000,0.873225,1.18696,0.002063,0.063617,0.370295,0,120081
1,8000,0.947668,1.18682,0.002236,0.068474,0.40014,0,132177
1,9000,1.02896,1.17588,0.002451,0.07387,0.432806,0,144707
1,10000,1.12144,1.17588,0.002642,0.080268,0.471274,0,159206
1,11000,1.2166,1.16375,0.002842,0.086649,0.508889,0,172784
1,12000,1.32202,1.16375,0.003045,0.093881,0.551429,0,187890
1,13000,1.42658,1.16242,0.00321,0.100445,0.589893,0,201291
1,14000,1.54215,1.1623,0.003421,0.107891,0.633747,0,216347
1,15000,1.66756,1.16229,0.003615,0.116085,0.681332,0,232177
1,16000,1.79294,1.16224,0.003807,0.123751,0.72571,0,246995
1,17000,1.93924,1.16224,0.004013,0.13369,0.782954,0,265439
1,18000,2.08694,1.16127,0.004196,0.142973,0.836731,0,282539
1,19000,2.23904,1.1612,0.004398,0.152052,0.889839,0,299173
1,20000,2.41314,1.16119,0.004601,0.163471,0.956674,0,319918
1,21000,2.58347,1.16066,0.004792,0.17356,1.01556,0,337991
1,22000,2.76192,1.15269,0.004981,0.183894,1.0759,0,356256
1,23000,2.93973,1.15269,0.005173,0.193347,1.13268,0,373518
1,24000,3.13778,1.15189,0.005364,0.204873,1.20092,0,394000
1,25000,3.32698,1.15173,0.005549,0.214409,1.25778,0,410904
1,26000,3.52911,1.15173,0.005737,0.224975,1.32067,0,429349
1,27000,3.74556,1.15173,0.00594,0.236611,1.39032,0,449252
1,28000,3.96928,1.15171,0.006147,0.248457,1.46159,0,469951
1,29000,4.20731,1.15168,0.006347,0.261183,1.53932,0,491967
1,30000,4.44457,1.15168,0.006565,0.272863,1.6109,0,512571
1,31000,4.68735,1.15054,0.006755,0.284361,1.68026,0,532094
1,32000,4.94322,1.15054,0.006959,0.296811,1.75627,0,553415
1,33000,5.19904,1.1505,0.007144,0.308372,1.82671,0,573080
1,34000,5.46505,1.14999,0.007319,0.320554,1.90072,0,593604
1,35000,5.75037,1.14999,0.007501,0.334293,1.98366,0,616473
1,36000,6.02953,1.14994,0.007691,0.34625,2.05641,0,636375
1,37000,6.31475,1.14994,0.007892,0.358338,2.12916,0,656110
1,38000,6.60751,1.14994,0.008095,0.370319,2.2027,0,675943
1,39000,6.93018,1.14994,0.008291,0.385597,2.29558,0,700575
1,40000,7.25571,1.14994,0.008479,0.399957,2.38444,0,724438
1,41000,7.58476,1.14994,0.008677,0.413965,2.47015,0,747243
1,42000,7.93118,1.14994,0.008887,0.429156,2.56422,0,771806
1,43000,8.28323,1.14993,0.00907,0.443933,2.65647,0,796103
1,44000,8.6334,1.14978,0.009267,0.457276,2.74028,0,818056
1,45000,8.97889,1.14965,0.009468,0.469529,2.81548,0,837507
1,46000,9.34648,1.14963,0.009648,0.483737,2.90379,0,860078
1,47000,9.72818,1.14963,0.009854,0.498188,2.99753,0,882880
1,48000,10.1201,1.14869,0.010046,0.513101,3.09383,0,906343
2,1000,1.23534,1.67748,0.000324,0.069205,0.030672,0,11117
2,2000,1.31775,1.6585,0.000625,0.074524,0.094996,0,27157
2,3000,1.38434,1.18514,0.000928,0.081439,0.138544,0,46604
2,4000,1.42707,1.18343,0.001148,0.084757,0.159273,0,57065
2,5000,1.47819,1.18226,0.001345,0.08879,0.185061,0,69227
2,6000,1.53594,1.18105,0.001532,0.093163,0.213606,0,82106
2,7000,1.59506,1.18098,0.001719,0.097301,0.240528,0,93658
2,8000,1.66511,1.17619,0.001907,0.102574,0.273439,0,106613
2,9000,1.74518,1.17164,0.002116,0.108528,0.311121,0,121148
2,10000,1.84143,1.17066,0.002322,0.116176,0.358357,0,138670
2,11000,1.93888,1.17043,0.002536,0.123283,0.402553,0,154216
2,12000,2.04422,1.16751,0.002738,0.13086,0.449186,0,170333
2,13000,2.15376,1.16531,0.002934,0.138459,0.495387,0,186047
2,14000,2.2773,1.1653,0.003124,0.147208,0.549086,0,203835
2,15000,2.41764,1.1653,0.003316,0.157421,0.611638,0,224011
2,16000,2.55817,1.16303,0.003504,0.166695,0.669622,0,242834
2,17000,2.71143,1.16303,0.003691,0.17681,0.733122,0,262851
2,18000,2.8751,1.16303,0.003892,0.187512,0.79961,0,283185
2,19000,3.04005,1.16148,0.004089,0.197833,0.862227,0,302412
2,20000,3.21423,1.16141,0.004282,0.208383,0.927596,0,322049
2,21000,3.39865,1.15959,0.004464,0.219415,0.995122,0,342053
2,22000,3.5916,1.15948,0.004663,0.230784,1.0657,0,362337
2,23000,3.78954,1.15948,0.00484,0.241846,1.13562,0,382652
2,24000,4.00533,1.15948,0.005027,0.254553,1.21446,0,405425
2,25000,4.21684,1.15499,0.00521,0.265819,1.28433,0,425395
2,26000,4.44011,1.15499,0.005396,0.277455,1.35859,0,446361
2,27000,4.67592,1.15331,0.005583,0.290172,1.43832,0,468726
2,28000,4.91001,1.15275,0.005769,0.301866,1.51149,0,489397
2,29000,5.1566,1.15275,0.005974,0.314128,1.59019,0,511225
2,30000,5.41944,1.15275,0.006185,0.327587,1.67475,0,534660
2,31000,5.67118,1.15275,0.006383,0.338748,1.74591,0,554223
2,32000,5.94489,1.15275,0.006575,0.351778,1.82947,0,576825
2,33000,6.23281,1.14916,0.006758,0.365758,1.91951,0,601099
2,34000,6.5229,1.14912,0.006952,0.379095,2.00395,0,623729
2,35000,6.80785,1.14906,0.007144,0.391206,2.07876,0,643452
2,36000,7.12189,1.14904,0.007343,0.405873,2.17233,0,668364
2,37000,7.43497,1.14896,0.00753,0.419104,2.25738,0,690889
2,38000,7.74157,1.14896,0.007721,0.431018,2.33359,0,710803
2,39000,8.06412,1.14896,0.007927,0.444008,2.41712,0,732794
2,40000,8.40495,1.14896,0.0081,0.458305,2.50912,0,756803
2,41000,8.75203,1.14896,0.008294,0.472472,2.60104,0,780873
2,42000,9.10871,1.14896,0.008462,0.487281,2.69435,0,805045
2,43000,9.46979,1.14896,0.008662,0.501404,2.78386,0,828149
2,44000,9.83777,1.14707,0.008865,0.515505,2.87495,0,851429
2,45000,10.2205,1.14707,0.00905,0.530694,2.97205,0,876388
3,1000,0.440482,1.65931,0.000325,0.005901,0.099634,0,10839
3,2000,0.513434,1.6462,0.000642,0.010809,0.155427,0,25677
3,3000,0.574729,1.64267,0.000947,0.016808,0.192579,0,43290
3,4000,0.652341,1.63534,0.001233,0.024526,0.238056,0,62789
3,5000,0.74497,1.63534,0.00152,0.033875,0.290176,0,83327
3,6000,0.845053,1.18264,0.001821,0.044486,0.347625,0,104672
3,7000,0.911948,1.18253,0.002036,0.049187,0.375135,0,116106
3,8000,0.986188,1.18243,0.00224,0.054541,0.406055,0,128677
3,9000,1.0651,1.18233,0.002435,0.060128,0.437997,0,141009
3,10000,1.15226,1.18225,0.002622,0.066508,0.473968,0,154376
3,11000,1.24358,1.1814,0.002814,0.073063,0.510457,0,167431
