trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.41854,1.67263,0.000425,0.024091,0.389605,0,1956
0,2000,0.434699,1.66824,0.000861,0.03038,0.395755,0,4004
0,3000,0.45179,1.66278,0.001318,0.036987,0.402436,0,6103
0,4000,0.469459,1.66229,0.001752,0.043909,0.40935,0,8297
0,5000,0.493992,1.6522,0.002159,0.051628,0.422208,0,10624
0,6000,0.512355,1.21961,0.002501,0.057713,0.431529,0,12581
0,7000,0.527658,1.21233,0.002827,0.063216,0.438921,0,13920
0,8000,0.546655,1.20518,0.003112,0.06919,0.449431,0,15333
0,9000,0.569941,1.19205,0.003408,0.075374,0.46408,0,16678
0,10000,0.586538,1.19174,0.0037,0.081668,0.472016,0,17944
0,11000,0.600575,1.19174,0.00403,0.088028,0.477171,0,19269
0,12000,0.619683,1.18832,0.004314,0.094901,0.48699,0,20520
0,13000,0.661262,1.18333,0.004645,0.103108,0.517932,0,21710
0,14000,0.677496,1.18333,0.004925,0.110473,0.524291,0,23050
0,15000,0.713802,1.177,0.005253,0.11924,0.549183,0,24382
0,16000,0.742773,1.17299,0.005569,0.127367,0.567488,0,25679
0,17000,0.760605,1.17299,0.005906,0.135076,0.575117,0,26866
0,18000,0.777709,1.17299,0.006186,0.142975,0.582007,0,28038
0,19000,0.81063,1.17272,0.006518,0.152349,0.602951,0,29445
0,20000,0.830243,1.17272,0.006842,0.161017,0.611316,0,30746
0,21000,0.856811,1.17245,0.007166,0.170921,0.625285,0,32206
0,22000,0.877552,1.17245,0.007488,0.180289,0.634132,0,33487
0,23000,0.91715,1.17171,0.007823,0.190294,0.66127,0,34801
0,24000,0.947894,1.1716,0.008507,0.201065,0.678075,0,36160
0,25000,0.968924,1.1716,0.008822,0.211061,0.686527,0,37507
0,26000,0.993903,1.1716,0.009145,0.221685,0.698245,0,38804
0,27000,1.02929,1.17087,0.009494,0.233311,0.719367,0,40155
0,28000,1.07322,1.17015,0.009843,0.245443,0.748553,0,41479
0,29000,1.14879,1.16607,0.010188,0.257794,0.809067,0,42845
0,30000,1.20303,1.16338,0.0105,0.270007,0.848326,0,44304
0,31000,1.22712,1.16338,0.010824,0.281363,0.858433,0,45619
0,32000,1.27167,1.16297,0.011158,0.293405,0.888424,0,46933
0,33000,1.29683,1.16297,0.011466,0.305204,0.899216,0,48240
0,34000,1.32199,1.16297,0.011789,0.317383,0.90954,0,49622
0,35000,1.34594,1.16297,0.01213,0.328997,0.919312,0,50968
0,36000,1.37761,1.16297,0.012456,0.341472,0.935882,0,52263
0,37000,1.40139,1.16297,0.012765,0.353051,0.945681,0,53462
0,38000,1.47499,1.16283,0.013103,0.367677,1.00176,0,54946
0,39000,1.50005,1.16283,0.013433,0.380012,1.01194,0,56139
0,40000,1.53719,1.16278,0.013767,0.393261,1.03326,0,57415
0,41000,1.58706,1.16137,0.014111,0.406343,1.06749,0,58681
0,42000,1.61822,1.16137,0.014468,0.420882,1.08123,0,60151
0,43000,1.70291,1.15816,0.014804,0.434702,1.14944,0,61459
0,44000,1.78098,1.15736,0.015167,0.449125,1.21033,0,62827
0,45000,1.81391,1.15675,0.015503,0.463738,1.22589,0,64239
0,46000,1.84329,1.15675,0.015851,0.478141,1.23814,0,65633
0,47000,1.92263,1.15429,0.016165,0.493515,1.29933,0,67059
0,48000,1.98304,1.15386,0.016532,0.508385,1.34215,0,68456
0,49000,2.05567,1.15381,0.016858,0.522994,1.39752,0,69739
0,50000,2.10439,1.15374,0.017225,0.538085,1.42846,0,71018
0,51000,2.14958,1.15333,0.017607,0.55353,1.45545,0,72446
0,52000,2.21139,1.15307,0.017978,0.570276,1.49772,0,73875
0,53000,2.26257,1.15254,0.018352,0.586583,1.52977,0,75315
0,54000,2.39605,1.15117,0.018707,0.601724,1.64553,0,76614
0,55000,2.42836,1.15117,0.019072,0.617659,1.65906,0,78053
0,56000,2.45837,1.15117,0.019424,0.632487,1.67165,0,79398
0,57000,2.50854,1.15115,0.019779,0.648837,1.70267,0,80781
0,58000,2.5414,1.15115,0.02013,0.665068,1.7165,0,82190
0,59000,2.59359,1.15088,0.020498,0.681024,1.74998,0,83597
0,60000,2.75385,1.15088,0.020848,0.706959,1.7655,0,84905
0,61000,2.78595,1.15088,0.021206,0.723522,1.77804,0,86269
0,62000,2.81747,1.15088,0.021551,0.739494,1.79071,0,87617
0,63000,2.85167,1.15088,0.021887,0.756538,1.80498,0,88957
0,64000,2.95683,1.15073,0.022208,0.773653,1.89031,0,90212
0,65000,3.03371,1.1507,0.022555,0.790183,1.94808,0,91376
0,66000,3.0665,1.1507,0.022911,0.807176,1.96104,0,92785
