trial,plan iters,plan time,best cost,time configuration test,time KNN,time connect,time lazy,edge checks
0,1000,0.065871,1.89625,0.00045,0.005938,0.008113,0,734
0,2000,0.079348,1.89625,0.000899,0.012479,0.010518,0,1461
0,3000,0.102597,1.89625,0.001396,0.027903,0.01408,0,2089
0,4000,0.1183,1.89625,0.001959,0.036639,0.01634,0,2713
0,5000,0.130312,1.89625,0.002413,0.043497,0.017974,0,3260
0,6000,0.143486,1.89625,0.002891,0.050972,0.019889,0,3848
0,7000,0.156758,1.89625,0.003337,0.058526,0.021804,0,4431
0,8000,0.170029,1.89625,0.003763,0.066167,0.023738,0,4993
0,9000,0.183949,1.89625,0.004227,0.074215,0.025749,0,5566
0,10000,0.196288,1.3504,0.004634,0.081238,0.027821,0,6054
0,11000,0.205555,1.3504,0.004924,0.08675,0.029155,0,6433
0,12000,0.215038,1.3504,0.005234,0.092447,0.030495,0,6798
0,13000,0.224343,1.3504,0.005543,0.098157,0.031798,0,7138
0,14000,0.234255,1.3504,0.005843,0.104275,0.03323,0,7476
0,15000,0.244099,1.3504,0.006167,0.110361,0.034652,0,7817
0,16000,0.254333,1.3504,0.006478,0.116677,0.036133,0,8146
0,17000,0.264391,1.3504,0.006782,0.12299,0.037575,0,8449
0,18000,0.275086,1.3504,0.007098,0.129711,0.039158,0,8763
0,19000,0.28653,1.3504,0.007474,0.13677,0.040959,0,9107
0,20000,0.298645,1.3504,0.007795,0.144234,0.042926,0,9461
0,21000,0.310834,1.3504,0.0081,0.151944,0.044884,0,9805
0,22000,0.322981,1.3504,0.008451,0.159556,0.046859,0,10129
0,23000,0.334988,1.3504,0.008777,0.167219,0.048836,0,10427
0,24000,0.347364,1.3504,0.009099,0.175147,0.050904,0,10720
0,25000,0.360522,1.3504,0.009415,0.183487,0.053175,0,11047
0,26000,0.373893,1.3504,0.009747,0.192006,0.055472,0,11357
0,27000,0.387022,1.3504,0.01011,0.200439,0.057725,0,11647
0,28000,0.401946,1.3504,0.01048,0.209972,0.060434,0,11981
0,29000,0.415577,1.3504,0.01079,0.218794,0.062872,0,12270
0,30000,0.430334,1.3504,0.011124,0.228265,0.065596,0,12583
0,31000,0.445954,1.3504,0.011456,0.238326,0.068558,0,12905
0,32000,0.460674,1.3504,0.011791,0.24789,0.07124,0,13188
0,33000,0.47723,1.3504,0.012109,0.258641,0.074404,0,13524
0,34000,0.493022,1.3504,0.012445,0.268945,0.077376,0,13818
0,35000,0.509453,1.3504,0.012784,0.279606,0.080484,0,14144
0,36000,0.52588,1.3504,0.013099,0.290381,0.083549,0,14441
0,37000,0.543274,1.3504,0.013459,0.301778,0.086911,0,14746
0,38000,0.559563,1.3504,0.013809,0.312524,0.089984,0,15027
0,39000,0.576975,1.3504,0.01416,0.324065,0.093318,0,15329
0,40000,0.595318,1.3504,0.014545,0.336123,0.096945,0,15651
0,41000,0.613199,1.3504,0.014898,0.347972,0.100384,0,15946
0,42000,0.631597,1.3504,0.015265,0.36021,0.103938,0,16234
0,43000,0.650829,1.3504,0.015586,0.372888,0.107775,0,16550
0,44000,0.669529,1.3504,0.015943,0.38523,0.111453,0,16849
0,45000,0.688206,1.3504,0.016277,0.39764,0.115173,0,17139
0,46000,0.707304,1.3504,0.01663,0.410329,0.118932,0,17441
0,47000,0.725926,1.3504,0.016983,0.422799,0.122541,0,17727
0,48000,0.746764,1.3504,0.01735,0.43655,0.126807,0,18075
0,49000,0.767169,1.3504,0.017719,0.450136,0.130896,0,18399
0,50000,0.788037,1.3504,0.018084,0.463992,0.135152,0,18722
0,51000,0.80926,1.3504,0.018451,0.478177,0.139477,0,19046
0,52000,0.82984,1.3504,0.018793,0.491889,0.143657,0,19354
0,53000,0.849596,1.3504,0.019158,0.505191,0.147549,0,19641
0,54000,0.869511,1.3504,0.019507,0.518615,0.151487,0,19920
0,55000,0.890117,1.3504,0.019881,0.532493,0.155564,0,20212
0,56000,0.910895,1.3504,0.020236,0.546587,0.159709,0,20488
0,57000,0.932511,1.3504,0.020581,0.561116,0.164119,0,20797
0,58000,0.954221,1.3504,0.020958,0.575798,0.168491,0,21095
0,59000,0.977743,1.3504,0.021329,0.591627,0.173359,0,21415
0,60000,0.999454,1.3504,0.021677,0.606301,0.177737,0,21708
0,61000,1.02232,1.3504,0.022049,0.62174,0.182395,0,22017
0,62000,1.04439,1.3504,0.022428,0.636713,0.186865,0,22302
0,63000,1.0672,1.3504,0.022781,0.652089,0.191619,0,22608
0,64000,1.08896,1.3504,0.023141,0.666855,0.195998,0,22883
0,65000,1.1119,1.3504,0.023537,0.682438,0.200683,0,23177
0,66000,1.13426,1.3504,0.023908,0.697639,0.205221,0,23459
0,67000,1.15844,1.3504,0.024288,0.71401,0.210249,0,23773
0,68000,1.18209,1.3504,0.024657,0.730104,0.215118,0,24064
0,69000,1.2049,1.3504,0.025029,0.745696,0.21965,0,24352
0,70000,1.22934,1.3504,0.025398,0.762243,0.224715,0,24667
0,71000,1.25477,1.3504,0.025789,0.779429,0.23007,0,24988
0,72000,1.2794,1.3504,0.026162,0.796151,0.235226,0,25296
0,73000,1.30284,1.3504,0.026531,0.812126,0.239995,0,25588
0,74000,1.32712,1.3504,0.026889,0.828888,0.244891,0,25869
0,75000,1.35123,1.3504,0.027264,0.845297,0.249843,0,26165
0,76000,1.37658,1.3504,0.027644,0.862519,0.255169,0,26483
0,77000,1.40108,1.3504,0.028014,0.87937,0.260195,0,26769
0,78000,1.42615,1.3504,0.028372,0.896465,0.265395,0,27074
0,79000,1.45103,1.3504,0.028741,0.913341,0.270647,0,27379
0,80000,1.47607,1.3504,0.029126,0.930369,0.275884,0,27666
0,81000,1.50204,1.3504,0.029504,0.948192,0.281247,0,27967
0,82000,1.52835,1.3504,0.029901,0.966215,0.286727,0,28271
0,83000,1.55443,1.3504,0.030281,0.98418,0.292104,0,28564
0,84000,1.57852,1.3504,0.030652,1.0007,0.297089,0,28836
0,85000,1.60512,1.3504,0.031034,1.01889,0.302686,0,29140
0,86000,1.6303,1.3504,0.031381,1.03612,0.30796,0,29436
0,87000,1.65321,1.3504,0.031753,1.05205,0.312503,0,29675
0,88000,1.67782,1.3504,0.032118,1.06898,0.317568,0,29952
0,89000,1.70502,1.3504,0.03248,1.08759,0.323295,0,30263
0,90000,1.73068,1.3504,0.032868,1.10512,0.328688,0,30549
0,91000,1.75775,1.3504,0.033246,1.12375,0.334349,0,30848
