trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,0.000348767,inf,0.000234821,6.8906e-05,9.239e-06,0,1,0,0,1,3,1.9633e-05
0,45,0.360393,inf,0.00908295,0.35066,0.000213654,0,1,6,6,45,25,0.000241368
0,82,0.46086,3.87536,0.0161387,0.44242,0.000595913,2.9256e-05,1,11,10,82,47,0.000666356
0,558,0.617103,3.87536,0.0299443,0.575389,0.00185009,0.000989712,1,29,26,558,88,0.0021157
0,1719,0.736678,3.87536,0.0523739,0.660063,0.00597024,0.000989712,1,40,37,1719,166,0.00402428
0,2537,0.839511,3.56136,0.0710961,0.725994,0.00855481,0.0114777,1,44,39,2537,202,0.00532734
0,3122,1.00104,3.56136,0.077022,0.784234,0.0103456,0.102386,1,56,49,3122,223,0.00732909
0,3765,1.47592,3.56136,0.0892847,1.21052,0.0134764,0.122485,1,63,54,3765,256,0.00957913
0,4601,1.60347,3.56074,0.105207,1.30004,0.0181648,0.133043,1,71,60,4601,299,0.0108414
0,5803,1.75944,3.32684,0.118827,1.42659,0.0243598,0.133095,1,75,63,5803,349,0.0124385
0,9031,1.8648,3.32684,0.152923,1.46269,0.0359415,0.133095,1,81,69,9031,428,0.0142952
0,12092,1.97249,3.32684,0.187067,1.49272,0.050721,0.133095,1,88,76,12092,513,0.0162688
0,12654,2.09134,3.25841,0.192975,1.58923,0.0534691,0.142573,1,94,80,12654,527,0.0172158
0,16047,2.50351,2.734,0.215011,1.92138,0.069529,0.153901,1,100,84,16047,605,0.0195583
0,21446,2.67294,2.734,0.229231,2.04856,0.0766502,0.153901,1,102,86,21446,638,0.0208598
0,21564,3.13751,2.734,0.230311,2.46936,0.0769073,0.195879,1,109,88,21564,639,0.0258984
0,26524,3.24826,2.734,0.244522,2.52657,0.0868214,0.195879,1,118,97,26524,682,0.027648
0,29423,3.39637,2.49405,0.256045,2.62593,0.093428,0.208865,1,123,100,29423,709,0.0292136
0,44873,3.51153,2.49405,0.280435,2.63099,0.112036,0.208865,1,126,103,44873,781,0.0310133
0,61961,3.62742,2.49405,0.302862,2.64547,0.130046,0.208865,1,130,107,61961,845,0.0326224
0,71255,3.87739,2.49405,0.335929,2.81356,0.142091,0.208865,1,133,110,71255,885,0.0341091
0,86713,3.9974,2.49405,0.370601,2.81905,0.16128,0.208865,1,135,112,86713,946,0.0366039
0,106204,4.11935,2.34085,0.390915,2.83627,0.178373,0.208929,1,141,116,106204,997,0.0388513
0,121117,4.24482,2.34085,0.408984,2.87699,0.193332,0.208929,1,144,119,121117,1039,0.0404989
0,128913,4.6456,2.34085,0.418676,2.98816,0.200998,0.45192,1,150,122,128913,1061,0.044216
0,140183,4.89467,2.34085,0.43135,3.17933,0.210343,0.45192,1,152,124,140183,1086,0.0449739
0,156800,5.06801,2.34085,0.455909,3.25512,0.227053,0.45192,1,166,138,156800,1131,0.0465299
0,172542,5.26719,2.34085,0.483779,3.27701,0.247125,0.52103,1,174,143,172542,1183,0.0506227
0,187018,5.40291,2.34085,0.512046,3.31115,0.264296,0.52103,1,180,149,187018,1224,0.0519951
0,199810,5.61803,2.34085,0.53476,3.44245,0.275477,0.52103,1,184,153,199810,1251,0.05277
0,216959,5.75801,2.34085,0.562991,3.44641,0.293324,0.52103,1,199,168,216959,1292,0.0551617
0,233138,5.91912,2.34085,0.579614,3.50697,0.31381,0.52103,1,201,170,233138,1338,0.0564309
0,255301,6.0661,2.34085,0.608321,3.51113,0.340412,0.52103,1,202,171,255301,1396,0.0574013
0,269203,6.2176,2.34085,0.628148,3.57296,0.357064,0.52103,1,228,197,269203,1431,0.0585781
0,283771,6.39234,2.31864,0.64624,3.6004,0.377959,0.558571,1,242,209,283771,1473,0.0639405
0,293046,6.6036,2.31864,0.655701,3.72045,0.393145,0.586928,1,249,213,293046,1503,0.0678109
0,309751,6.75704,2.31864,0.6738,3.77513,0.410349,0.586928,1,254,218,309751,1536,0.0693618
0,328237,7.02229,2.31864,0.697406,3.91733,0.434952,0.586928,1,265,229,328237,1583,0.0715418
0,331057,7.21065,2.31864,0.701952,4.07938,0.438747,0.594491,1,270,231,331057,1590,0.0744193
0,334263,7.40112,2.26899,0.702579,4.10887,0.441965,0.739499,1,277,235,334263,1596,0.0763418
0,362515,7.56147,2.03996,0.717749,4.14145,0.46386,0.739557,1,283,240,362515,1636,0.0793009
0,398007,7.72586,2.03996,0.732427,4.16662,0.48268,0.739557,1,290,247,398007,1670,0.0814335
0,427115,7.89402,2.03996,0.746518,4.2165,0.500206,0.739557,1,294,251,427115,1701,0.0825969
0,437988,8.07025,2.03996,0.753988,4.34623,0.506134,0.739557,1,296,253,437988,1711,0.0828348
0,449443,8.25557,2.03996,0.766223,4.48156,0.509458,0.739557,1,298,255,449443,1717,0.0831481
0,491379,8.43137,2.03996,0.789241,4.48819,0.531255,0.739557,1,303,260,491379,1755,0.0849077
0,528991,8.6125,1.9576,0.808442,4.52069,0.552161,0.739651,1,310,265,528991,1790,0.0882487
0,575555,8.79808,1.9576,0.825699,4.53196,0.576376,0.739651,1,318,273,575555,1830,0.0897843
0,593684,8.98969,1.9576,0.836777,4.56175,0.587788,0.823213,1,327,279,593684,1848,0.0941705
0,619615,9.18377,1.9576,0.844209,4.66271,0.600228,0.823213,1,330,282,619615,1868,0.094535
0,651251,9.43485,1.9576,0.859646,4.78692,0.618182,0.823213,1,339,291,651251,1896,0.0954335
0,698184,9.6364,1.9576,0.889493,4.79621,0.643593,0.823213,1,350,302,698184,1935,0.0969644
0,737427,9.84426,1.9576,0.902879,4.79985,0.662075,0.823213,1,356,308,737427,1963,0.0993492
0,787017,10.0573,1.9576,0.929401,4.80987,0.691466,0.823213,1,363,315,787017,2007,0.101237
0,827431,10.2762,1.9576,0.957209,4.85326,0.717224,0.823213,1,365,317,827431,2045,0.102906
0,873286,10.5005,1.9576,0.975129,4.90659,0.740394,0.823213,1,371,323,873286,2079,0.104397
0,909602,10.7301,1.9576,0.994711,4.9942,0.757017,0.823213,1,381,333,909602,2103,0.105242
0,973852,10.9684,1.9576,1.01772,5.00276,0.783402,0.823213,1,384,336,973852,2140,0.106554
0,1032891,11.2117,1.9576,1.05165,5.0069,0.816949,0.823213,1,384,336,1032891,2186,0.10769
0,1061965,11.4629,1.9576,1.06901,5.12353,0.839025,0.823213,1,389,341,1061965,2216,0.108991
0,1115463,11.7473,1.9576,1.09135,5.20859,0.865987,0.823213,1,393,345,1115463,2252,0.110105
0,1143816,12.0075,1.9576,1.0984,5.37023,0.878007,0.823213,1,403,355,1143816,2268,0.110403
0,1148689,12.32,1.9576,1.10364,5.64995,0.881869,0.831224,1,416,365,1148689,2273,0.115207
0,1196755,12.6221,1.9576,1.11879,5.77174,0.906884,0.831224,1,424,373,1196755,2306,0.117331
0,1252751,12.8946,1.9576,1.15473,5.78149,0.948715,0.831224,1,427,376,1252751,2360,0.118657
0,1307478,13.1722,1.9576,1.18085,5.8461,0.974778,0.831224,1,433,382,1307478,2393,0.119559
0,1361569,13.4584,1.9576,1.20658,5.89963,1.01144,0.834139,1,437,384,1361569,2439,0.124011
0,1436102,13.7518,1.9576,1.241,5.90394,1.0506,0.834139,1,440,387,1436102,2486,0.125326
0,1507943,14.0525,1.9576,1.26582,5.91469,1.09734,0.834139,1,443,390,1507943,2542,0.127359
0,1577445,14.4812,1.9576,1.30142,6.04489,1.14474,0.834139,1,447,394,1577445,2598,0.128709
0,1652506,14.8003,1.9576,1.32359,6.05809,1.19202,0.834139,1,453,400,1652506,2652,0.1303
0,1731189,15.1276,1.9576,1.36031,6.06378,1.2378,0.834139,1,454,401,1731189,2704,0.132579
0,1796913,15.465,1.9576,1.38237,6.13316,1.27693,0.834139,1,463,410,1796913,2748,0.13385
0,1847328,15.9074,1.93388,1.401,6.20201,1.31948,0.985638,1,469,412,1847328,2794,0.136286
0,1910294,16.2594,1.93388,1.42985,6.29918,1.35144,0.987986,1,474,415,1910294,2828,0.141299
0,1984156,16.6195,1.93388,1.45929,6.36082,1.39491,0.99311,1,486,424,1984156,2874,0.147484
0,2051542,16.9928,1.93388,1.48797,6.43832,1.44444,0.99311,1,490,428,2051542,2926,0.148792
0,2111031,17.3702,1.93388,1.51306,6.54899,1.48943,0.99311,1,510,448,2111031,2971,0.150373
0,2189752,17.759,1.93388,1.54063,6.61207,1.54101,0.99311,1,516,454,2189752,3022,0.15183
0,2279380,18.1528,1.93388,1.57054,6.63867,1.60119,0.99311,1,521,459,2279380,3082,0.153806
0,2320599,18.6321,1.93388,1.57876,6.80002,1.62986,1.14692,1,531,465,2320599,3110,0.158021
0,2391386,19.0419,1.93388,1.61201,6.81851,1.68894,1.21162,1,541,471,2391386,3167,0.163073
0,2412696,19.4603,1.82797,1.627,7.01273,1.7035,1.33931,1,548,476,2412696,3181,0.165753
0,2508937,19.8819,1.82797,1.6579,7.08625,1.74614,1.33931,1,552,480,2508937,3221,0.167119
1,1,8.9694e-05,inf,7.3141e-05,0,0,0,1,0,0,1,2,0
1,61,0.107181,inf,0.0194393,0.0866832,0.000423832,0,1,4,4,61,40,0.000399198
1,186,0.243833,4.57967,0.054696,0.18225,0.00285904,3.0412e-05,1,7,6,186,109,0.00180158
1,227,0.354955,4.50022,0.056807,0.264059,0.00344802,0.025562,1,12,9,227,122,0.00252606
1,318,0.596032,4.50022,0.067332,0.490842,0.0041775,0.0264008,1,21,16,318,137,0.00405394
1,405,0.702334,4.50022,0.0761193,0.586432,0.00490545,0.0264008,1,23,18,405,150,0.00442349
1,677,0.998996,4.50022,0.0995629,0.820558,0.0085598,0.0273847,1,37,30,677,202,0.00721979
1,746,1.17589,4.50022,0.101834,0.993273,0.00941593,0.0273847,1,41,34,746,212,0.0074115
1,806,1.33952,4.50022,0.105664,1.14687,0.010152,0.0316681,1,50,40,806,221,0.010679
1,858,1.51569,4.34899,0.106206,1.32166,0.0104053,0.0317135,1,55,44,858,224,0.0112972
1,1522,1.6216,4.34899,0.132538,1.38022,0.0191583,0.0317135,1,62,51,1522,308,0.0131442
1,1739,1.80058,3.6891,0.14409,1.52236,0.023685,0.0468772,1,72,59,1739,346,0.0148261
1,3340,1.90773,3.6891,0.177183,1.5496,0.0367472,0.0468772,1,79,66,3340,437,0.0174799
1,5437,2.01562,3.6891,0.222354,1.56758,0.0542729,0.0468772,1,83,70,5437,537,0.019857
1,7080,2.33821,3.6891,0.247183,1.81518,0.0752524,0.0468772,1,108,95,7080,636,0.0218303
