trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,0.0046791,inf,2,1,3
0,17,0.13651,inf,2,17,18
0,38,0.248638,inf,2,38,35
0,47,0.442644,3.78016,2,47,43
0,52,0.634044,3.21487,2,52,43
0,53,0.634053,3.21487,2,53,43
0,55,0.768413,3.21487,2,55,43
0,63,0.942069,3.17131,2,63,43
0,69,1.20872,2.43377,2,69,43
0,70,1.20873,2.43377,2,70,43
0,77,1.35518,2.35301,2,77,43
0,85,1.67891,2.34665,2,85,43
0,86,1.69165,2.34633,2,86,43
0,90,1.8466,1.93649,2,90,43
0,94,2.02174,1.93649,2,94,43
0,100,2.1358,1.84248,2,100,43
0,106,2.23929,1.84248,2,106,43
0,113,2.38375,1.76206,2,113,43
0,116,2.5559,1.74379,2,116,43
0,119,2.6354,1.74379,2,119,43
0,125,2.76414,1.7415,2,125,43
0,138,2.87711,1.7415,2,138,43
0,153,3.04919,1.73877,2,153,9
0,158,3.2306,1.73877,2,158,12
0,167,3.32208,1.73877,2,167,19
0,181,3.42625,1.73877,2,181,31
0,183,3.69832,1.73877,2,183,33
0,186,3.77702,1.73877,2,186,33
0,202,3.91737,1.73824,2,202,33
0,216,4.05258,1.73757,2,216,33
0,238,4.20971,1.73723,2,238,33
0,266,4.32402,1.73705,2,266,33
0,282,4.46569,1.73703,2,282,33
0,291,4.57822,1.73703,2,291,9
0,294,4.72611,1.73703,2,294,12
0,309,4.83591,1.73703,2,309,27
0,325,4.9423,1.73703,2,325,41
0,328,5.08336,1.73703,2,328,44
0,334,5.22437,1.73703,2,334,48
0,337,5.35336,1.73703,2,337,50
0,351,5.54767,1.71046,2,351,54
0,370,5.6437,1.71046,2,370,54
0,380,5.75379,1.70931,2,380,54
0,400,5.88735,1.70779,2,400,54
0,407,6.01618,1.70778,2,407,54
0,422,6.1639,1.70778,2,422,54
0,431,6.34383,1.70778,2,431,54
0,437,6.49462,1.70778,2,437,54
0,450,6.62972,1.70778,2,450,11
0,460,6.78837,1.70778,2,460,21
0,463,6.87993,1.70778,2,463,23
0,469,6.99746,1.70778,2,469,28
0,474,7.11155,1.70778,2,474,33
0,487,7.33921,1.70778,2,487,45
0,493,7.44756,1.70778,2,493,50
0,506,7.74158,1.70778,2,506,60
0,518,7.87684,1.70778,2,518,70
0,530,8.10201,1.70778,2,530,77
0,538,8.21716,1.70778,2,538,85
0,543,8.34154,1.70778,2,543,86
0,548,8.51342,1.70778,2,548,86
0,562,8.70211,1.70778,2,562,86
0,570,8.76859,1.70523,2,570,86
0,594,8.88972,1.70523,2,594,86
0,611,9.0244,1.70335,2,611,86
0,624,9.14571,1.70335,2,624,86
0,637,9.25695,1.70074,2,637,86
0,646,9.3765,1.70074,2,646,9
0,652,9.68753,1.70074,2,652,14
0,657,9.89984,1.70074,2,657,19
0,669,10.1948,1.70074,2,669,29
0,676,10.3173,1.70074,2,676,34
0,716,10.4624,1.70018,2,716,34
0,732,10.5654,1.69999,2,732,34
0,740,10.7062,1.69999,2,740,34
0,771,10.8693,1.69999,2,771,34
0,780,11.1148,1.69999,2,780,6
0,793,11.2373,1.69999,2,793,18
0,806,11.3607,1.69999,2,806,29
0,822,11.4699,1.69999,2,822,38
0,824,11.6577,1.69999,2,824,40
0,843,11.7698,1.69999,2,843,56
0,852,12.0334,1.69999,2,852,65
0,861,12.3017,1.69999,2,861,73
0,871,12.3584,1.69999,2,871,82
0,888,12.479,1.69997,2,888,85
0,908,12.587,1.69997,2,908,85
0,928,12.7744,1.69997,2,928,85
0,947,12.9538,1.69997,2,947,85
0,958,13.0824,1.69997,2,958,85
0,976,13.2015,1.69997,2,976,3
0,1001,13.3289,1.69997,2,1001,23
0,1004,13.6345,1.69997,2,1004,25
0,1018,13.8745,1.69997,2,1018,25
0,1042,13.9847,1.69997,2,1042,25
0,1060,14.1294,1.69997,2,1060,25
0,1073,14.2421,1.69997,2,1073,25
0,1091,14.375,1.69997,2,1091,25
0,1099,14.515,1.69997,2,1099,25
0,1118,14.6382,1.69997,2,1118,16
0,1121,14.7541,1.69997,2,1121,19
0,1127,14.9195,1.69997,2,1127,25
0,1138,15.0994,1.69997,2,1138,35
0,1150,15.2603,1.69997,2,1150,45
0,1165,15.5055,1.69997,2,1165,57
0,1184,15.6423,1.69997,2,1184,71
0,1193,15.8898,1.69997,2,1193,80
0,1203,16.1253,1.69997,2,1203,87
0,1211,16.2773,1.69997,2,1211,87
0,1244,16.4102,1.69997,2,1244,87
0,1263,16.5107,1.69995,2,1263,87
0,1289,16.6434,1.69995,2,1289,87
0,1304,16.8382,1.69995,2,1304,3
0,1317,17.0737,1.69995,2,1317,13
0,1320,17.2147,1.69995,2,1320,13
0,1325,17.4342,1.69995,2,1325,13
0,1336,17.6235,1.69995,2,1336,13
0,1349,17.7529,1.69995,2,1349,13
0,1373,17.9852,1.69992,2,1373,13
0,1395,18.114,1.69992,2,1395,13
0,1399,18.3557,1.69992,2,1399,13
0,1406,18.4335,1.69992,2,1406,13
0,1410,18.5764,1.69992,2,1410,13
0,1431,18.9612,1.69992,2,1431,14
0,1453,19.1531,1.69992,2,1453,33
0,1458,19.4391,1.69992,2,1458,37
0,1475,19.5633,1.69992,2,1475,37
0,1480,19.8906,1.69992,2,1480,37
0,1481,19.8966,1.69992,2,1481,37
1,1,0.00525883,inf,2,1,3
1,16,0.110094,inf,2,16,17
1,35,0.339873,inf,2,35,32
1,45,0.489043,inf,2,45,38
1,54,0.592947,inf,2,54,45
1,66,0.722774,inf,2,66,55
1,77,0.808374,inf,2,77,66
1,90,0.937595,inf,2,90,78
1,97,1.02947,inf,2,97,83
1,103,1.33388,inf,2,103,89
1,105,1.64902,5.61111,2,105,90
1,110,1.78663,5.23697,2,110,90
1,114,1.93118,4.30749,2,114,90
1,116,2.32382,4.20091,2,116,90
1,117,2.33496,4.20091,2,117,90
1,121,2.43805,4.1337,2,121,90
1,129,2.84964,3.38833,2,129,90
1,140,3.15881,3.1178,2,140,90
1,150,3.53319,2.99263,2,150,90
