lazy_prmstar best cost max,lazy_prmstar best cost mean,lazy_prmstar best cost min,lazy_prmstar best cost std,lazy_prmstar configCheckTime,lazy_prmstar connectTime,lazy_prmstar knnTime,lazy_prmstar lazyPathCheckTime,lazy_prmstar numEdgeChecks,lazy_prmstar numEdgesPrechecked,lazy_prmstar numMilestones,lazy_prmstar shortestPathsTime,lazy_prmstar success fraction,lazy_prmstar time,lazy_rrgstar best cost max,lazy_rrgstar best cost mean,lazy_rrgstar best cost min,lazy_rrgstar best cost std,lazy_rrgstar configCheckTime,lazy_rrgstar connectTime,lazy_rrgstar knnTime,lazy_rrgstar lazyPathCheckTime,lazy_rrgstar numEdgeChecks,lazy_rrgstar numEdgesPrechecked,lazy_rrgstar numMilestones,lazy_rrgstar shortestPathsTime,lazy_rrgstar success fraction,lazy_rrgstar time,prmstar best cost max,prmstar best cost mean,prmstar best cost min,prmstar best cost std,prmstar configCheckTime,prmstar connectTime,prmstar knnTime,prmstar numEdgeChecks,prmstar numMilestones,prmstar shortestPathsTime,prmstar success fraction,prmstar time,restart_rrt_shortcut best cost max,restart_rrt_shortcut best cost mean,restart_rrt_shortcut best cost min,restart_rrt_shortcut best cost std,restart_rrt_shortcut numMilestones,restart_rrt_shortcut success fraction,restart_rrt_shortcut time,rrtstar best cost max,rrtstar best cost mean,rrtstar best cost min,rrtstar best cost std,rrtstar configCheckTime,rrtstar connectTime,rrtstar knnTime,rrtstar numEdgeChecks,rrtstar numMilestones,rrtstar shortestPathsTime,rrtstar success fraction,rrtstar time,rrtstar_subopt_0.1 best cost max,rrtstar_subopt_0.1 best cost mean,rrtstar_subopt_0.1 best cost min,rrtstar_subopt_0.1 best cost std,rrtstar_subopt_0.1 configCheckTime,rrtstar_subopt_0.1 connectTime,rrtstar_subopt_0.1 knnTime,rrtstar_subopt_0.1 numEdgeChecks,rrtstar_subopt_0.1 numMilestones,rrtstar_subopt_0.1 shortestPathsTime,rrtstar_subopt_0.1 success fraction,rrtstar_subopt_0.1 time,rrtstar_subopt_0.2 best cost max,rrtstar_subopt_0.2 best cost mean,rrtstar_subopt_0.2 best cost min,rrtstar_subopt_0.2 best cost std,rrtstar_subopt_0.2 configCheckTime,rrtstar_subopt_0.2 connectTime,rrtstar_subopt_0.2 knnTime,rrtstar_subopt_0.2 numEdgeChecks,rrtstar_subopt_0.2 numMilestones,rrtstar_subopt_0.2 shortestPathsTime,rrtstar_subopt_0.2 success fraction,rrtstar_subopt_0.2 time
,,,,0.00047152820000000004,1.9748100000000002e-05,5.0429000000000005e-06,0.0,0.0,0.0,2.2999999999999998,3.4647e-06,0.0,0,,,,,0.00029125439999999999,4.2191000000000003e-05,5.3122999999999999e-06,0.0,0.0,0.0,2.6000000000000001,7.8916000000000008e-06,0.0,0,,,,,0.0001631045,0.014338581,1.2510899999999999e-05,0.69999999999999996,2.7000000000000002,1.694e-06,0.0,0,,,,,2.7999999999999998,0.0,0,,,,,0.00022569740000000002,0.016254579999999998,4.0803999999999999e-06,0.5,2.3999999999999999,5.5817999999999996e-06,0.0,0,,,,,0.0001060159,0.010833631600000001,2.9525899999999998e-05,0.5,2.2999999999999998,5.0043000000000005e-06,0.0,0,,,,,0.00022927749999999999,0.084559257100000007,3.1142300000000002e-05,0.5,2.3999999999999999,7.1216000000000006e-06,0.0,0
,,,,0.0309649469597571,0.062431631975952216,0.0012534511811474081,0.0041828842226504489,4.412717710852843,4.1904482494514204,59.190946895883101,0.00093963794302466108,0.0,0.1,,,,,0.011395363905111647,0.082290980080243159,0.000383195374032743,0.0049979982597787419,2.5434170697933913,2.2651026037823603,24.693769877599326,0.00030826121294828259,0.0,0.1,,,,,0.0010097164734788485,0.098955731155878981,2.5110593620323224e-05,2.2954839820412372,4.0063635952848964,5.1844742563679764e-06,0.0,0.1,,,,,12.345405538833026,0.0,0.1,,,,,0.00076822967728431559,0.099173741865329762,1.7600114920474732e-05,3.0231651640929758,4.1110009585950564,2.3220282584038788e-05,0.0,0.1,,,,,0.0011355524027989727,0.098803815772103662,5.0930979653988006e-05,1.9327544710958402,3.2639914061548816,2.4128986501265551e-05,0.0,0.1,,,,,0.0010408153168521986,0.15322937326567176,5.964390373853517e-05,2.206904041339008,3.6311281722296096,2.5813519990748514e-05,0.0,0.1
inf,3.3027826241692662,3.088877707359603,0.21390491680966317,0.057084281939330996,0.12695412009677118,0.0035082349244921879,0.010855646966616044,6.8560500492173588,6.2945374536772558,109.99254623275795,0.0022739371084133236,0.20000000000000001,0.2,inf,4.3020100000000001,4.30201,0.0,0.019629463799346072,0.16126108091454386,0.00084111731680652281,0.016606757413509685,4.6736232385886955,4.0289460371680237,40.714191236007004,0.00060517967040802625,0.10000000000000001,0.2,,,,,0.0017499710237140135,0.19819762361330479,3.787073031491728e-05,3.7949957746960381,5.2721524293047981,8.6057614411002015e-06,0.0,0.2,inf,2.7971872525426158,2.797187252542616,0.0,18.692838231291798,0.10000000000000001,0.2,,,,,0.0014491171610956817,0.19846331386304386,2.9634127781231296e-05,5.0483973503676882,5.4367265332459862,3.8308924841895876e-05,0.0,0.2,inf,4.0563200000000004,4.05632,0.0,0.0020528169190978359,0.19785507099247149,7.1897086660176898e-05,3.2705935062396572,4.1333308804538937,4.2381862788761191e-05,0.10000000000000001,0.2,,,,,0.0016829285579196876,0.23255082064365462,9.0296893354713302e-05,4.1202809100212034,4.9765835974048249,4.7671390751859483e-05,0.0,0.2
inf,3.0525084309361787,2.86603,0.18992274565891426,0.078584628110667798,0.19004777897250011,0.0060368442171597394,0.02100257630624254,9.5869880086942949,8.5278043842776565,150.18167828250515,0.0036808631522691855,0.29999999999999999,0.30000000000000004,inf,4.4207608610806144,4.30201,0.11875086108061383,0.025711365156993304,0.23908517238729027,0.0012371511724063131,0.031664834574391364,6.5484176197702837,5.4315371595311035,51.903255219791752,0.00087790721678099597,0.20000000000000001,0.30000000000000004,,,,,0.0025937424428819629,0.29733626230187493,5.0650728175732248e-05,5.3552264228849022,6.4856031582721148,1.201787068591837e-05,0.0,0.30000000000000004,inf,2.8872943327910381,2.4111098022412656,0.40665044679667633,23.624468823535103,0.29999999999999999,0.30000000000000004,,,,,0.0022332448823081854,0.29765077333988182,4.0601782145905978e-05,6.7483980006180371,6.4475128831573487,5.1219894092983595e-05,0.0,0.30000000000000004,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0026996094564905892,0.29718373875398052,8.7495801986341027e-05,4.1503776432971886,4.7502261720652346,5.7303524459740661e-05,0.20000000000000001,0.30000000000000004,,,,,0.0022007875767071847,0.31200651014499836,0.00011342941186986886,5.3513740814555915,5.8186079545129834,6.5503333397663074e-05,0.0,0.30000000000000004
inf,3.4886729551017561,2.86603,0.87721503800198608,0.097814497176717086,0.25073467155563212,0.0089839658020458655,0.033808779599089081,12.880101022621721,11.24079112170833,187.53115371218391,0.0052378140917962923,0.40000000000000002,0.4,inf,4.4385086162060992,4.191877043622514,0.18150381419942938,0.032780264920798045,0.31571125261440708,0.0016773707454357436,0.046802008701644318,8.4902792317087279,6.8987243263193934,65.830201883190654,0.001199268083684496,0.29999999999999999,0.4,,,,,0.0034663754900896918,0.39644943692666235,6.0978345080263123e-05,6.484811517753359,7.2954195816624479,1.4870942551731043e-05,0.0,0.4,inf,2.9274784404012992,2.4097914106789715,0.45544115021281228,27.021981973878372,0.5,0.4,,,,,0.0026496836584563302,0.39721677306956582,4.7409844948870372e-05,7.6061687908507611,6.9929998985646673,5.9801361771285799e-05,0.0,0.4,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0032944427544940071,0.39655948864624307,0.0001062194305615212,5.5676602417213026,5.5840434299075863,7.7350125401878819e-05,0.20000000000000001,0.4,,,,,0.002657444847097032,0.39798283974075865,0.00013434394921450044,6.6593195066133131,6.6465244149129727,8.4651734709759733e-05,0.0,0.4
inf,3.6112367155976464,2.86603,0.8460291947703853,0.11804688544570599,0.30884248185773477,0.013087936294035369,0.049116892927166547,15.611616073943846,13.15419238295693,229.68434243754911,0.0072808300759346868,0.5,0.5,inf,4.2150347625139979,3.87536,0.29544904682103662,0.03798393815555566,0.39617817968349561,0.002039936824840318,0.059923633170733528,10.928648087934567,8.7697884627872416,76.541374735378696,0.0015584078743481847,0.5,0.5,,,,,0.0039772876698674535,0.49592275404555214,7.3521267975537014e-05,7.8469742388202759,8.1198659285122368,1.8331862921247981e-05,0.0,0.5,inf,2.9844060146149323,2.3828323204742445,0.52469014247137669,28.519112088627669,0.80000000000000004,0.5,,,,,0.0030437832440752882,0.49680773260051003,5.3353623086535617e-05,8.3548651499008706,7.4367324819101341,6.7391277671967077e-05,0.0,0.5,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0038348295138150913,0.49598424431350169,0.00013135553350264009,6.9122492340917931,6.4458120085646442,9.7221741446494109e-05,0.20000000000000001,0.5,,,,,0.0030830234145945296,0.49673876362378155,0.00015501017101507587,7.8226196364192884,7.4360504288606801,0.00010291416794580032,0.0,0.5
inf,3.5902687694951245,2.86603,0.85420758961084953,0.13835074752818691,0.37119335849012652,0.01792145944581754,0.059194858110115919,17.558790168422821,14.566994325170933,269.77198912430623,0.0090355298066237093,0.5,0.6,inf,4.1543835792097568,3.6204201967160445,0.42357676210596457,0.043861417643733164,0.47545373080412345,0.0025704379631949466,0.072788541098302642,14.759707047286387,11.876358083240437,90.680855387620298,0.0021188041652910332,0.59999999999999998,0.6,,,,,0.0047060672976392045,0.59518131565092003,8.3680211709634075e-05,9.0111130444113279,8.8030432047502938,2.1419395391533194e-05,0.0,0.6,inf,2.7758006757286857,2.2039733112560995,0.46400296155303106,29.414738922171587,0.80000000000000004,0.6,,,,,0.0035435950190204043,0.59628726412084287,6.0161446611201758e-05,9.2938407485107071,7.9283620978799494,7.5750831459369086e-05,0.0,0.6,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0043906367293767984,0.59538368925742446,0.00016230448923045974,8.5461021918608324,7.406178763342437,0.00011987211560381764,0.20000000000000001,0.6,,,,,0.0034977764279369048,0.59630245471102461,0.00017346369684697775,9.0859580518839884,8.0613936383095357,0.00012285508386636608,0.0,0.6
inf,3.555018564401017,2.7316396395781473,0.87669315633320477,0.15713528931757992,0.43820666583926826,0.023537668855335113,0.066058858983763166,18.899196911690055,15.5780768567857,307.08202405168697,0.010658828948893506,0.5,0.7,inf,4.2642392328644805,3.1146495309379265,0.78635196445863387,0.052850089339360071,0.55208575864838383,0.0035848379911357794,0.082456841484266866,19.22271643279683,15.747894295580849,112.51492531747408,0.002820726185614381,0.69999999999999996,0.7,,,,,0.0055336412672943435,0.69434061722554752,9.3864792302083283e-05,10.298680429666629,9.5047708404360343,2.4693766276312181e-05,0.0,0.7,inf,2.6799361991530519,2.198373355951076,0.39203817623673071,30.400112593350183,0.80000000000000004,0.7,,,,,0.0039048465269552108,0.69590900168858638,6.7341137258187093e-05,10.18834690985792,8.4969192528624227,8.4377882170589096e-05,0.0,0.7,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0049556820480096391,0.69475897613507143,0.0001939255308846674,10.297435069664736,8.2864265467075864,0.00014391842993258943,0.20000000000000001,0.7,,,,,0.0041472691919826974,0.69563116149533843,0.00019210375795484583,10.315580899234538,8.6629459715559669,0.00014270366392373228,0.0,0.7
inf,3.5296135969292579,2.62181,0.89274912156081709,0.18279170866346398,0.49426691127647315,0.032156788350450417,0.072377732256252297,20.485396281463515,16.890180117015063,360.36965149249647,0.012992115865815345,0.5,0.7999999999999999,inf,4.1233808859941901,2.78898,0.77021062896661707,0.068056478021327776,0.62167240896650577,0.0053548096927840995,0.08801105226718331,23.67466484676293,19.660273930479889,142.16190268866822,0.0037400856751334025,0.80000000000000004,0.7999999999999999,,,,,0.006192607586066462,0.79366729489734478,0.0001055875307009023,11.946059829344208,10.323685388715912,2.8008452164499402e-05,0.0,0.7999999999999999,inf,2.5883518978737921,1.9967904327766122,0.40049607170658291,32.145448997796436,0.80000000000000004,0.7999999999999999,,,,,0.0043951922163046418,0.79539005424723375,7.6365814855681213e-05,11.528926264958868,9.2684260600055062,9.4216263879799353e-05,0.0,0.7999999999999999,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0053803559648066103,0.79428149499893341,0.00022457935610239481,12.162273271050992,9.2330887999482734,0.0001706966969299288,0.20000000000000001,0.7999999999999999,inf,4.3754299999999997,4.37543,0.0,0.0047492027307925481,0.79500020881924427,0.00021430044107955854,11.365202340667313,9.2565311098450884,0.00015839984377371169,0.10000000000000001,0.7999999999999999
inf,3.5246394618379027,2.62181,0.88819115172392704,0.21165002544964628,0.54084202804502557,0.042606541537495678,0.081285438714158401,22.118433324364705,18.270668690816329,419.09151418689396,0.015743552873297321,0.5,0.8999999999999999,inf,3.933505028901358,2.78898,0.6908771775837278,0.078620113624913404,0.69494942284085615,0.0070250593032829076,0.098633096853323374,27.253305941634391,22.615345346808482,163.56415247885909,0.004554732795119875,0.80000000000000004,0.8999999999999999,,,,,0.006827080623478571,0.89301839823600226,0.0001171183048469745,13.536080382310805,11.181650351283505,3.1605119156512565e-05,0.0,0.8999999999999999,inf,2.535874696137522,1.9085860552293863,0.40961811080624039,33.958264657520495,0.80000000000000004,0.8999999999999999,inf,3.4142700000000001,3.41427,0.0,0.0050162280689175671,0.89473927201747827,8.6286497126066963e-05,12.865360228176872,10.013021607967611,0.00010469752308157113,0.10000000000000001,0.8999999999999999,inf,4.1690750000000003,4.05632,0.11275499999999994,0.0057967258271782399,0.89381169703759134,0.00026108411657354018,14.355256006227711,10.305775170621716,0.00019883240549568764,0.20000000000000001,0.8999999999999999,inf,4.3754299999999997,4.37543,0.0,0.0051551712448815136,0.89454320459857828,0.00023921709987325632,12.449677887216648,9.8969839911189315,0.00017294996968576296,0.10000000000000001,0.8999999999999999
