Iter,planTime,expl_limit,path_cover_size,path_length
0,0,0,3,0.726735
100,0.00165685,0,3,0.726735
200,0.00420217,0,3,0.726735
300,0.00858912,0,3,0.726735
400,0.0138337,0,3,0.726735
500,0.0190048,1,3,0.726735
600,0.0270546,1,3,0.726735
700,0.0367586,1,3,0.726735
800,0.0481494,1,3,0.726735
900,0.0633328,1,3,0.726735
1000,0.0785235,2,3,0.726735
1100,0.0979538,2,3,0.726735
1200,0.119124,2,3,0.726735
1300,0.142093,2,3,0.726735
1400,0.168793,2,3,0.726735
1500,0.197199,2,3,0.726735
1600,0.225586,2,3,0.726735
1700,0.258356,2,3,0.726735
1800,0.294959,2,3,0.726735
1900,0.340574,2,3,0.726735
2000,0.387181,2,3,0.726735
2100,0.441542,2,3,0.726735
2200,0.500165,2,3,0.726735
2300,0.563751,2,3,0.726735
2400,0.63154,2,3,0.726735
2500,0.70893,2,3,0.726735
2600,0.793639,2,3,0.726735
2700,0.886734,2,3,0.726735
2800,0.992438,2,3,0.726735
2900,1.1122,2,3,0.726735
3000,1.2364,2,3,0.726735
3100,1.36029,2,3,0.726735
3200,1.4863,2,3,0.726735
3300,1.62045,2,3,0.726735
3400,1.75306,2,3,0.726735
3500,1.88822,2,3,0.726735
3600,2.03587,2,3,0.726735
3700,2.19067,2,3,0.726735
3800,2.35123,2,3,0.726735
3900,2.52598,2,3,0.726735
4000,2.70909,2,3,0.726735
4100,2.90701,2,3,0.726735
4200,3.10455,2,3,0.726735
4300,3.30235,2,3,0.726735
4400,3.51243,2,3,0.726735
4500,3.72735,2,3,0.726735
4600,3.95349,2,3,0.726735
4700,4.19166,2,3,0.726735
4800,4.44103,2,3,0.726735
4900,4.70933,2,3,0.726735
5000,4.98878,2,3,0.726735
5100,5.27149,2,3,0.726735
5200,5.59309,2,3,0.726735
5300,5.89946,2,3,0.726735
5400,6.22236,2,3,0.726735
5500,6.55134,2,3,0.726735
5600,6.88493,2,3,0.726735
5700,7.22487,2,3,0.726735
5800,7.56493,2,3,0.726735
5900,7.92184,2,3,0.726735
6000,8.28702,2,3,0.726735
6100,8.65507,2,3,0.726735
6200,9.03188,2,3,0.726735
6300,9.42193,2,3,0.726735
6400,9.81765,2,3,0.726735
6500,10.2359,2,3,0.726735
6600,10.6553,2,3,0.726735
6700,11.0855,1,2,1.23297
6800,11.5175,1,2,1.23297
6900,11.9571,1,2,1.23297
7000,12.4013,1,2,1.23297
7100,12.8474,1,2,1.23297
7200,13.2961,1,2,1.23297
7300,13.7484,1,2,1.23148
7400,14.2019,1,2,1.23148
7500,14.6656,1,2,1.23148
7600,15.1369,1,2,1.23148
7700,15.6246,1,2,1.23148
7800,16.136,1,2,1.23148
7900,16.6529,1,2,1.23004
8000,17.185,1,2,1.23004
8100,17.7246,1,2,1.23004
8200,18.2664,1,2,1.23004
8300,18.809,1,2,1.23004
8400,19.3615,1,2,1.23004
8500,19.9088,1,2,1.23004
8600,20.4709,1,2,1.23004
8700,21.0294,1,2,1.22782
8800,21.6008,1,2,1.22782
8900,22.1682,1,2,1.22782
9000,22.7339,1,2,1.22782
9100,23.3086,1,2,1.22782
9200,23.8796,1,2,1.22782
9300,24.4722,1,2,1.22782
9400,25.0566,1,2,1.22782
9500,25.6456,1,2,1.22782
9600,26.2458,1,2,1.22782
9700,26.8464,1,2,1.22782
9800,27.4569,1,2,1.22782
9900,28.0784,1,2,1.22782
10000,28.7093,1,2,1.22757
