op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,104,inf,0
e,1,0.000419206,3,104,inf,0
e,2,0.000823785,4,104,inf,0
e,3,0.00141352,5,104,inf,0
e,4,0.00185891,6,104,inf,0
e,5,0.00225964,7,104,inf,0
e,6,0.00266229,8,104,inf,0
e,7,0.00306725,9,104,inf,0
e,8,0.00347299,10,104,inf,0
e,9,0.00387564,11,104,inf,0
e,10,0.00427907,12,104,inf,0
e,11,0.00468095,13,104,inf,0
e,12,0.00508052,14,104,inf,0
e,13,0.00547856,15,104,inf,0
e,14,0.00630696,16,104,inf,0
e,15,0.0070861,17,104,inf,0
e,16,0.00749453,18,104,inf,0
e,17,0.00789756,19,104,inf,0
e,18,0.00831023,20,104,inf,0
e,19,0.00872135,21,104,inf,0
d,19,0.00983461,21,105,inf,0
e,20,0.0102469,22,105,inf,0
e,21,0.0106522,23,105,inf,0
e,22,0.0110607,24,105,inf,0
e,23,0.0114729,25,105,inf,0
e,24,0.0118848,26,105,inf,0
e,25,0.0122929,27,105,inf,0
e,26,0.0127036,28,105,inf,0
e,27,0.0131047,29,105,inf,0
e,28,0.0135089,30,105,inf,0
e,29,0.0139124,31,105,inf,0
e,30,0.0143231,32,105,inf,0
e,31,0.0147319,33,105,inf,0
e,32,0.015133,34,105,inf,0
e,33,0.0155418,35,105,inf,0
e,34,0.015948,36,105,inf,0
e,35,0.0163533,37,105,inf,0
e,36,0.016786,38,105,inf,0
e,37,0.0173241,39,105,inf,0
e,38,0.018206,40,105,inf,0
e,39,0.0186453,41,105,inf,0
d,39,0.0198128,41,106,inf,0
e,40,0.0202644,42,106,inf,0
e,41,0.0207147,43,106,inf,0
e,42,0.0211636,44,106,inf,0
e,43,0.0216005,45,106,inf,0
e,44,0.0220432,46,106,inf,0
e,45,0.0224897,47,106,inf,0
e,46,0.0229278,48,106,inf,0
e,47,0.0233643,49,106,inf,0
e,48,0.0238028,50,106,inf,0
e,49,0.0242539,51,106,inf,0
e,50,0.0246936,52,106,inf,0
e,51,0.0251328,53,106,inf,0
e,52,0.0255728,54,106,inf,0
e,53,0.0264154,55,106,inf,0
e,54,0.0268654,56,106,inf,0
e,55,0.0273131,57,106,inf,0
e,56,0.02776,58,106,inf,0
e,57,0.0282,59,106,inf,0
e,58,0.0298576,60,106,inf,0
e,59,0.0303022,61,106,inf,0
d,59,0.031531,61,107,inf,0
e,60,0.0319791,62,107,inf,0
e,61,0.0325626,63,107,inf,0
e,62,0.0330557,64,107,inf,0
e,63,0.0335077,65,107,inf,0
e,64,0.0339581,66,107,inf,0
e,65,0.0344034,67,107,inf,0
e,66,0.0348573,68,107,inf,0
e,67,0.0352984,69,107,inf,0
e,68,0.0357458,70,107,inf,0
e,69,0.0366088,71,107,inf,0
e,70,0.0370484,72,107,inf,0
e,71,0.0375361,73,107,inf,0
e,72,0.0379854,74,107,inf,0
e,73,0.0384246,75,107,inf,0
e,74,0.0388681,76,107,inf,0
e,75,0.0401268,77,107,inf,0
e,76,0.0405711,78,107,inf,0
e,77,0.0410164,79,107,inf,0
e,78,0.0414672,80,107,inf,0
e,79,0.0419022,81,107,inf,0
