op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,104,inf,0
e,1,0.00075796,3,104,inf,0
e,2,0.00136387,4,104,inf,0
e,3,0.00194899,5,104,inf,0
e,4,0.00257029,6,104,inf,0
e,5,0.00324086,7,104,inf,0
e,6,0.00434566,8,104,inf,0
e,7,0.00539849,9,104,inf,0
e,8,0.00598938,10,104,inf,0
e,9,0.00666304,11,104,inf,0
e,10,0.00732823,12,104,inf,0
e,11,0.00796647,13,104,inf,0
e,12,0.00860009,14,104,inf,0
e,13,0.00921639,15,104,inf,0
e,14,0.00984231,16,104,inf,0
e,15,0.0104544,17,104,inf,0
e,16,0.0110907,18,104,inf,0
e,17,0.0117101,19,104,inf,0
e,18,0.0123248,20,104,inf,0
e,19,0.0129473,21,104,inf,0
d,19,0.0132807,21,104,inf,0
e,20,0.0137326,22,104,inf,0
e,21,0.0143624,23,104,inf,0
e,22,0.0149952,24,104,inf,0
e,23,0.015605,25,104,inf,0
e,24,0.0162332,26,104,inf,0
e,25,0.0168584,27,104,inf,0
e,26,0.0175778,28,104,inf,0
e,27,0.0182095,29,104,inf,0
e,28,0.0187942,30,104,inf,0
e,29,0.0194044,31,104,inf,0
e,30,0.0199849,32,104,inf,0
e,31,0.0205893,33,104,inf,0
e,32,0.0211928,34,104,inf,0
e,33,0.0217807,35,104,inf,0
e,34,0.0223885,36,104,inf,0
e,35,0.022974,37,104,inf,0
e,36,0.0235599,38,104,inf,0
e,37,0.0245577,39,104,inf,0
e,38,0.0251682,40,104,inf,0
e,39,0.0258407,41,104,inf,0
d,39,0.0262037,41,104,inf,0
e,40,0.0266891,42,104,inf,0
e,41,0.0276969,43,104,inf,0
e,42,0.028314,44,104,inf,0
e,43,0.0289033,45,104,inf,0
e,44,0.0295123,46,104,inf,0
e,45,0.030094,47,104,inf,0
e,46,0.0306841,48,104,inf,0
e,47,0.0312896,49,104,inf,0
e,48,0.0318717,50,104,inf,0
e,49,0.0325226,51,104,inf,0
e,50,0.0331855,52,104,inf,0
e,51,0.0338145,53,104,inf,0
e,52,0.034477,54,104,inf,0
e,53,0.0351275,55,104,inf,0
e,54,0.0357592,56,104,inf,0
e,55,0.0363921,57,104,inf,0
e,56,0.0380219,58,104,inf,0
e,57,0.0386436,59,104,inf,0
e,58,0.0393234,60,104,inf,0
e,59,0.0399721,61,104,inf,0
d,59,0.0403339,61,104,inf,0
e,60,0.0407924,62,104,inf,0
e,61,0.0418183,63,104,inf,0
e,62,0.0427129,64,104,inf,0
e,63,0.0433754,65,104,inf,0
e,64,0.0448521,66,104,inf,0
e,65,0.0454922,67,104,inf,0
e,66,0.0461231,68,104,inf,0
e,67,0.0467664,69,104,inf,0
e,68,0.0473461,70,104,inf,0
e,69,0.0479555,71,104,inf,0
e,70,0.0485483,72,104,inf,0
e,71,0.0491592,73,104,inf,0
e,72,0.049754,74,104,inf,0
e,73,0.0503591,75,104,inf,0
e,74,0.0509442,76,104,inf,0
e,75,0.0515297,77,104,inf,0
e,76,0.0521287,78,104,inf,0
e,77,0.0527354,79,104,inf,0
e,78,0.0533382,80,104,inf,0
e,79,0.0539272,81,104,inf,0
d,79,0.0552953,81,105,inf,0
e,80,0.055711,82,105,inf,0
e,81,0.0563385,83,105,inf,0
