op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,7,inf,0
e,1,0.000388026,3,7,inf,0
e,2,0.000591278,4,7,inf,0
e,3,0.000793375,5,7,inf,0
e,4,0.000988928,6,7,inf,0
e,5,0.00118756,7,7,inf,0
e,6,0.00140159,8,7,inf,0
e,7,0.00163833,9,7,inf,0
e,8,0.00185775,10,7,inf,0
e,9,0.00207833,11,7,inf,0
e,10,0.00227388,12,7,inf,0
e,11,0.00249753,13,7,inf,0
e,12,0.00271657,14,7,inf,0
e,13,0.00294446,15,7,inf,0
e,14,0.0031658,16,7,inf,0
e,15,0.00338907,17,7,inf,0
e,16,0.0036312,18,7,inf,0
e,17,0.00385255,19,7,inf,0
e,18,0.00407736,20,7,inf,0
e,19,0.00430255,21,7,inf,0
d,19,0.0052345,21,8,inf,0
e,20,0.00531842,22,8,inf,0
e,21,0.0055671,23,8,inf,0
e,22,0.00579845,24,8,inf,0
e,23,0.00602326,25,8,inf,0
e,24,0.00628541,26,8,inf,0
e,25,0.00671578,27,8,inf,0
e,26,0.00692711,28,8,inf,0
e,27,0.00719157,29,8,inf,0
e,28,0.00741369,30,8,inf,0
e,29,0.00764735,31,8,inf,0
e,30,0.00790603,32,8,inf,0
e,31,0.00813007,33,8,inf,0
e,32,0.00835065,34,8,inf,0
e,33,0.00852464,35,8,inf,0
e,34,0.00869248,36,8,inf,0
e,35,0.00890035,37,8,inf,0
e,36,0.0093288,38,8,inf,0
e,37,0.00954668,39,8,inf,0
e,38,0.00976071,40,8,inf,0
e,39,0.00997474,41,8,inf,0
d,39,0.0108955,41,9,inf,0
e,40,0.010946,42,9,inf,0
e,41,0.011215,43,9,inf,0
e,42,0.0114306,44,9,inf,0
e,43,0.0116462,45,9,inf,0
e,44,0.0118633,46,9,inf,0
e,45,0.0121089,47,9,inf,0
e,46,0.0125978,48,9,inf,0
e,47,0.0127987,49,9,inf,0
e,48,0.013037,50,9,inf,0
e,49,0.0132791,51,9,inf,0
e,50,0.013517,52,9,inf,0
e,51,0.0137568,53,9,inf,0
e,52,0.0139943,54,9,inf,0
e,53,0.0142496,55,9,inf,0
e,54,0.0144848,56,9,inf,0
e,55,0.014797,57,9,inf,0
e,56,0.0150876,58,9,inf,0
e,57,0.015312,59,9,inf,0
e,58,0.0155376,60,9,inf,0
e,59,0.0159137,61,9,inf,0
d,59,0.0171455,61,10,inf,0
e,60,0.0171975,62,10,inf,0
