mean,std
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
1,4.24889,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,4.09686,0
1,3.56776,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
1,2.80535,0
2,3.29678,0.241503
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
2,2.83311,0.000770895
3,3.52167,0.94873
3,3.27674,0.394126
3,3.27674,0.394126
3,3.27674,0.394126
3,3.27674,0.394126
4,3.61187,0.632534
4,3.32353,0.302163
4,3.32353,0.302163
4,3.32353,0.302163
