,No local opt,std,,w/ local opt,std
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,0,,
0,,,1,4.24889,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,4.09686,0
0,,,1,3.56776,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
0,,,1,2.80535,0
