op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,7,inf,0
e,1,0.000346836,3,7,inf,0
e,2,0.000516598,4,7,inf,0
e,3,0.000664802,5,7,inf,0
e,4,0.000815316,6,7,inf,0
e,5,0.00097045,7,7,inf,0
e,6,0.00112019,8,7,inf,0
e,7,0.00127186,9,7,inf,0
e,8,0.00142353,10,7,inf,0
e,9,0.00157366,11,7,inf,0
e,10,0.00172726,12,7,inf,0
e,11,0.00187892,13,7,inf,0
e,12,0.00202867,14,7,inf,0
e,13,0.00218072,15,7,inf,0
e,14,0.00233162,16,7,inf,0
e,15,0.00248868,17,7,inf,0
e,16,0.00263727,18,7,inf,0
e,17,0.0027874,19,7,inf,0
e,18,0.00294446,20,7,inf,0
e,19,0.00313924,21,7,inf,0
d,19,0.00359925,21,7,inf,0
e,20,0.00363389,22,7,inf,0
e,21,0.00379172,23,7,inf,0
e,22,0.00394301,24,7,inf,0
e,23,0.0040966,25,7,inf,0
e,24,0.00424943,26,7,inf,0
e,25,0.00439686,27,7,inf,0
e,26,0.00455199,28,7,inf,0
e,27,0.00470443,29,7,inf,0
e,28,0.00485148,30,7,inf,0
e,29,0.0050478,31,7,inf,0
e,30,0.00520178,32,7,inf,0
e,31,0.00543775,33,7,inf,0
e,32,0.00623844,34,7,inf,0
e,33,0.00640705,35,7,inf,0
e,34,0.00656295,36,7,inf,0
e,35,0.00671693,37,7,inf,0
e,36,0.00689285,38,7,inf,0
e,37,0.00704914,39,7,inf,0
e,38,0.00720812,40,7,inf,0
e,39,0.00736403,41,7,inf,0
d,39,0.00782327,41,7,inf,0
e,40,0.00786061,42,7,inf,0
e,41,0.00801651,43,7,inf,0
e,42,0.00822015,44,7,inf,0
e,43,0.00851887,45,7,inf,0
e,44,0.00885762,46,7,inf,0
e,45,0.00911823,47,7,inf,0
e,46,0.00932302,48,7,inf,0
e,47,0.00953397,49,7,inf,0
e,48,0.00986426,50,7,inf,0
e,49,0.0101595,51,7,inf,0
e,50,0.0103824,52,7,inf,0
e,51,0.010593,53,7,inf,0
e,52,0.0108028,54,7,inf,0
e,53,0.0110195,55,7,inf,0
e,54,0.0112331,56,7,inf,0
e,55,0.0114468,57,7,inf,0
e,56,0.0116989,58,7,inf,0
e,57,0.0119049,59,7,inf,0
e,58,0.0121535,60,7,inf,0
e,59,0.0123984,61,7,inf,0
d,59,0.0130759,61,7,inf,0
e,60,0.0131155,62,7,inf,0
e,61,0.0133245,63,7,inf,0
e,62,0.0135501,64,7,inf,0
e,63,0.0137187,65,7,inf,0
e,64,0.0138792,66,7,inf,0
e,65,0.0140694,67,7,inf,0
e,66,0.0142827,68,7,inf,0
e,67,0.0144963,69,7,inf,0
e,68,0.0148947,70,7,inf,0
e,69,0.0150572,71,7,inf,0
e,70,0.0152801,72,7,inf,0
e,71,0.015446,73,7,inf,0
e,72,0.0156096,74,7,inf,0
e,73,0.0157728,75,7,inf,0
e,74,0.0159352,76,7,inf,0
e,75,0.0161562,77,7,inf,0
e,76,0.016319,78,7,inf,0
e,77,0.016483,79,7,inf,0
