op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,22,inf,0
e,1,0.00292521,3,22,inf,0
e,2,0.00573031,4,22,inf,0
e,3,0.00828097,5,22,inf,0
e,4,0.0108651,6,22,inf,0
e,5,0.0134377,7,22,inf,0
e,6,0.0161512,8,22,inf,0
e,7,0.0190683,9,22,inf,0
e,8,0.0234933,10,22,inf,0
e,9,0.0263846,11,22,inf,0
e,10,0.0289391,12,22,inf,0
e,11,0.0315425,13,22,inf,0
e,12,0.0342479,14,22,inf,0
e,13,0.03708,15,22,inf,0
e,14,0.0397269,16,22,inf,0
e,15,0.0426294,17,22,inf,0
e,16,0.0455684,18,22,inf,0
e,17,0.0481795,19,22,inf,0
e,18,0.050756,20,22,inf,0
e,19,0.0533428,21,22,inf,0
d,19,0.0544884,21,23,inf,0
e,20,0.0570891,22,23,inf,0
e,21,0.0596525,23,23,inf,0
e,22,0.0622058,24,23,inf,0
e,23,0.0622108,24,23,inf,0
e,24,0.0648931,25,23,inf,0
e,25,0.0675312,26,23,inf,0
e,26,0.0700892,27,23,inf,0
e,27,0.0726379,28,23,inf,0
e,28,0.0754041,29,23,inf,0
e,29,0.0782046,30,23,inf,0
e,30,0.0809908,31,23,inf,0
e,31,0.0837705,32,23,inf,0
e,32,0.0837763,32,23,inf,0
e,33,0.0866145,33,23,inf,0
e,34,0.0891733,34,23,inf,0
e,35,0.0926174,35,23,inf,0
e,36,0.0954675,36,23,inf,0
e,37,0.0981333,37,23,inf,0
e,38,0.100697,38,23,inf,0
e,39,0.110708,39,23,inf,0
d,39,0.114349,39,24,inf,0
e,40,0.117163,40,24,inf,0
e,41,0.11973,41,24,inf,0
e,42,0.122296,42,24,inf,0
e,43,0.124888,43,24,inf,0
e,44,0.127559,44,24,inf,0
e,45,0.130115,45,24,inf,0
e,46,0.14791,46,24,inf,0
e,47,0.150495,47,24,inf,0
e,48,0.150504,47,24,inf,0
e,49,0.150512,47,24,inf,0
e,50,0.153084,48,24,inf,0
e,51,0.153092,48,24,inf,0
e,52,0.156633,49,24,inf,0
e,53,0.159346,50,24,inf,0
e,54,0.161947,51,24,inf,0
e,55,0.167928,52,24,inf,0
e,56,0.170753,53,24,inf,0
e,57,0.173345,54,24,inf,0
e,58,0.173355,54,24,inf,0
e,59,0.176105,55,24,inf,0
d,59,0.17764,55,25,inf,0
e,60,0.180238,56,25,inf,0
e,61,0.182853,57,25,inf,0
e,62,0.185664,58,25,inf,0
e,63,0.214738,59,25,inf,0
e,64,0.217309,60,25,inf,0
e,65,0.22001,61,25,inf,0
e,66,0.221362,62,25,inf,0
e,67,0.22137,62,25,inf,0
e,68,0.223948,63,25,inf,0
e,69,0.272243,64,25,inf,0
e,70,0.27226,64,25,inf,0
e,71,0.27227,64,25,inf,0
e,72,0.27536,65,25,inf,0
e,73,0.275373,65,25,inf,0
e,74,0.275381,65,25,inf,0
e,75,0.276726,66,25,inf,0
e,76,0.279292,67,25,inf,0
e,77,0.282017,68,25,inf,0
e,78,0.293462,69,25,inf,0
e,79,0.296193,70,25,inf,0
d,79,0.300276,70,26,inf,0
e,80,0.300288,70,26,inf,0
e,81,0.338133,71,26,inf,0
e,82,0.351823,72,26,inf,0
e,83,0.351834,72,26,inf,0
e,84,0.351843,72,26,inf,0
e,85,0.351849,72,26,inf,0
e,86,0.354779,73,26,inf,0
e,87,0.354793,73,26,inf,0
e,88,0.357723,74,26,inf,0
e,89,0.360679,75,26,inf,0
e,90,0.363402,76,26,inf,0
e,91,0.363412,76,26,inf,0
e,92,0.366277,77,26,inf,0
e,93,0.368982,78,26,inf,0
e,94,0.371795,79,26,inf,0
e,95,0.37456,80,26,inf,0
e,96,0.37457,80,26,inf,0
e,97,0.374579,80,26,inf,0
e,98,0.374588,80,26,inf,0
e,99,0.374598,80,26,inf,0
d,99,0.377978,80,27,inf,0
e,100,0.37799,80,27,inf,0
e,101,0.380699,81,27,inf,0
e,102,0.38071,81,27,inf,0
e,103,0.420737,82,27,inf,0
e,104,0.46754,83,27,inf,0
e,105,0.467557,83,27,inf,0
e,106,0.467567,83,27,inf,0
e,107,0.474951,84,27,inf,0
e,108,0.476015,84,27,inf,0
e,109,0.476025,84,27,inf,0
