op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,22,inf,0
e,1,0.00282551,3,22,inf,0
e,2,0.00561637,4,22,inf,0
e,3,0.00838722,5,22,inf,0
e,4,0.0110118,6,22,inf,0
e,5,0.0138331,7,22,inf,0
e,6,0.0166409,8,22,inf,0
e,7,0.0194102,9,22,inf,0
e,8,0.0222126,10,22,inf,0
e,9,0.0250246,11,22,inf,0
e,10,0.0278721,12,22,inf,0
e,11,0.0312246,13,22,inf,0
e,12,0.033828,14,22,inf,0
e,13,0.0365049,15,22,inf,0
e,14,0.0392884,16,22,inf,0
e,15,0.0420912,17,22,inf,0
e,16,0.0451069,18,22,inf,0
e,17,0.0479355,19,22,inf,0
e,18,0.0507286,20,22,inf,0
e,19,0.0535107,21,22,inf,0
d,19,0.054132,21,23,inf,0
e,20,0.0569197,22,23,inf,0
e,21,0.060034,23,23,inf,0
e,22,0.0628283,24,23,inf,0
e,23,0.0656165,25,23,inf,0
e,24,0.0684227,26,23,inf,0
e,25,0.0712013,27,23,inf,0
e,26,0.0739852,28,23,inf,0
e,27,0.076937,29,23,inf,0
e,28,0.0797186,30,23,inf,0
e,29,0.0825095,31,23,inf,0
e,30,0.085514,32,23,inf,0
e,31,0.0896922,33,23,inf,0
e,32,0.092386,34,23,inf,0
e,33,0.094954,35,23,inf,0
e,34,0.0975335,36,23,inf,0
e,35,0.100143,37,23,inf,0
e,36,0.102842,38,23,inf,0
e,37,0.102849,38,23,inf,0
e,38,0.10546,39,23,inf,0
e,39,0.109635,40,23,inf,0
d,39,0.111103,40,24,inf,0
e,40,0.111112,40,24,inf,0
e,41,0.111119,40,24,inf,0
e,42,0.111126,40,24,inf,0
e,43,0.116076,41,24,inf,0
e,44,0.118671,42,24,inf,0
e,45,0.121316,43,24,inf,0
e,46,0.124477,44,24,inf,0
e,47,0.124489,44,24,inf,0
e,48,0.127746,45,24,inf,0
e,49,0.130761,46,24,inf,0
e,50,0.133784,47,24,inf,0
e,51,0.133793,47,24,inf,0
e,52,0.140782,48,24,inf,0
e,53,0.146782,49,24,inf,0
e,54,0.146793,49,24,inf,0
e,55,0.149429,50,24,inf,0
e,56,0.152097,51,24,inf,0
e,57,0.155016,52,24,inf,0
e,58,0.155025,52,24,inf,0
e,59,0.155033,52,24,inf,0
d,59,0.156251,52,25,inf,0
e,60,0.156262,52,25,inf,0
e,61,0.156269,52,25,inf,0
e,62,0.159194,53,25,inf,0
e,63,0.159816,53,25,inf,0
e,64,0.162628,54,25,inf,0
e,65,0.162637,54,25,inf,0
e,66,0.165489,55,25,inf,0
e,67,0.16612,55,25,inf,0
e,68,0.169027,56,25,inf,0
e,69,0.172028,57,25,inf,0
e,70,0.17205,57,25,inf,0
e,71,0.172712,57,25,inf,0
e,72,0.172722,57,25,inf,0
e,73,0.175681,58,25,inf,0
e,74,0.178494,59,25,inf,0
e,75,0.181489,60,25,inf,0
e,76,0.184499,61,25,inf,0
e,77,0.18451,61,25,inf,0
e,78,0.184518,61,25,inf,0
e,79,0.184526,61,25,inf,0
d,79,0.193071,61,26,inf,0
e,80,0.193095,61,26,inf,0
e,81,0.20239,62,26,inf,0
e,82,0.20356,62,26,inf,0
e,83,0.20357,62,26,inf,0
e,84,0.203579,62,26,inf,0
e,85,0.204207,62,26,inf,0
e,86,0.204212,62,26,inf,0
e,87,0.204221,62,26,inf,0
e,88,0.20537,62,26,inf,0
e,89,0.206526,62,26,inf,0
e,90,0.206535,62,26,inf,0
e,91,0.206545,62,26,inf,0
e,92,0.207168,62,26,inf,0
e,93,0.208315,62,26,inf,0
e,94,0.208326,62,26,inf,0
e,95,0.211125,63,26,inf,0
e,96,0.211132,63,26,inf,0
e,97,0.213929,64,26,inf,0
e,98,0.213938,64,26,inf,0
e,99,0.213947,64,26,inf,0
d,99,0.215773,64,27,inf,0
e,100,0.215783,64,27,inf,0
e,101,0.215792,64,27,inf,0
e,102,0.216874,64,27,inf,0
e,103,0.216885,64,27,inf,0
e,104,0.217564,64,27,inf,0
e,105,0.217577,64,27,inf,0
e,106,0.218209,64,27,inf,0
e,107,0.232687,65,27,inf,0
e,108,0.23378,65,27,inf,0
e,109,0.23379,65,27,inf,0
e,110,0.240915,66,27,inf,0
e,111,0.243944,67,27,inf,0
e,112,0.246924,68,27,inf,0
e,113,0.248126,68,27,inf,0
e,114,0.251108,69,27,inf,0
e,115,0.251799,69,27,inf,0
e,116,0.254617,70,27,inf,0
e,117,0.257237,71,27,inf,0
e,118,0.260009,72,27,inf,0
e,119,0.300723,73,27,inf,0
d,119,0.302049,73,28,inf,0
e,120,0.303246,73,28,inf,0
e,121,0.304482,73,28,inf,0
e,122,0.305269,73,28,inf,0
e,123,0.306474,73,28,inf,0
e,124,0.307125,73,28,inf,0
e,125,0.307135,73,28,inf,0
e,126,0.307145,73,28,inf,0
e,127,0.335939,74,28,inf,0
e,128,0.336693,74,28,inf,0
e,129,0.336702,74,28,inf,0
e,130,0.336711,74,28,inf,0
e,131,0.343939,75,28,inf,0
e,132,0.352604,76,28,inf,0
e,133,0.362876,77,28,inf,0
e,134,0.364484,77,28,inf,0
e,135,0.377893,78,28,inf,0
e,136,0.384428,79,28,inf,0
e,137,0.387433,80,28,inf,0
e,138,0.388625,80,28,inf,0
e,139,0.389828,80,28,inf,0
d,139,0.392594,80,29,inf,0
e,140,0.423614,81,29,inf,0
e,141,0.423638,81,29,inf,0
e,142,0.424734,81,29,inf,0
e,143,0.429607,82,29,inf,0
e,144,0.434023,83,29,inf,0
e,145,0.434724,83,29,inf,0
e,146,0.435801,83,29,inf,0
e,147,0.441051,84,29,inf,0
e,148,0.441062,84,29,inf,0
e,149,0.441068,84,29,inf,0
e,150,0.442123,84,29,inf,0
e,151,0.442821,84,29,inf,0
e,152,0.443887,84,29,inf,0
e,153,0.443898,84,29,inf,0
e,154,0.444621,84,29,inf,0
e,155,0.444628,84,29,inf,0
e,156,0.445705,84,29,inf,0
e,157,0.445717,84,29,inf,0
e,158,0.465598,85,29,inf,0
e,159,0.486377,86,29,inf,0
d,159,0.506909,86,30,inf,0
e,160,0.520842,87,30,inf,0
e,161,0.529943,88,30,inf,0
e,162,0.529961,88,30,inf,0
e,163,0.52997,88,30,inf,0
e,164,0.531254,88,30,inf,0
e,165,0.531269,88,30,inf,0
e,166,0.532686,88,30,inf,0
e,167,0.532699,88,30,inf,0
e,168,0.541872,89,30,inf,0
e,169,0.542811,89,30,inf,0
