op,#iters,time,#nodes,#displacements,solution cost,path length
n,0,0,2,7,inf,0
e,1,5.3507e-05,3,7,inf,0
e,2,9.3542e-05,4,7,inf,0
e,3,0.000164757,5,7,inf,0
e,4,0.000204791,6,7,inf,0
e,5,0.000277546,7,7,inf,0
e,6,0.000378402,8,7,inf,0
e,7,0.000422286,9,7,inf,0
e,8,0.000460011,10,7,inf,0
e,9,0.000500815,11,7,inf,0
e,10,0.000542389,12,7,inf,0
e,11,0.000609755,13,7,inf,0
e,12,0.00068097,14,7,inf,0
e,13,0.000807233,15,7,inf,0
e,14,0.000904624,16,7,inf,0
e,15,0.000948893,17,7,inf,0
e,16,0.00101356,18,7,inf,0
e,17,0.00102126,18,7,inf,0
e,18,0.0011329,19,7,inf,0
e,19,0.00117755,20,7,inf,0
d,19,0.00323817,20,8,inf,0
e,20,0.00327705,21,8,inf,0
e,21,0.00331323,22,8,inf,0
e,22,0.00334711,23,8,inf,0
e,23,0.00350532,24,8,inf,0
e,24,0.00351187,24,8,inf,0
e,25,0.00356691,25,8,inf,0
e,26,0.0035954,26,8,inf,0
e,27,0.00372782,27,8,inf,0
e,28,0.00376593,28,8,inf,0
e,29,0.00379904,29,8,inf,0
e,30,0.00385601,30,8,inf,0
e,31,0.00390836,31,8,inf,0
e,32,0.00399806,32,8,inf,0
e,33,0.00403655,33,8,inf,0
e,34,0.00407235,34,8,inf,0
e,35,0.00412932,35,8,inf,0
e,36,0.00416435,36,8,inf,0
e,37,0.00417128,36,8,inf,0
e,38,0.00427406,37,8,inf,0
e,39,0.00437453,38,8,inf,0
d,39,0.00618224,38,9,inf,0
e,40,0.00619379,38,9,inf,0
e,41,0.00624306,39,9,inf,0
e,42,0.00646017,40,9,inf,0
e,43,0.00656911,41,9,inf,0
e,44,0.00666766,42,9,inf,0
e,45,0.00679046,43,9,inf,0
e,46,0.00712883,44,9,inf,0
e,47,0.0074695,45,9,inf,0
e,48,0.00752494,46,9,inf,0
e,49,0.0075334,46,9,inf,0
e,50,0.00757536,47,9,inf,0
e,51,0.00780903,48,9,inf,0
e,52,0.00785483,49,9,inf,0
e,53,0.00791412,50,9,inf,0
e,54,0.00796878,51,9,inf,0
e,55,0.00801805,52,9,inf,0
e,56,0.0082009,53,9,inf,0
e,57,0.00821206,53,9,inf,0
e,58,0.00826981,54,9,inf,0
e,59,0.00835527,55,9,inf,0
d,59,0.0103077,55,10,inf,0
e,60,0.0104598,56,10,inf,0
e,61,0.0106549,57,10,inf,0
e,62,0.0107978,58,10,inf,0
e,63,0.0109925,59,10,inf,0
e,64,0.0111442,60,10,inf,0
e,65,0.0113455,61,10,inf,0
e,66,0.0114475,62,10,inf,0
e,67,0.0115203,63,10,inf,0
e,68,0.0117247,64,10,inf,0
e,69,0.0119164,65,10,inf,0
e,70,0.0120869,66,10,inf,0
e,71,0.0123483,67,10,inf,0
e,72,0.0123556,67,10,inf,0
e,73,0.0126278,68,10,inf,0
e,74,0.0129981,69,10,inf,0
e,75,0.0131017,70,10,inf,0
e,76,0.0132533,71,10,inf,0
e,77,0.013261,71,10,inf,0
e,78,0.0134778,72,10,inf,0
e,79,0.0134858,72,10,inf,0
d,79,0.0158317,72,11,inf,0
e,80,0.0161181,73,11,inf,0
e,81,0.0161266,73,11,inf,0
e,82,0.0161343,73,11,inf,0
e,83,0.0164626,74,11,inf,0
e,84,0.0164722,74,11,inf,0
e,85,0.0166801,75,11,inf,0
e,86,0.0170077,76,11,inf,0
e,87,0.0172217,77,11,inf,0
e,88,0.0174019,78,11,inf,0
e,89,0.0177141,79,11,inf,0
e,90,0.0178788,80,11,inf,0
e,91,0.0179216,81,11,inf,0
e,92,0.0181768,82,11,inf,0
e,93,0.0182361,83,11,inf,0
e,94,0.0186356,84,11,inf,0
e,95,0.0186676,85,11,inf,0
e,96,0.0187173,86,11,inf,0
e,97,0.018825,87,11,inf,0
e,98,0.0189802,88,11,inf,0
e,99,0.0190371,89,11,inf,0
d,99,0.0208479,89,12,inf,0
e,100,0.0213106,90,12,inf,0
e,101,0.0215489,91,12,inf,0
e,102,0.0215593,91,12,inf,0
e,103,0.0218257,92,12,inf,0
e,104,0.0218346,92,12,inf,0
e,105,0.0218869,93,12,inf,0
e,106,0.0218954,93,12,inf,0
e,107,0.0219697,94,12,inf,0
e,108,0.0220236,95,12,inf,0
e,109,0.0221833,96,12,inf,0
e,110,0.0221926,96,12,inf,0
e,111,0.0225971,97,12,inf,0
e,112,0.0227322,98,12,inf,0
