Iter,planTime,expl_limit,path_cover_size,path_length
0,0,0,3,0.697912
100,0.0444499,0,3,0.697912
200,0.074632,0,3,0.697912
300,0.0834235,0,3,0.697912
400,0.0929884,0,3,0.697912
500,0.101722,1,3,0.697912
600,0.25474,1,3,0.697912
700,0.421616,1,3,0.697912
800,0.551709,1,3,0.697912
900,0.668479,1,3,0.697912
1000,0.835384,2,3,0.697912
1100,1.06002,2,3,0.697912
1200,1.40455,2,3,0.697912
1300,1.61164,1,2,1.99263
1400,1.75516,1,2,1.99263
1500,1.90597,1,2,1.99263
1600,2.04722,1,2,1.99263
1700,2.18716,1,2,1.99263
1800,2.4046,1,2,1.99263
1900,2.60072,1,2,1.99263
2000,2.86344,1,2,1.99263
2100,3.02223,1,2,1.99263
2200,3.1469,1,2,1.99263
2300,3.30989,1,2,1.99263
2400,3.47443,1,2,1.99263
2500,3.68073,1,2,1.99263
