Iter,planTime,expl_limit,path_cover_size,path_length
0,0,0,100,0.85249
100,0.785049,0,100,0.85249
200,1.87918,0,100,0.85249
300,2.56787,0,100,0.85249
400,3.71305,0,100,0.85249
500,4.08573,6,100,0.85249
600,4.83837,6,100,0.85249
700,5.46066,6,100,0.85249
800,6.43663,6,100,0.85249
900,7.27883,6,100,0.85249
1000,7.76527,12,100,0.85249
1100,8.48827,12,100,0.85249
1200,9.22521,12,100,0.85249
1300,10.2002,12,100,0.85249
1400,10.4779,12,100,0.85249
1500,10.9088,18,100,0.85249
1600,12.6402,18,100,0.85249
1700,13.2296,18,100,0.85249
1800,13.5545,18,100,0.85249
1900,14.3748,18,100,0.85249
2000,15.2023,25,100,0.85249
2100,15.8834,25,100,0.85249
2200,16.6528,25,100,0.85249
2300,17.2055,25,100,0.85249
2400,18.0643,25,100,0.85249
2500,20.12,32,100,0.85249
2600,22.9704,21,22,3.83293
2700,23.4037,19,20,3.81905
2800,24.2101,18,19,3.77802
2900,24.9595,17,18,3.96073
3000,25.7489,17,18,3.96073
3100,25.9263,17,18,3.96073
3200,26.2692,17,18,3.96073
3300,26.517,17,18,3.96073
3400,27.0235,17,18,3.96073
3500,27.7769,17,18,3.96073
3600,28.1485,17,18,3.96073
3700,28.7523,17,18,3.96073
3800,29.0113,17,18,3.96073
3900,29.3088,17,18,3.96073
4000,29.6739,17,18,3.96073
4100,30.0985,17,18,3.96073
4200,30.7255,17,18,3.96073
4300,31.0264,17,18,3.96073
4400,32.0393,16,17,3.55703
4500,32.4241,16,17,3.55703
4600,32.664,16,17,3.55703
4700,33.2318,16,17,3.55703
4800,33.5238,16,17,3.55703
4900,33.8342,16,17,3.55703
5000,34.5032,14,15,3.91171
5100,34.8598,14,15,3.91171
5200,35.1418,14,15,3.91171
5300,35.5112,14,15,3.91171
5400,36.037,14,15,3.91171
5500,37.6126,14,15,3.91171
5600,39.4926,14,15,3.91171
5700,42.576,13,14,3.93184
5800,44.3397,13,14,3.93184
5900,47.3655,13,14,3.93184
6000,48.9643,13,14,3.93184
6100,51.4397,13,14,3.93184
6200,53.6859,13,14,3.93184
6300,55.1074,13,14,3.93184
6400,57.7324,13,14,3.93184
6500,59.0767,13,14,3.93184
6600,60.1207,13,14,3.93184
6700,63.2102,13,14,3.93184
6800,67.0009,13,14,3.93184
6900,68.5532,12,13,4.0301
7000,68.9998,12,13,4.0301
7100,70.7626,12,13,4.0301
7200,72.4137,12,13,4.0301
7300,73.2438,12,13,4.0301
7400,74.8162,12,13,4.0301
7500,76.046,12,13,4.0301
7600,79.0441,12,13,4.0301
7700,80.5017,12,13,4.0301
7800,81.7946,12,13,4.0301
7900,81.958,12,13,4.0301
8000,83.51,12,13,4.0301
8100,85.4725,12,13,4.0301
8200,87.9328,12,13,4.0301
8300,89.3182,12,13,4.0301
8400,90.8058,12,13,4.0301
8500,91.206,12,13,4.0301
8600,91.948,12,13,4.0301
8700,92.2187,12,13,4.0301
8800,92.9495,12,13,4.0301
8900,94.0519,12,13,4.0301
9000,94.2358,12,13,4.0301
9100,95.4653,10,11,11.363
9200,96.5433,10,11,11.363
9300,97.4987,7,8,11.2579
9400,98.265,6,7,11.2351
9500,98.4313,6,7,11.2351
9600,98.9263,6,7,11.2351
9700,99.4416,6,7,11.2351
9800,99.9309,3,4,11.3058
9900,100.276,3,4,11.3058
10000,100.575,0,4,11.3058
