s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.0929967024147089,0,2.0929967024147089
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.8305731634591793,85,2.9307895711612346
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,3.092169692763072,46,2.5599049792993003
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.7086478289130929,54,3.0979157154333281
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,7.4281875267315343,2,2.2178085536751051
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.8138622847961416,42,3.3249058531278175
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.8956840375062898,80,3.0630144519578133
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,14.245062270439123,2,3.0734019047287262
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.2814075692110891,3,2.2495131283629797
0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.6180807078430339,24,2.2611528318881078
