s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost,subopt_score,goal_dist_sq,goalcost_dist,effortcost_dist,ubound_dist,timecost_dist
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.092996702,0,2.092996702,0,0,0,0,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.830573163,85,2.930789571,0.307010643,0.934840894,18.24515729,0.022324391,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,3.092169693,46,2.559904979,0.207923622,0.469851985,11.87498193,0.588217102,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.708647829,54,3.097915715,0.197142908,1.197881554,4.93907361,0.396291135,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,7.428187527,2,2.217808554,2.349336675,0.440800374,33.23194697,0.545926591,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.813862285,42,3.324905853,0.14705873,1.327755842,14.2125341,0.225866388,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.895684038,80,3.063014452,0.271846444,0.986276452,4.15562756,0.15591372,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,14.24506227,2,3.073401905,3.634949385,0.620406941,25.86337971,0.00084216,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.281407569,3,2.249513128,0.014178375,0.234139064,44.15177536,0.016246879,0,0
0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.618080708,24,2.261152832,0.157852168,0.47588688,14.5034314,0.234217627,0,0
1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.497218402,23,2.092996702,0.193130596,0.934840894,18.24515729,0.022324391,0,0
1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,2.930789571,0,2.930789571,0,0,0,0,0,0
1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.634040419,4,2.559904979,0.028960231,0.142347423,6.37017536,0.565892711,0,0
1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.417706331,24,3.097915715,0.103227668,1.744179445,13.30608368,0.373966744,0,0
