global motion_planning_9000_1000 beginning 2014-09-12 12:40:46.486064
99 full at 2014-09-12 12:41:30.780597
98 full at 2014-09-12 12:42:41.560646
97 full at 2014-09-12 12:43:55.610881
96 full at 2014-09-12 12:44:58.557481
95 full at 2014-09-12 12:46:10.175578
94 full at 2014-09-12 12:47:21.438654
93 full at 2014-09-12 12:48:21.134068
92 full at 2014-09-12 12:49:25.443746
91 full at 2014-09-12 12:50:30.692478
90 full at 2014-09-12 12:51:16.424094
89 full at 2014-09-12 12:52:07.853036
88 full at 2014-09-12 12:53:03.646227
87 full at 2014-09-12 12:53:49.228834
86 full at 2014-09-12 12:54:40.645775
85 full at 2014-09-12 12:55:40.448195
84 full at 2014-09-12 12:56:29.512002
83 full at 2014-09-12 12:57:29.512433
82 full at 2014-09-12 12:58:33.738107
81 full at 2014-09-12 12:59:23.234938
80 full at 2014-09-12 13:00:27.161594
79 full at 2014-09-12 13:01:31.133253
78 full at 2014-09-12 13:02:24.032279
77 full at 2014-09-12 13:03:25.429791
76 full at 2014-09-12 13:04:32.767642
75 full at 2014-09-12 13:05:25.400653
74 full at 2014-09-12 13:06:30.927401
73 full at 2014-09-12 13:07:34.728050
72 full at 2014-09-12 13:08:31.322287
71 full at 2014-09-12 13:09:38.139109
70 full at 2014-09-12 13:10:38.079537
69 full at 2014-09-12 13:11:43.930303
68 full at 2014-09-12 13:12:46.193865
67 full at 2014-09-12 13:13:50.096520
66 full at 2014-09-12 13:14:47.516804
65 full at 2014-09-12 13:15:51.206447
64 full at 2014-09-12 13:16:49.854801
63 full at 2014-09-12 13:17:57.324660
62 full at 2014-09-12 13:18:51.740773
61 full at 2014-09-12 13:19:59.372641
60 full at 2014-09-12 13:20:58.494023
59 full at 2014-09-12 13:22:06.704924
58 full at 2014-09-12 13:23:04.517231
57 full at 2014-09-12 13:24:15.173272
56 full at 2014-09-12 13:25:17.440834
55 full at 2014-09-12 13:26:26.412778
54 full at 2014-09-12 13:27:28.494329
53 full at 2014-09-12 13:28:35.420157
52 full at 2014-09-12 13:29:37.578713
51 full at 2014-09-12 13:30:45.377590
50 full at 2014-09-12 13:31:49.943283
49 full at 2014-09-12 13:32:59.561265
48 full at 2014-09-12 13:34:10.631330
47 full at 2014-09-12 13:35:19.585274
46 full at 2014-09-12 13:36:28.014188
45 full at 2014-09-12 13:37:38.457217
44 full at 2014-09-12 13:38:53.475508
43 full at 2014-09-12 13:40:03.761528
42 full at 2014-09-12 13:41:16.773704
41 full at 2014-09-12 13:42:37.294310
40 full at 2014-09-12 13:43:49.792456
39 full at 2014-09-12 13:44:57.923353
38 full at 2014-09-12 13:45:53.983560
37 full at 2014-09-12 13:46:50.102770
36 full at 2014-09-12 13:47:45.803955
35 full at 2014-09-12 13:48:42.038172
34 full at 2014-09-12 13:49:39.207442
33 full at 2014-09-12 13:50:36.636727
32 full at 2014-09-12 13:51:34.291024
31 full at 2014-09-12 13:52:29.690193
30 full at 2014-09-12 13:53:25.083361
29 full at 2014-09-12 13:54:20.382524
28 full at 2014-09-12 13:55:15.677687
27 full at 2014-09-12 13:56:11.093856
26 full at 2014-09-12 13:57:06.468024
25 full at 2014-09-12 13:58:02.057203
24 full at 2014-09-12 13:58:57.692385
23 full at 2014-09-12 13:59:53.479576
22 full at 2014-09-12 14:00:49.216764
21 full at 2014-09-12 14:01:45.012955
20 full at 2014-09-12 14:02:40.439126
19 full at 2014-09-12 14:03:35.408270
18 full at 2014-09-12 14:04:30.629428
17 full at 2014-09-12 14:05:25.827585
16 full at 2014-09-12 14:06:21.157750
15 full at 2014-09-12 14:07:16.387909
14 full at 2014-09-12 14:08:11.554064
13 full at 2014-09-12 14:09:06.823226
12 full at 2014-09-12 14:10:01.975380
11 full at 2014-09-12 14:10:57.194538
10 full at 2014-09-12 14:11:52.363694
9 full at 2014-09-12 14:12:47.557851
8 full at 2014-09-12 14:13:42.796010
7 full at 2014-09-12 14:14:37.957165
6 full at 2014-09-12 14:15:33.178324
5 full at 2014-09-12 14:16:28.353480
4 full at 2014-09-12 14:17:23.474632
3 full at 2014-09-12 14:18:17.812740
2 full at 2014-09-12 14:19:12.521870
1 full at 2014-09-12 14:20:07.706026
0 full at 2014-09-12 14:21:02.833179
