trial,target r,target y,target x,iteration,time,widget x,widget y
0,38,144,205,0,0.0,265.315999985,304.315999985
0,38,144,205,1,0.05,264.784084314,295.273433582
0,38,144,205,2,0.1,262.380480388,281.122337276
0,38,144,205,3,0.15,245.445003315,216.606196334
0,38,144,205,4,0.2,229.122412696,168.606230174
0,38,144,205,5,0.25,212.315999985,126.315999985
0,38,144,205,6,0.3,210.703091499,122.703091499
0,38,144,205,7,0.35,212,124
0,38,144,205,8,0.4,212,124
0,38,144,205,9,0.45,212,124
0,38,144,205,10,0.5,212,124
0,38,144,205,11,0.55,212,124
1,69,227,100,0,0.0,309.752000093,101.752000093
1,69,227,100,1,0.05,305.496685521,106.539228988
1,69,227,100,2,0.1,299.622996763,112.493911909
1,69,227,100,3,0.15,272.203552511,127.816542521
1,69,227,100,4,0.2,220.558477359,153.590694488
1,69,227,100,5,0.25,182.752000093,174.752000093
1,69,227,100,6,0.3,180.752000093,175.364903865
1,69,227,100,7,0.35,178.171362822,178.945545851
1,69,227,100,8,0.4,174.139091608,181.364908579
1,69,227,100,9,0.45,169.655224908,187.268130317
1,69,227,100,10,0.5,162.752000093,194.752000093
1,69,227,100,11,0.55,149.300385007,206.20361518
1,69,227,100,12,0.6,147,210
1,69,227,100,13,0.65,147,210
1,69,227,100,14,0.7,147,210
1,69,227,100,15,0.75,147,210
1,69,227,100,16,0.8,147,210
2,30,103,366,0,0.0,131.690000057,263.690000057
2,30,103,366,1,0.05,136.890000057,262.890000057
2,30,103,366,2,0.1,142.090000057,262.090000057
2,30,103,366,3,0.15,164.044753025,247.980383371
2,30,103,366,4,0.2,241.314929649,199.533798952
2,30,103,366,5,0.25,296.690000057,160.690000057
2,30,103,366,6,0.3,308.980305618,150.851297674
2,30,103,366,7,0.35,317.346254807,147.471248474
2,30,103,366,8,0.4,321.706127911,145.077097774
2,30,103,366,9,0.45,326.367420206,141.431934946
2,30,103,366,10,0.5,329.752495401,138.627504714
2,30,103,366,11,0.55,335.367404824,134.238396879
2,30,103,366,12,0.6,342.819037773,127.786769884
2,30,103,366,13,0.65,347.528710132,124.690000057
2,30,103,366,14,0.7,348.404286637,123.975713478
2,30,103,366,15,0.75,352.75451172,122.690000057
2,30,103,366,16,0.8,356,124
2,30,103,366,17,0.85,356,124
2,30,103,366,18,0.9,356,124
2,30,103,366,19,0.95,356,124
2,30,103,366,20,1.0,356,124
