trial,target x,target y,widget x,widget y
0,205,144,265.316,304.316
0,205,144,265.0500421,299.7947168
0,205,144,264.7840843,295.2734336
0,205,144,264.5181265,290.7521504
0,205,144,262.3804804,281.1223373
0,205,144,254.316,255.316
0,205,144,245.4450033,216.6061963
0,205,144,238.5659843,193.065953
0,205,144,229.1224127,168.6062302
0,205,144,217.9611363,141.6385128
0,205,144,212.316,126.316
0,205,144,211.5095457,123.8966373
0,205,144,210.7030915,122.7030915
0,205,144,212,124
0,205,144,212,124
0,205,144,212,124
0,205,144,212,124
0,205,144,212,124
1,100,227,309.7520001,101.7520001
1,100,227,307.6243428,104.1456145
1,100,227,305.4966855,106.539229
1,100,227,303.3690282,108.9328434
1,100,227,299.6229968,112.4939119
1,100,227,290.7520001,119.7520001
1,100,227,272.2035525,127.8165425
1,100,227,250.5331934,137.4707755
1,100,227,220.5584774,153.5906945
1,100,227,190.0100883,171.5261831
1,100,227,182.7520001,174.7520001
1,100,227,181.1390916,174.7520001
1,100,227,180.7520001,175.3649039
1,100,227,179.939504,176.9707442
1,100,227,178.1713628,178.9455459
1,100,227,175.7520001,179.7520001
1,100,227,174.1390916,181.3649086
1,100,227,172.5261926,183.5907114
1,100,227,169.6552249,187.2681303
1,100,227,165.8769938,191.6270064
1,100,227,162.7520001,194.7520001
1,100,227,153.8810034,202.0100883
1,100,227,149.300385,206.2036152
1,100,227,146.91329,208.1713551
1,100,227,147,210
1,100,227,147,210
1,100,227,147,210
1,100,227,147,210
1,100,227,147,210
2,366,103,131.6900001,263.6900001
2,366,103,134.2900001,263.2900001
2,366,103,136.8900001,262.8900001
2,366,103,139.4900001,262.4900001
2,366,103,142.0900001,262.0900001
2,366,103,144.6900001,261.6900001
2,366,103,164.044753,247.9803834
2,366,103,204.2382461,223.2384723
2,366,103,241.3149296,199.533799
2,366,103,269.2705558,180.0449019
2,366,103,296.6900001,160.6900001
2,366,103,303.1415844,154.2384157
2,366,103,308.9803056,150.8512977
2,366,103,313.7867752,148.85129
2,366,103,317.3462548,147.4712485
2,366,103,319.6900001,146.6900001
2,366,103,321.7061279,145.0770978
2,366,103,323.7222558,143.4641955
2,366,103,326.3674202,141.4319349
2,366,103,328.9158076,139.4641925
2,366,103,329.7524954,138.6275047
2,366,103,331.3149922,137.0650079
2,366,103,335.3674048,134.2383969
2,366,103,339.3674202,131.0125799
2,366,103,342.8190378,127.7867699
2,366,103,346.7222559,124.6900001
2,366,103,347.5287101,124.6900001
2,366,103,348.007461,124.3725391
2,366,103,348.4042866,123.9757135
2,366,103,349.5932302,123.4641925
2,366,103,352.7545117,122.6900001
2,366,103,354.3674202,122.6900001
2,366,103,356,124
2,366,103,356,124
2,366,103,356,124
2,366,103,356,124
2,366,103,356,124
3,203,282,422.7519999,397.7519999
3,203,282,422.3487743,397.7519999
3,203,282,421.9455487,397.7519999
3,203,282,420.9394977,397.7519999
3,203,282,418.2035842,397.3648959
3,203,282,411.7519999,395.7519999
3,203,282,401.2680947,391.7197286
3,203,282,366.2681,369.3003678
3,203,282,322.6874728,339.8165084
3,203,282,279.3769175,312.5019619
3,203,282,238.7519999,293.7519999
3,203,282,231.4939117,291.3326371
3,203,282,224.8487697,288.3003848
3,203,282,218.8165146,286.3326448
3,203,282,213.1713349,285.3003813
3,203,282,207.6894896,283.7207447
3,203,282,206.1269928,282.9394963
3,203,282,205.4455468,282.7519999
3,203,282,205.0423212,282.7519999
3,203,282,206,284
3,203,282,206,284
3,203,282,206,284
3,203,282,206,284
3,203,282,206,284
4,590,364,547.721,182.721
4,590,364,547.721,183.5274521
4,590,364,547.721,184.3339043
4,590,364,547.721,185.1403565
4,590,364,548.5960063,190.0960316
4,590,364,551.721,205.721
4,590,364,557.3661797,231.5275357
4,590,364,562.3984509,253.6566206
4,590,364,567.6565165,274.2049875
4,590,364,572.3984278,290.9790928
4,590,364,574.9397858,299.2210819
4,590,364,580.4085247,311.7210566
4,590,364,582.3339084,319.0113594
4,590,364,583.9790785,324.6565165
4,590,364,585.9468092,329.3984278
4,590,364,586.7532632,331.8177898
4,590,364,587.5597113,334.2371339
4,590,364,588.3460042,335.3460042
4,590,364,588.721,336.1403595
4,590,364,588.721,336.9468092
4,590,364,588.721,337.8500531
4,590,364,588.721,341.0758452
4,590,364,589.3661643,343.0113286
4,590,364,589.721,344.5960063
4,590,364,589.721,345.9468092
4,590,364,589.7855265,346.8177898
4,590,364,591.3984226,349.2371339
4,590,364,591.721,350.3661643
4,590,364,593,352
4,590,364,593,352
4,590,364,593,352
4,590,364,593,352
4,590,364,593,352
5,570,120,542.095,158.095
5,570,120,542.4982256,158.095
5,570,120,542.9014512,158.095
5,570,120,543.5143551,158.9337101
5,570,120,544.3208076,160.095
