trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
0,0,0,0,0,0,0,0,0,0,0,-60.316,-160.316
0,-0.2659579,-4.5212832,0,0,0,0,0,0,0,0,-60.0500421,-155.7947168
0,-0.2659578,-4.5212832,-0.2659579,-4.5212832,0,0,0,0,0,0,-59.7840843,-151.2734336
0,-0.2659578,-4.5212832,-0.2659578,-4.5212832,-0.2659579,-4.5212832,0,0,0,0,-59.5181265,-146.7521504
0,-2.1376461,-9.6298131,-0.2659578,-4.5212832,-0.2659578,-4.5212832,-0.2659579,-4.5212832,0,0,-57.3804804,-137.1223373
0,-8.0644804,-25.8063373,-2.1376461,-9.6298131,-0.2659578,-4.5212832,-0.2659578,-4.5212832,-0.2659579,-4.5212832,-49.316,-111.316
0,-8.8709967,-38.7098037,-8.0644804,-25.8063373,-2.1376461,-9.6298131,-0.2659578,-4.5212832,-0.2659578,-4.5212832,-40.4450033,-72.6061963
0,-6.879019,-23.5402433,-8.8709967,-38.7098037,-8.0644804,-25.8063373,-2.1376461,-9.6298131,-0.2659578,-4.5212832,-33.5659843,-49.065953
0,-9.4435716,-24.4597228,-6.879019,-23.5402433,-8.8709967,-38.7098037,-8.0644804,-25.8063373,-2.1376461,-9.6298131,-24.1224127,-24.6062302
0,-11.1612764,-26.9677174,-9.4435716,-24.4597228,-6.879019,-23.5402433,-8.8709967,-38.7098037,-8.0644804,-25.8063373,-12.9611363,2.3614872
0,-5.6451363,-15.3225128,-11.1612764,-26.9677174,-9.4435716,-24.4597228,-6.879019,-23.5402433,-8.8709967,-38.7098037,-7.316,17.684
0,-0.8064543,-2.4193627,-5.6451363,-15.3225128,-11.1612764,-26.9677174,-9.4435716,-24.4597228,-6.879019,-23.5402433,-6.5095457,20.1033627
0,-0.8064542,-1.1935458,-0.8064543,-2.4193627,-5.6451363,-15.3225128,-11.1612764,-26.9677174,-9.4435716,-24.4597228,-5.7030915,21.2969085
0,1.2969085,1.2969085,-0.8064542,-1.1935458,-0.8064543,-2.4193627,-5.6451363,-15.3225128,-11.1612764,-26.9677174,-7,20
0,0,0,1.2969085,1.2969085,-0.8064542,-1.1935458,-0.8064543,-2.4193627,-5.6451363,-15.3225128,-7,20
0,0,0,0,0,1.2969085,1.2969085,-0.8064542,-1.1935458,-0.8064543,-2.4193627,-7,20
0,0,0,0,0,0,0,1.2969085,1.2969085,-0.8064542,-1.1935458,-7,20
0,0,0,0,0,0,0,0,0,1.2969085,1.2969085,-7,20
1,0,0,0,0,0,0,0,0,0,0,-209.7520001,125.2479999
1,-2.1276573,2.3936144,0,0,0,0,0,0,0,0,-207.6243428,122.8543855
1,-2.1276573,2.3936145,-2.1276573,2.3936144,0,0,0,0,0,0,-205.4966855,120.460771
1,-2.1276573,2.3936144,-2.1276573,2.3936145,-2.1276573,2.3936144,0,0,0,0,-203.3690282,118.0671566
1,-3.7460314,3.5610685,-2.1276573,2.3936144,-2.1276573,2.3936145,-2.1276573,2.3936144,0,0,-199.6229968,114.5060881
1,-8.8709967,7.2580882,-3.7460314,3.5610685,-2.1276573,2.3936144,-2.1276573,2.3936145,-2.1276573,2.3936144,-190.7520001,107.2479999
1,-18.5484476,8.0645424,-8.8709967,7.2580882,-3.7460314,3.5610685,-2.1276573,2.3936144,-2.1276573,2.3936145,-172.2035525,99.1834575
1,-21.6703591,9.654233,-18.5484476,8.0645424,-8.8709967,7.2580882,-3.7460314,3.5610685,-2.1276573,2.3936144,-150.5331934,89.5292245
1,-29.974716,16.119919,-21.6703591,9.654233,-18.5484476,8.0645424,-8.8709967,7.2580882,-3.7460314,3.5610685,-120.5584774,73.4093055
1,-30.5483891,17.9354886,-29.974716,16.119919,-21.6703591,9.654233,-18.5484476,8.0645424,-8.8709967,7.2580882,-90.0100883,55.4738169
1,-7.2580882,3.225817,-30.5483891,17.9354886,-29.974716,16.119919,-21.6703591,9.654233,-18.5484476,8.0645424,-82.7520001,52.2479999
1,-1.6129085,0,-7.2580882,3.225817,-30.5483891,17.9354886,-29.974716,16.119919,-21.6703591,9.654233,-81.1390916,52.2479999
1,-0.3870915,0.6129038,-1.6129085,0,-7.2580882,3.225817,-30.5483891,17.9354886,-29.974716,16.119919,-80.7520001,51.6350961
1,-0.8124961,1.6058403,-0.3870915,0.6129038,-1.6129085,0,-7.2580882,3.225817,-30.5483891,17.9354886,-79.939504,50.0292558
1,-1.7681412,1.9748017,-0.8124961,1.6058403,-0.3870915,0.6129038,-1.6129085,0,-7.2580882,3.225817,-78.1713628,48.0544541
1,-2.4193627,0.8064542,-1.7681412,1.9748017,-0.8124961,1.6058403,-0.3870915,0.6129038,-1.6129085,0,-75.7520001,47.2479999
1,-1.6129085,1.6129085,-2.4193627,0.8064542,-1.7681412,1.9748017,-0.8124961,1.6058403,-0.3870915,0.6129038,-74.1390916,45.6350914
1,-1.612899,2.2258028,-1.6129085,1.6129085,-2.4193627,0.8064542,-1.7681412,1.9748017,-0.8124961,1.6058403,-72.5261926,43.4092886
1,-2.8709677,3.6774189,-1.612899,2.2258028,-1.6129085,1.6129085,-2.4193627,0.8064542,-1.7681412,1.9748017,-69.6552249,39.7318697
1,-3.7782311,4.3588761,-2.8709677,3.6774189,-1.612899,2.2258028,-1.6129085,1.6129085,-2.4193627,0.8064542,-65.8769938,35.3729936
1,-3.1249937,3.1249937,-3.7782311,4.3588761,-2.8709677,3.6774189,-1.612899,2.2258028,-1.6129085,1.6129085,-62.7520001,32.2479999
1,-8.8709967,7.2580882,-3.1249937,3.1249937,-3.7782311,4.3588761,-2.8709677,3.6774189,-1.612899,2.2258028,-53.8810034,24.9899117
1,-4.5806184,4.1935269,-8.8709967,7.2580882,-3.1249937,3.1249937,-3.7782311,4.3588761,-2.8709677,3.6774189,-49.300385,20.7963848
1,-2.387095,1.9677399,-4.5806184,4.1935269,-8.8709967,7.2580882,-3.1249937,3.1249937,-3.7782311,4.3588761,-46.91329,18.8286449
1,0.08671,1.8286449,-2.387095,1.9677399,-4.5806184,4.1935269,-8.8709967,7.2580882,-3.1249937,3.1249937,-47,17
1,0,0,0.08671,1.8286449,-2.387095,1.9677399,-4.5806184,4.1935269,-8.8709967,7.2580882,-47,17
1,0,0,0,0,0.08671,1.8286449,-2.387095,1.9677399,-4.5806184,4.1935269,-47,17
1,0,0,0,0,0,0,0.08671,1.8286449,-2.387095,1.9677399,-47,17
1,0,0,0,0,0,0,0,0,0.08671,1.8286449,-47,17
2,0,0,0,0,0,0,0,0,0,0,234.3099999,-160.6900001
2,2.6,-0.4,0,0,0,0,0,0,0,0,231.7099999,-160.2900001
