trial,target x rel,target y rel,widget dx,widget dy
241,0,0,0,0
241,-3.5447107,3.4624543,-0.131579,0.2631581
241,-7.0894213,6.9249085,-0.1315791,0.2631582
241,-10.6341319,10.3873629,-0.1315791,0.2631581
241,-14.1788425,13.8498171,-0.1315791,0.2631582
241,-17.7235532,17.3122714,-0.131579,0.2631581
241,-21.2682638,20.7747257,-0.1315791,0.2631582
241,-24.8129745,24.23718,-0.1315791,0.2631581
241,-27.1059464,26.9353185,-1.3833178,1.0274739
241,-28.5866035,29.0305078,-2.1956326,1.6304231
241,-30.6795597,31.7144556,-1.5833335,1.0416647
241,-32.8558484,33.2317213,-1.500001,2.2083467
241,-34.2404706,35.0823471,-2.2916675,1.8749866
241,-36.1517632,37.7929586,-1.7649971,1.015001
241,-38.1347213,39.8252393,-1.6933316,1.6933317
241,-36.8943432,40.0508514,-4.9166679,3.5000003
241,-34.3206146,36.609771,-6.2500183,7.1666928
241,-31.7468859,32.7936989,-6.2500184,7.5416846
241,-32.5065455,32.5610197,-2.9166301,3.9582916
241,-34.0994991,34.0366306,-2.0833361,2.2500015
241,-34.7757768,33.8455587,-3.000012,3.9166843
241,-34.3687532,32.4461977,-4.0833133,5.1249735
241,-31.8783617,27.9634555,-6.1666812,8.2083546
241,-29.221293,22.3140441,-6.3333585,9.3750238
241,-24.3143065,16.1647256,-8.5832762,9.874931
241,-17.0322341,5.0152995,-10.9583621,14.8750385
241,-14.0835196,0.1992392,-6.6250042,8.5416727
241,-14.2181291,-0.6584963,-3.5416802,4.5833479
241,-13.4361109,-2.682854,-4.4583079,5.7499702
241,-15.6124016,-2.023278,-1.499999,3.0660364
241,-19.2886913,1.4664852,0,0.2358492
241,-22.9649811,4.9562485,0,0.2358491
241,-26.6412708,8.4460118,0,0.2358492
241,-30.3175605,11.935775,0,0.2358492
241,-33.9938502,15.4255382,0,0.2358492
241,-37.6701399,18.9153016,0,0.2358491
241,-41.3464296,22.4050648,0,0.2358492
241,-45.0227193,25.894828,0,0.2358492
241,-47.8656744,27.0732682,-0.8333346,2.5471722
241,-46.1252823,26.7988738,-5.4166818,4.0000069
241,-42.6348813,24.5244623,-7.1666908,6.0000239
241,-38.0612169,21.0417808,-8.2499541,7.2082939
241,-34.404156,19.4757141,-7.3333506,5.2916792
241,-31.8304298,19.0763205,-6.2500159,4.125006
241,-29.3400898,19.5936208,-6.1666297,3.2083121
241,-27.4330271,19.027553,-5.5833524,4.2916802
241,-23.1093009,17.2114749,-8.0000159,5.5416906
241,-20.5355846,14.0620909,-6.250006,6.8749964
241,-18.5019017,12.8693919,-5.7099727,4.9183114
241,-18.888192,12.804997,-3.2899994,3.7900073
241,-20.0644881,13.1139564,-2.4999936,3.4166531
241,-17.4907594,12.0062179,-6.2500184,4.8333509
241,-15.2920365,9.8568176,-5.8750126,5.8750127
241,-13.3433269,7.9574309,-5.6249993,5.6249992
241,-10.8796261,4.6630467,-6.1399905,7.0199966
241,-8.9042509,1.1586636,-5.6516649,7.2299955
241,-7.87222,-0.8657091,-4.7083207,5.7499851
241,-7.3818307,-2.8901159,-4.166679,5.7500193
241,-5.7247954,-4.2478178,-5.333325,5.0833143
241,-4.401092,-5.9388683,-4.9999931,5.4166629
241,-2.5773629,-8.4632742,-5.5000188,6.2500184
241,1.4130452,-10.9876801,-7.6666978,6.2500183
241,3.8200478,-13.5120414,-6.0832923,6.2499737
241,7.4737848,-15.8464446,-7.3300267,6.0600156
241,8.0924604,-15.9358066,-4.2949654,3.8149745
241,8.3745086,-14.5018622,-3.9583379,2.291668
241,7.1148884,-11.9845845,-2.4166695,1.2083347
241,6.4385853,-10.2172981,-2.9999866,1.958326
241,6.8456365,-10.4916919,-4.0833409,4.0000063
241,8.2523057,-9.5702355,-1.166667,1.166667
241,9.8487456,-8.6728176,-0.9999961,1.0416693
241,15.1661305,-9.6311443,-0.0833335,0.9583267
241,21.115163,-9.6311443,-0.7149811,0
241,24.6685415,-9.6311443,1.6806729,0
241,28.2219201,-9.6311443,1.6806728,0
241,31.7752986,-9.6311443,1.6806729,0
241,35.3286772,-9.6311443,1.6806728,0
241,37.2370711,-9.6311443,3.3256575,0
241,31.6377446,-9.214473,10.8333779,-0.4166713
241,18.7051739,-7.7144738,18.1666221,-1.4999992
241,5.6891751,-6.6311443,18.2500502,-1.0833295
241,-5.1600594,-6.6311443,16.0832859,0
241,-14.5093205,-6.6311443,14.5833125,0
241,-24.4836496,-6.6311443,15.2083805,0
241,-34.2078774,-6.6311443,14.9582792,0
241,-43.1605155,-6.6311443,14.1866895,0
241,-51.6148483,-6.6311443,13.6883841,0
241,-59.1724046,-6.6311443,12.7916077,0
241,-64.3731136,-5.8050572,10.4347604,-0.8260871
241,-66.8292971,-5.6311443,7.6902349,-0.1739129
241,-64.3035715,-5.6311443,2.7083258,0
241,-65.9445038,-5.6311443,6.8749837,0
241,-66.7621512,-4.6711397,6.0516988,-0.9600046
241,-66.7680624,-4.6311443,5.2399626,-0.0399954
241,-68.9253342,-4.6311443,7.3913232,0
241,-73.2999795,-4.6311443,9.6086967,0
