trial,target x rel,target y rel,widget x,widget y
241,0,0,0,0
241,-3.5447107,3.4624543,-0.131579,0.2631581
241,-7.0894213,6.9249085,-0.2631581,0.5263163
241,-10.6341319,10.3873629,-0.3947372,0.7894744
241,-14.1788425,13.8498171,-0.5263163,1.0526326
241,-17.7235532,17.3122714,-0.6578953,1.3157907
241,-21.2682638,20.7747257,-0.7894744,1.5789489
241,-24.8129745,24.23718,-0.9210535,1.842107
241,-27.1059464,26.9353185,-2.3043713,2.8695809
241,-28.5866035,29.0305078,-4.5000039,4.500004
241,-30.6795597,31.7144556,-6.0833374,5.5416687
241,-32.8558484,33.2317213,-7.5833384,7.7500154
241,-34.2404706,35.0823471,-9.8750059,9.625002
241,-36.1517632,37.7929586,-11.640003,10.640003
241,-38.1347213,39.8252393,-13.3333346,12.3333347
241,-36.8943432,40.0508514,-18.2500025,15.833335
241,-34.3206146,36.609771,-24.5000208,23.0000278
241,-31.7468859,32.7936989,-30.7500392,30.5417124
241,-32.5065455,32.5610197,-33.6666693,34.500004
241,-34.0994991,34.0366306,-35.7500054,36.7500055
241,-34.7757768,33.8455587,-38.7500174,40.6666898
241,-34.3687532,32.4461977,-42.8333307,45.7916633
241,-31.8783617,27.9634555,-49.0000119,54.0000179
241,-29.221293,22.3140441,-55.3333704,63.3750417
241,-24.3143065,16.1647256,-63.9166466,73.2499727
241,-17.0322341,5.0152995,-74.8750087,88.1250112
241,-14.0835196,0.1992392,-81.5000129,96.6666839
241,-14.2181291,-0.6584963,-85.0416931,101.2500318
241,-13.4361109,-2.682854,-89.500001,107.000002
241,-15.6124016,-2.023278,-91,110.0660384
241,-19.2886913,1.4664852,-91,110.3018876
241,-22.9649811,4.9562485,-91,110.5377367
241,-26.6412708,8.4460118,-91,110.7735859
241,-30.3175605,11.935775,-91,111.0094351
241,-33.9938502,15.4255382,-91,111.2452843
241,-37.6701399,18.9153016,-91,111.4811334
241,-41.3464296,22.4050648,-91,111.7169826
241,-45.0227193,25.894828,-91,111.9528318
241,-47.8656744,27.0732682,-91.8333346,114.500004
241,-46.1252823,26.7988738,-97.2500164,118.5000109
241,-42.6348813,24.5244623,-104.4167072,124.5000348
241,-38.0612169,21.0417808,-112.6666613,131.7083287
241,-34.404156,19.4757141,-120.0000119,137.0000079
241,-31.8304298,19.0763205,-126.2500278,141.1250139
241,-29.3400898,19.5936208,-132.4166575,144.333326
241,-27.4330271,19.027553,-138.0000099,148.6250062
241,-23.1093009,17.2114749,-146.0000258,154.1666968
241,-20.5355846,14.0620909,-152.2500318,161.0416932
241,-18.5019017,12.8693919,-157.9600045,165.9600046
241,-18.888192,12.804997,-161.2500039,169.7500119
241,-20.0644881,13.1139564,-163.7499975,173.166665
241,-17.4907594,12.0062179,-170.0000159,178.0000159
241,-15.2920365,9.8568176,-175.8750285,183.8750286
241,-13.3433269,7.9574309,-181.5000278,189.5000278
241,-10.8796261,4.6630467,-187.6400183,196.5200244
241,-8.9042509,1.1586636,-193.2916832,203.7500199
241,-7.87222,-0.8657091,-198.0000039,209.500005
241,-7.3818307,-2.8901159,-202.1666829,215.2500243
241,-5.7247954,-4.2478178,-207.5000079,220.3333386
241,-4.401092,-5.9388683,-212.500001,225.7500015
241,-2.5773629,-8.4632742,-218.0000198,232.0000199
241,1.4130452,-10.9876801,-225.6667176,238.2500382
241,3.8200478,-13.5120414,-231.7500099,244.5000119
241,7.4737848,-15.8464446,-239.0800366,250.5600275
241,8.0924604,-15.9358066,-243.375002,254.375002
241,8.3745086,-14.5018622,-247.3333399,256.66667
241,7.1148884,-11.9845845,-249.7500094,257.8750047
241,6.4385853,-10.2172981,-252.749996,259.8333307
241,6.8456365,-10.4916919,-256.8333369,263.833337
241,8.2523057,-9.5702355,-258.0000039,265.000004
241,9.8487456,-8.6728176,-259,266.0416733
241,15.1661305,-9.6311443,-259.0833335,267
241,21.115163,-9.6311443,-259.7983146,267
241,24.6685415,-9.6311443,-258.1176417,267
241,28.2219201,-9.6311443,-256.4369689,267
241,31.7752986,-9.6311443,-254.756296,267
241,35.3286772,-9.6311443,-253.0756232,267
241,37.2370711,-9.6311443,-249.7499657,267
241,31.6377446,-9.214473,-238.9165878,266.5833287
241,18.7051739,-7.7144738,-220.7499657,265.0833295
241,5.6891751,-6.6311443,-202.4999155,264
241,-5.1600594,-6.6311443,-186.4166296,264
241,-14.5093205,-6.6311443,-171.8333171,264
241,-24.4836496,-6.6311443,-156.6249366,264
241,-34.2078774,-6.6311443,-141.6666574,264
241,-43.1605155,-6.6311443,-127.4799679,264
241,-51.6148483,-6.6311443,-113.7915838,264
241,-59.1724046,-6.6311443,-100.9999761,264
241,-64.3731136,-5.8050572,-90.5652157,263.1739129
241,-66.8292971,-5.6311443,-82.8749808,263
241,-64.3035715,-5.6311443,-80.166655,263
241,-65.9445038,-5.6311443,-73.2916713,263
241,-66.7621512,-4.6711397,-67.2399725,262.0399954
241,-66.7680624,-4.6311443,-62.0000099,262
241,-68.9253342,-4.6311443,-54.6086867,262
241,-73.2999795,-4.6311443,-44.99999,262
241,-76.2326149,-4.6311443,-36.8333032,262
