52 3
0 0 25.297447
-4.063729 0 23.402085 
-7.338601 0 21.456633 
-9.737780 0 19.475560 
-10.638023 0 13.886953 
-10.669339 0 12.319892 
-10.468232 0 11.140060 
-10.218123 0 10.375754 
0.000000 25.297447 25.297447 
0.000000 17.708213 -0.000000 
0.000000 13.047899 -1.141543 
0.000000 8.374494 -1.476649 
0.000000 4.919283 -1.318118 
0.000000 1.900101 -0.665035 
0.000000 0.000000 -0.000000 
-4.063729 23.046555 23.402085 
-2.844611 16.132588 -0.000000 
-2.037895 11.557477 -1.026747 
-1.205004 6.833914 -1.223593 
-0.608392 3.450363 -0.938784 
-0.087826 0.498087 -0.151874 
-7.338601 20.162639 21.456633 
-5.137020 14.113848 -0.000000 
-3.220162 8.847323 -0.823717 
-1.873507 5.147417 -0.965878 
-0.709589 1.949580 -0.525423 
-9.737780 16.866329 19.475560 
-6.816446 11.806431 -0.000000 
-3.953308 6.847330 -0.691739 
-2.000359 3.464724 -0.705435 
-0.315458 0.546389 -0.132433 
-10.157753 12.105539 15.802659 
-7.110427 8.473877 -0.000000 
-4.192413 4.996323 -0.570622 
-1.706197 2.033367 -0.454362 
-10.638023 8.926361 13.886953 
-7.446616 6.248453 -0.000000 
-3.997469 3.354275 -0.456544 
-1.072432 0.899878 -0.193126 
-10.669339 6.159946 12.319892 
-7.468537 4.311962 -0.000000 
-3.598084 2.077355 -0.363490 
-0.310141 0.179060 -0.039774 
-10.468232 3.810125 11.140060 
-7.327763 2.667088 -0.000000 
-3.153294 1.147705 -0.293583 
-10.218123 1.801731 10.375754 
-7.152686 1.261212 -0.000000 
-2.805835 0.494744 -0.225389 
-10.155451 0.000000 10.155451 
-7.108816 0.000000 -0.000000 
-2.704575 0.000000 -0.202886 
